Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
3.1592,0.008,2.1975,0.008
3.1594,0.01,2.1975,0.01
3.1596,0.004,2.1975,0.01
3.1598,0.008,2.1975,0.01
3.1600,0.004,2.1975,0.01
3.1602,0.004,2.1975,0.01
3.1604,0.01,2.1975,0.01
3.1606,0.012,2.1975,0.012
3.1608,0.01,2.1975,0.012
3.1610,0.01,2.197,0.012
3.1612,-0.006,2.198,0.012
3.1614,0.02,2.1975,0.02
3.1616,0.01,2.1985,0.02
3.1618,0.012,2.1975,0.02
3.1620,0.008,2.1975,0.02
3.1622,0.008,2.1975,0.02
3.1624,0.008,2.1975,0.02
3.1626,0.008,2.1975,0.02
3.1628,0.004,2.1975,0.02
3.1630,0.012,2.1975,0.02
3.1632,0.008,2.1975,0.02
3.1634,0.012,2.1975,0.02
3.1636,0.01,2.1975,0.02
3.1638,0.01,2.197,0.02
3.1640,0.012,2.1975,0.02
3.1642,0.008,2.198,0.02
3.1644,0.016,2.1975,0.02
3.1646,0.01,2.198,0.02
3.1648,0.008,2.1975,0.02
3.1650,0.01,2.198,0.02
3.1652,0.008,2.1975,0.02
3.1654,0.012,2.1975,0.02
3.1656,0.01,2.1975,0.02
3.1658,0.002,2.197,0.02
3.1660,0.004,2.1975,0.02
3.1662,0.008,2.197,0.02
3.1664,0.008,2.1975,0.02
3.1666,0.01,2.1975,0.02
3.1668,0.008,2.1975,0.02
3.1670,0.004,2.198,0.02
3.1672,0.004,2.1975,0.02
3.1674,0.008,2.1975,0.02
3.1676,0.008,2.1975,0.02
3.1678,0.012,2.1975,0.02
3.1680,0.008,2.198,0.02
3.1682,0.008,2.198,0.02
3.1684,0.008,2.1975,0.02
3.1686,0.008,2.198,0.02
3.1688,0.008,2.198,0.02
3.1690,0.008,2.197,0.02
3.1692,0.008,2.1975,0.02
3.1694,0.008,2.1975,0.02
3.1696,0.008,2.198,0.02
3.1698,0.008,2.198,0.02
3.1700,0.004,2.198,0.02
3.1702,0.004,2.198,0.02
3.1704,0.01,2.198,0.02
3.1706,0.016,2.198,0.02
3.1708,0.01,2.1975,0.02
3.1710,0.012,2.197,0.02
3.1712,0.004,2.1975,0.02
3.1714,0.01,2.1975,0.02
3.1716,0.004,2.1975,0.02
3.1718,0.008,2.1975,0.02
3.1720,0.012,2.197,0.02
3.1722,0.012,2.197,0.02
3.1724,0.016,2.1975,0.02
3.1726,0.004,2.1975,0.02
3.1728,0.004,2.198,0.02
3.1730,0.012,2.1975,0.02
3.1732,0.008,2.1975,0.02
3.1734,0.008,2.1975,0.02
3.1736,0.016,2.1975,0.02
3.1738,0.008,2.1975,0.02
3.1740,0.008,2.197,0.02
3.1742,0.004,2.1975,0.02
3.1744,0.01,2.1975,0.02
3.1746,0.008,2.198,0.02
3.1748,0.01,2.198,0.02
3.1750,0.01,2.1975,0.02
3.1752,0.01,2.1975,0.02
3.1754,0.008,2.1975,0.02
