Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
2.2510,0.004,2.1975,0.004
2.2512,0.012,2.1975,0.012
2.2514,0.012,2.198,0.012
2.2516,-0.006,2.198,0.012
2.2518,0.02,2.198,0.02
2.2520,0.004,2.197,0.02
2.2522,0.014,2.1975,0.02
2.2524,0.008,2.1975,0.02
2.2526,0.014,2.198,0.02
2.2528,0.006,2.1975,0.02
2.2530,0.012,2.1975,0.02
2.2532,0.006,2.1975,0.02
2.2534,0.006,2.1975,0.02
2.2536,0.006,2.1975,0.02
2.2538,0.012,2.1975,0.02
2.2540,0.008,2.1975,0.02
2.2542,0.006,2.198,0.02
2.2544,0.008,2.1975,0.02
2.2546,0.008,2.1975,0.02
2.2548,0.006,2.1975,0.02
2.2550,0.014,2.1975,0.02
2.2552,0.012,2.1975,0.02
2.2554,0.008,2.1975,0.02
2.2556,0.006,2.1975,0.02
2.2558,0.008,2.1975,0.02
2.2560,0.008,2.1975,0.02
2.2562,0.012,2.198,0.02
2.2564,0.008,2.197,0.02
2.2566,0.012,2.1975,0.02
2.2568,0.006,2.1975,0.02
2.2570,0.012,2.198,0.02
2.2572,0.008,2.1975,0.02
2.2574,0.004,2.1975,0.02
2.2576,0.008,2.1975,0.02
2.2578,0.008,2.198,0.02
2.2580,0.012,2.1975,0.02
2.2582,0.006,2.197,0.02
2.2584,0.012,2.1975,0.02
2.2586,0.008,2.1975,0.02
2.2588,0.008,2.197,0.02
2.2590,0.008,2.1975,0.02
2.2592,0.008,2.1975,0.02
2.2594,0.008,2.198,0.02
2.2596,0.006,2.198,0.02
2.2598,0.012,2.1975,0.02
2.2600,0.012,2.1975,0.02
2.2602,0.014,2.1975,0.02
2.2604,0.012,2.198,0.02
2.2606,0.008,2.198,0.02
2.2608,0.006,2.1975,0.02
2.2610,0.008,2.1975,0.02
2.2612,0.006,2.1975,0.02
2.2614,0.008,2.1975,0.02
2.2616,0.012,2.1975,0.02
2.2618,0.004,2.1975,0.02
2.2620,0.008,2.198,0.02
2.2622,0.006,2.1975,0.02
2.2624,0.012,2.1975,0.02
2.2626,0.004,2.1975,0.02
2.2628,0.008,2.198,0.02
2.2630,0.008,2.198,0.02
2.2632,0.006,2.1975,0.02
2.2634,0.008,2.197,0.02
2.2636,0.012,2.198,0.02
2.2638,0.012,2.1975,0.02
2.2640,0.012,2.198,0.02
2.2642,0.006,2.1975,0.02
2.2644,0.014,2.1975,0.02
2.2646,0.006,2.1975,0.02
2.2648,0.012,2.1975,0.02
2.2650,0.012,2.1975,0.02
2.2652,0.006,2.1975,0.02
2.2654,0.014,2.1975,0.02
2.2656,0.006,2.198,0.02
2.2658,0.008,2.1975,0.02
2.2660,0.006,2.198,0.02
