Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
1.2166,0.012,2.1975,0.012
1.2168,0.008,2.1975,0.012
1.2170,0.008,2.198,0.012
1.2172,0.004,2.1985,0.012
1.2174,0.008,2.198,0.012
1.2176,0.01,2.198,0.012
1.2178,0.008,2.1975,0.012
1.2180,0.01,2.197,0.012
1.2182,0.016,2.198,0.016
1.2184,0.004,2.1975,0.016
1.2186,0.004,2.1975,0.016
1.2188,0.008,2.1975,0.016
1.2190,0.01,2.198,0.016
1.2192,0.012,2.1975,0.016
1.2194,0.008,2.1975,0.016
1.2196,0.01,2.1975,0.016
1.2198,0.004,2.1975,0.016
1.2200,0.012,2.1975,0.016
1.2202,0.008,2.1975,0.016
1.2204,0.01,2.198,0.016
1.2206,0.004,2.1975,0.016
1.2208,0.004,2.1975,0.016
1.2210,0.012,2.198,0.016
1.2212,0.004,2.1975,0.016
1.2214,0.008,2.1975,0.016
1.2216,0.008,2.1975,0.016
1.2218,0.004,2.198,0.016
1.2220,0.002,2.198,0.016
1.2222,0.008,2.197,0.016
1.2224,0.008,2.1975,0.016
1.2226,0.008,2.1975,0.016
1.2228,0.004,2.198,0.016
1.2230,0.004,2.1975,0.016
1.2232,0.012,2.198,0.016
1.2234,0.002,2.1975,0.016
1.2236,0.008,2.198,0.016
1.2238,0.01,2.1975,0.016
1.2240,0.016,2.1975,0.016
1.2242,0.008,2.198,0.016
1.2244,0.004,2.198,0.016
1.2246,0.012,2.198,0.016
1.2248,0.012,2.198,0.016
1.2250,0.01,2.1975,0.016
1.2252,0.018,2.1975,0.018
1.2254,0.008,2.1975,0.018
1.2256,0.01,2.1975,0.018
1.2258,0.002,2.1975,0.018
1.2260,0.01,2.1975,0.018
1.2262,0.008,2.198,0.018
1.2264,0.008,2.1975,0.018
1.2266,0.01,2.1975,0.018
1.2268,0.008,2.198,0.018
1.2270,0.008,2.1975,0.018
1.2272,0.008,2.1975,0.018
1.2274,0.008,2.1975,0.018
1.2276,0.01,2.198,0.018
1.2278,0.008,2.1975,0.018
1.2280,0.008,2.198,0.018
1.2282,0.012,2.1975,0.018
1.2284,0.002,2.1975,0.018
1.2286,0.01,2.1975,0.018
1.2288,0.008,2.1975,0.018
1.2290,0.01,2.1975,0.018
1.2292,0.016,2.198,0.018
1.2294,0.004,2.198,0.018
1.2296,0.01,2.1975,0.018
1.2298,0.01,2.1975,0.018
1.2300,0.012,2.1975,0.018
1.2302,0.01,2.198,0.018
1.2304,0.012,2.1975,0.018
1.2306,0.01,2.198,0.018
1.2308,0.008,2.198,0.018
1.2310,0.008,2.198,0.018
1.2312,0.01,2.1975,0.018
1.2314,0.012,2.1975,0.018
1.2316,0.008,2.1975,0.018
1.2318,0.004,2.1975,0.018
1.2320,0.004,2.198,0.018
1.2322,0.008,2.1975,0.018
1.2324,0.012,2.1975,0.018
1.2326,0.016,2.198,0.018
1.2328,0.01,2.1975,0.018
1.2330,0.01,2.198,0.018
1.2332,0.008,2.1975,0.018
1.2334,0.01,2.1975,0.018
1.2336,0.002,2.197,0.018
1.2338,0.016,2.1975,0.018
1.2340,0.002,2.1975,0.018
1.2342,0.024,2.1975,0.024
1.2344,0.012,2.198,0.024
1.2346,0.008,2.198,0.024
1.2348,0.004,2.1975,0.024
1.2350,0.004,2.1975,0.024
1.2352,0.004,2.1975,0.024
