Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
1.9468,0.016,2.198,0.016
1.9470,0.008,2.1975,0.016
1.9472,0.008,2.1975,0.016
1.9474,0.002,2.1975,0.016
1.9476,0.008,2.1975,0.016
1.9478,0.004,2.197,0.016
1.9480,0.004,2.1975,0.016
1.9482,0.002,2.1975,0.016
1.9484,-0.006,2.1975,0.016
1.9486,0.018,2.1975,0.018
1.9488,0.012,2.1975,0.018
1.9490,0.012,2.1975,0.018
1.9492,0.016,2.1975,0.018
1.9494,0.012,2.198,0.018
1.9496,0.01,2.198,0.018
1.9498,0.01,2.1975,0.018
1.9500,0.008,2.197,0.018
1.9502,0.008,2.198,0.018
1.9504,0.008,2.1975,0.018
1.9506,0.008,2.198,0.018
1.9508,0.008,2.1975,0.018
1.9510,0.01,2.1975,0.018
1.9512,0.012,2.1975,0.018
1.9514,0.008,2.1975,0.018
1.9516,0.004,2.1975,0.018
1.9518,0.004,2.1975,0.018
1.9520,0.002,2.1975,0.018
1.9522,0.004,2.1975,0.018
1.9524,0.008,2.1975,0.018
1.9526,0.01,2.1975,0.018
1.9528,0,2.1975,0.018
1.9530,0.01,2.197,0.018
1.9532,0.012,2.1975,0.018
1.9534,0.008,2.198,0.018
1.9536,0.004,2.198,0.018
1.9538,0.01,2.198,0.018
1.9540,0.01,2.198,0.018
1.9542,0.01,2.1975,0.018
1.9544,0.012,2.198,0.018
1.9546,0.004,2.1975,0.018
1.9548,0.008,2.1975,0.018
1.9550,0.004,2.1975,0.018
1.9552,0.01,2.1975,0.018
1.9554,0.004,2.1975,0.018
1.9556,0.01,2.1975,0.018
1.9558,0.008,2.1975,0.018
1.9560,0.012,2.1975,0.018
1.9562,0.008,2.198,0.018
1.9564,0.01,2.197,0.018
1.9566,0.008,2.197,0.018
1.9568,0.008,2.1975,0.018
1.9570,0.002,2.1975,0.018
1.9572,0.004,2.197,0.018
1.9574,0.01,2.197,0.018
1.9576,0.016,2.1975,0.018
1.9578,0.01,2.198,0.018
1.9580,0.008,2.198,0.018
1.9582,0.008,2.1975,0.018
1.9584,0.008,2.1975,0.018
1.9586,0.008,2.198,0.018
1.9588,0.016,2.1975,0.018
1.9590,0.01,2.198,0.018
1.9592,0.008,2.1975,0.018
1.9594,0.008,2.1975,0.018
1.9596,0.01,2.1975,0.018
1.9598,0.01,2.197,0.018
1.9600,0.01,2.1975,0.018
1.9602,0.008,2.1975,0.018
1.9604,0.008,2.1975,0.018
1.9606,0.01,2.1975,0.018
1.9608,0.01,2.198,0.018
1.9610,0.004,2.1975,0.018
1.9612,0.008,2.1975,0.018
1.9614,0.01,2.1975,0.018
1.9616,0.016,2.1975,0.018
1.9618,0.004,2.198,0.018
1.9620,0.004,2.1975,0.018
1.9622,0.01,2.198,0.018
1.9624,0.018,2.1975,0.018
1.9626,0.004,2.198,0.018
