Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
2.3320,0.002,2.197,0.002
2.3322,0.012,2.1975,0.012
2.3324,0.01,2.197,0.012
2.3326,0.008,2.198,0.012
2.3328,0.012,2.1975,0.012
2.3330,0.01,2.197,0.012
2.3332,0.004,2.1975,0.012
2.3334,0.008,2.1975,0.012
2.3336,0.01,2.198,0.012
2.3338,0.008,2.1975,0.012
2.3340,0.01,2.1975,0.012
2.3342,0.004,2.197,0.012
2.3344,0.01,2.1975,0.012
2.3346,0.008,2.1975,0.012
2.3348,0.01,2.197,0.012
2.3350,0.012,2.197,0.012
2.3352,0.008,2.1975,0.012
2.3354,0.012,2.197,0.012
2.3356,0.012,2.198,0.012
2.3358,0.004,2.198,0.012
2.3360,0.01,2.198,0.012
2.3362,0.008,2.1975,0.012
2.3364,0.012,2.197,0.012
2.3366,0.004,2.1975,0.012
2.3368,0.01,2.1975,0.012
2.3370,0.008,2.1975,0.012
2.3372,0.008,2.1975,0.012
2.3374,0.01,2.198,0.012
2.3376,0.008,2.198,0.012
2.3378,0.012,2.1975,0.012
2.3380,0.004,2.197,0.012
2.3382,0.004,2.198,0.012
2.3384,0.01,2.198,0.012
2.3386,0.01,2.198,0.012
2.3388,0.008,2.198,0.012
2.3390,0.008,2.1975,0.012
2.3392,0.018,2.1975,0.018
2.3394,0.008,2.1975,0.018
2.3396,0.01,2.198,0.018
2.3398,0.016,2.1975,0.018
2.3400,0.002,2.1975,0.018
2.3402,0.008,2.1975,0.018
2.3404,0.008,2.1975,0.018
2.3406,0.004,2.198,0.018
2.3408,0.008,2.198,0.018
2.3410,0.01,2.197,0.018
2.3412,0.012,2.197,0.018
2.3414,0.012,2.1975,0.018
2.3416,0,2.1975,0.018
2.3418,0.02,2.197,0.02
2.3420,0.01,2.1975,0.02
2.3422,0.012,2.197,0.02
2.3424,0.012,2.1975,0.02
2.3426,0.008,2.1975,0.02
2.3428,0.004,2.1975,0.02
2.3430,0.012,2.1975,0.02
2.3432,0.012,2.1975,0.02
2.3434,0.01,2.1975,0.02
2.3436,0.008,2.197,0.02
2.3438,0.004,2.1975,0.02
2.3440,0.012,2.1975,0.02
2.3442,0.004,2.1975,0.02
2.3444,0.01,2.198,0.02
2.3446,0.004,2.1985,0.02
2.3448,0.008,2.198,0.02
2.3450,0.002,2.1975,0.02
2.3452,0.01,2.198,0.02
2.3454,0.008,2.1975,0.02
2.3456,0.01,2.198,0.02
2.3458,0.01,2.1975,0.02
2.3460,0.01,2.198,0.02
2.3462,0.008,2.1975,0.02
2.3464,0.008,2.1975,0.02
2.3466,0.004,2.1975,0.02
2.3468,0.016,2.197,0.02
2.3470,0.01,2.1975,0.02
2.3472,0.004,2.1975,0.02
2.3474,0.01,2.198,0.02
2.3476,0.002,2.198,0.02
2.3478,0.012,2.198,0.02
2.3480,0.01,2.198,0.02
2.3482,0.004,2.1975,0.02
2.3484,0.002,2.1975,0.02
2.3486,0.004,2.1975,0.02
2.3488,0.008,2.197,0.02
2.3490,0.01,2.1975,0.02
2.3492,0.01,2.197,0.02
2.3494,0.01,2.198,0.02
2.3496,0.01,2.198,0.02
2.3498,0.012,2.197,0.02
2.3500,0.004,2.1975,0.02
2.3502,0.008,2.1975,0.02
2.3504,0.01,2.1975,0.02
2.3506,0.004,2.1975,0.02
2.3508,0.012,2.1975,0.02
2.3510,0.008,2.1975,0.02
2.3512,0.008,2.1975,0.02
2.3514,0.01,2.197,0.02
2.3516,0.008,2.197,0.02
2.3518,0.004,2.1975,0.02
2.3520,0.004,2.1975,0.02
2.3522,0.008,2.1975,0.02
2.3524,0.01,2.198,0.02
2.3526,0.008,2.198,0.02
2.3528,0.01,2.1975,0.02
2.3530,0.008,2.198,0.02
2.3532,0.01,2.1975,0.02
2.3534,0.004,2.198,0.02
2.3536,0.004,2.1985,0.02
2.3538,0.002,2.1975,0.02
2.3540,0.004,2.1975,0.02
2.3542,0.01,2.198,0.02
2.3544,0.004,2.198,0.02
2.3546,0.004,2.197,0.02
2.3548,0.012,2.1975,0.02
2.3550,0.004,2.198,0.02
2.3552,0.008,2.1975,0.02
2.3554,0.012,2.1975,0.02
2.3556,0.01,2.198,0.02
2.3558,0.008,2.1975,0.02
2.3560,0.008,2.1975,0.02
2.3562,0.008,2.198,0.02
2.3564,0.008,2.1975,0.02
2.3566,0.008,2.197,0.02
2.3568,0.012,2.1975,0.02
2.3570,0.01,2.1975,0.02
2.3572,0.008,2.1975,0.02
2.3574,0.008,2.1975,0.02
2.3576,0.01,2.197,0.02
2.3578,0.004,2.197,0.02
2.3580,0.01,2.1975,0.02
2.3582,0.012,2.1975,0.02
2.3584,0.01,2.197,0.02
2.3586,0.012,2.1975,0.02
2.3588,0.01,2.1975,0.02
2.3590,0.008,2.1975,0.02
2.3592,0.012,2.1975,0.02
2.3594,0.004,2.197,0.02
2.3596,0,2.198,0.02
2.3598,0.02,2.1975,0.02
2.3600,0.01,2.198,0.02
2.3602,0.004,2.1975,0.02
2.3604,0.01,2.1975,0.02
2.3606,0.012,2.1975,0.02
2.3608,0.012,2.198,0.02
2.3610,0.01,2.198,0.02
2.3612,0.004,2.1975,0.02
2.3614,0.008,2.198,0.02
2.3616,0.012,2.198,0.02
2.3618,0.008,2.1975,0.02
2.3620,0.008,2.197,0.02
2.3622,0.012,2.1975,0.02
2.3624,0.008,2.1975,0.02
2.3626,0.004,2.1975,0.02
2.3628,0.008,2.1975,0.02
2.3630,0.008,2.197,0.02
2.3632,0.01,2.1975,0.02
2.3634,0.008,2.198,0.02
2.3636,0.004,2.1975,0.02
2.3638,0.01,2.1975,0.02
2.3640,0.008,2.1975,0.02
2.3642,0.002,2.198,0.02
2.3644,0.012,2.1975,0.02
2.3646,0.01,2.1975,0.02
2.3648,0.01,2.1975,0.02
2.3650,0.01,2.1975,0.02
2.3652,0.012,2.1975,0.02
2.3654,0.004,2.1975,0.02
2.3656,0.008,2.198,0.02
2.3658,0.002,2.198,0.02
2.3660,0.01,2.197,0.02
2.3662,0.008,2.198,0.02
2.3664,0.01,2.197,0.02
2.3666,0.012,2.197,0.02
2.3668,0.012,2.1975,0.02
2.3670,0.004,2.197,0.02
2.3672,0.008,2.1975,0.02
2.3674,0.01,2.1975,0.02
2.3676,0.01,2.1975,0.02
2.3678,0.004,2.198,0.02
2.3680,0.01,2.198,0.02
2.3682,0.008,2.198,0.02
2.3684,0.01,2.1975,0.02
2.3686,0.008,2.1975,0.02
2.3688,0.004,2.1975,0.02
2.3690,0.012,2.198,0.02
2.3692,0.01,2.1975,0.02
2.3694,0.01,2.1975,0.02
2.3696,0.008,2.198,0.02
2.3698,0,2.1975,0.02
2.3700,0.012,2.1975,0.02
2.3702,0.008,2.198,0.02
2.3704,0.008,2.1975,0.02
2.3706,0.01,2.1975,0.02
2.3708,0.004,2.197,0.02
2.3710,0.008,2.1975,0.02
2.3712,0.008,2.198,0.02
2.3714,0.01,2.1975,0.02
2.3716,0.002,2.1975,0.02
2.3718,0.01,2.198,0.02
2.3720,0.008,2.198,0.02
2.3722,0.008,2.197,0.02
2.3724,0.008,2.197,0.02
2.3726,0.004,2.1975,0.02
2.3728,0.008,2.1975,0.02
2.3730,0.008,2.1975,0.02
2.3732,0.008,2.198,0.02
2.3734,0.008,2.198,0.02
2.3736,0.01,2.1975,0.02
2.3738,0.008,2.1975,0.02
2.3740,0.008,2.1975,0.02
2.3742,0.008,2.1975,0.02
2.3744,0.01,2.1975,0.02
2.3746,0.01,2.198,0.02
2.3748,0.012,2.1975,0.02
2.3750,0.004,2.1975,0.02
2.3752,0.016,2.1975,0.02
2.3754,0.012,2.1975,0.02
2.3756,0.004,2.1975,0.02
2.3758,0.004,2.197,0.02
2.3760,0.01,2.198,0.02
2.3762,0.01,2.1975,0.02
2.3764,0.004,2.1975,0.02
2.3766,0.012,2.1975,0.02
2.3768,0.012,2.1975,0.02
2.3770,0.01,2.1975,0.02
2.3772,0.004,2.1975,0.02
2.3774,0.008,2.159,0.02
2.3776,562,2.2005,562
2.3778,89,2.185,562
2.3780,24.222,2.201,562
2.3782,0.076,2.1995,562
2.3784,0.002,2.198,562
2.3786,0.004,2.1975,562
2.3788,0.334,2.1975,562
2.3790,4.018,2.1975,562
2.3792,3.838,2.1995,562
2.3794,1.584,2.196,562
2.3796,8.848,2.1965,562
2.3798,0.742,2.1975,562
2.3800,0.78,2.198,562
2.3802,4.634,2.197,562
2.3804,6.448,2.197,562
2.3806,1.478,2.196,562
2.3808,12.288,2.2025,562
2.3810,4.724,2.1985,562
2.3812,15.842,2.2045,562
2.3814,6.778,2.1985,562
2.3816,6.416,2.197,562
2.3818,4.66,2.197,562
2.3820,2.696,2.1995,562
2.3822,0.22,2.1975,562
2.3824,0.704,2.197,562
2.3826,1.5,2.1985,562
2.3828,2.132,2.197,562
2.3830,3.576,2.197,562
2.3832,0.588,2.197,562
2.3834,0.596,2.1975,562
2.3836,0.5,2.1975,562
2.3838,0.376,2.1975,562
2.3840,0.312,2.1975,562
2.3842,0.304,2.1975,562
2.3844,0.13,2.197,562
2.3846,0.244,2.1975,562
2.3848,0.298,2.197,562
2.3850,0.648,2.1975,562
2.3852,0.072,2.198,562
2.3854,0.102,2.198,562
2.3856,0.948,2.198,562
2.3858,0.904,2.1975,562
2.3860,1.152,2.1975,562
2.3862,0.122,2.1975,562
2.3864,0.144,2.198,562
2.3866,0.286,2.1985,562
2.3868,0.068,2.1975,562
2.3870,0.14,2.197,562
2.3872,0.392,2.1975,562
2.3874,0.236,2.1975,562
2.3876,0.102,2.197,562
2.3878,1.986,2.1995,562
2.3880,0.138,2.197,562
2.3882,0.008,2.197,562
2.3884,0.01,2.197,562
2.3886,0.012,2.197,562
2.3888,0.01,2.1975,562
2.3890,0.016,2.1975,562
2.3892,0.008,2.1975,562
2.3894,0.026,2.1975,562
2.3896,0.012,2.1975,562
2.3898,0.01,2.1975,562
2.3900,0.008,2.1975,562
2.3902,0.016,2.1975,562
2.3904,0.002,2.1975,562
2.3906,0.012,2.1975,562
2.3908,0.01,2.1975,562
2.3910,0.01,2.1975,562
2.3912,0.008,2.198,562
2.3914,0.002,2.198,562
2.3916,0.008,2.198,562
2.3918,0.062,2.1975,562
2.3920,0.482,2.1965,562
2.3922,12.026,2.2005,562
2.3926,0.882,2.197,562
2.3928,1.656,2.198,562
2.3930,0.926,2.1975,562
2.3932,0.534,2.1975,562
2.3934,0.806,2.198,562
2.3936,0.528,2.1975,562
2.3938,0.576,2.1975,562
2.3940,0.674,2.1975,562
2.3942,0.506,2.1975,562
2.3944,0.652,2.1975,562
2.3946,0.536,2.1975,562
2.3948,0.628,2.1975,562
2.3950,0.636,2.197,562
2.3952,0.416,2.1975,562
2.3954,0.574,2.1975,562
2.3956,0.5,2.197,562
2.3958,0.384,2.198,562
2.3960,0.17,2.198,562
2.3962,0.01,2.197,562
2.3964,0.01,2.198,562
2.3966,0.32,2.198,562
2.3968,0.01,2.1975,562
2.3970,0.004,2.1975,562
2.3972,0.004,2.197,562
2.3974,0.01,2.1975,562
2.3976,0.1,2.197,562
2.3978,0.7,2.197,562
2.3980,0.41,2.1975,562
2.3982,0.024,2.197,562
2.3984,0.012,2.197,562
2.3986,0.01,2.197,562
2.3988,0.012,2.198,562
2.3990,0.02,2.197,562
2.3992,0.162,2.1975,562
2.3994,0.088,2.197,562
2.3996,3.672,2.1975,562
2.3998,4.918,2.1975,562
2.4000,0.898,2.198,562
2.4002,0.158,2.1975,562
2.4004,0.08,2.1975,562
2.4006,0.294,2.198,562
2.4008,1.186,2.197,562
2.4010,1.192,2.1975,562
2.4012,0.516,2.1975,562
2.4014,0.956,2.1975,562
2.4016,0.632,2.1975,562
2.4018,0.59,2.1975,562
2.4020,0.456,2.197,562
2.4022,0.62,2.197,562
2.4024,0.604,2.1975,562
2.4026,0.456,2.1975,562
2.4028,0.674,2.1975,562
2.4030,0.538,2.197,562
2.4032,0.464,2.1975,562
2.4034,0.702,2.1975,562
2.4036,0.498,2.1975,562
2.4038,0.516,2.1975,562
2.4040,0.582,2.197,562
2.4042,0.628,2.1975,562
2.4044,0.464,2.198,562
2.4046,0.474,2.1975,562
2.4048,0.558,2.197,562
2.4050,0.644,2.1975,562
2.4052,0.64,2.198,562
2.4054,0.16,2.197,562
2.4056,0.088,2.1975,562
2.4058,0.484,2.1975,562
2.4060,0.478,2.1975,562
2.4062,0.514,2.197,562
2.4064,0.468,2.1975,562
2.4066,0.196,2.1975,562
2.4068,1.028,2.198,562
2.4070,0.844,2.197,562
2.4072,0.91,2.1975,562
2.4074,0.828,2.1975,562
2.4076,0.614,2.1975,562
2.4078,0.492,2.198,562
2.4080,0.538,2.198,562
2.4082,0.47,2.1975,562
2.4084,0.672,2.1975,562
2.4086,0.49,2.1975,562
2.4088,0.554,2.1975,562
2.4090,0.484,2.1975,562
2.4092,0.648,2.1975,562
2.4094,0.55,2.1975,562
2.4096,0.546,2.1975,562
2.4098,0.516,2.1975,562
2.4100,0.582,2.1975,562
2.4102,0.41,2.1975,562
2.4104,0.61,2.1975,562
2.4106,0.588,2.1975,562
2.4108,0.492,2.1975,562
2.4110,0.61,2.1975,562
2.4112,0.422,2.1975,562
2.4114,0.708,2.1975,562
2.4116,0.424,2.1975,562
2.4118,0.544,2.1975,562
2.4120,0.656,2.1975,562
2.4122,0.512,2.1975,562
2.4124,0.508,2.1975,562
2.4126,0.49,2.1975,562
2.4128,0.598,2.1975,562
2.4130,0.534,2.1975,562
2.4132,0.514,2.1975,562
2.4134,0.52,2.1975,562
2.4136,0.656,2.1975,562
2.4138,0.384,2.197,562
2.4140,0.67,2.1975,562
2.4142,0.388,2.1975,562
2.4144,0.702,2.1975,562
2.4146,0.34,2.198,562
2.4148,0.708,2.1975,562
2.4150,0.49,2.1975,562
2.4152,0.618,2.1975,562
2.4154,0.522,2.1975,562
2.4156,0.53,2.198,562
2.4158,0.56,2.1975,562
2.4160,0.408,2.1975,562
2.4162,0.692,2.1975,562
2.4164,0.416,2.1975,562
2.4166,0.68,2.197,562
2.4168,0.462,2.1975,562
2.4170,0.506,2.1975,562
2.4172,0.498,2.1975,562
2.4174,0.598,2.1975,562
2.4176,0.448,2.1975,562
2.4178,0.572,2.1975,562
2.4180,0.546,2.1975,562
2.4182,0.566,2.1975,562
2.4184,0.53,2.1975,562
2.4186,0.582,2.198,562
2.4188,0.41,2.1975,562
2.4190,0.43,2.1975,562
2.4192,0.574,2.1975,562
2.4194,0.64,2.1975,562
2.4196,0.542,2.1975,562
2.4198,0.542,2.1975,562
2.4200,0.468,2.1975,562
2.4202,0.566,2.1975,562
2.4204,0.576,2.1975,562
2.4206,0.514,2.1975,562
2.4208,0.462,2.1975,562
2.4210,0.576,2.1975,562
2.4212,0.438,2.1975,562
2.4214,0.694,2.198,562
2.4216,0.59,2.1975,562
2.4218,0.426,2.1975,562
2.4220,0.55,2.1975,562
2.4222,0.598,2.1975,562
2.4224,0.354,2.197,562
2.4226,0.64,2.197,562
2.4228,0.55,2.1975,562
2.4230,0.606,2.1975,562
2.4232,0.438,2.1975,562
2.4234,0.536,2.198,562
2.4236,0.59,2.1975,562
2.4238,0.65,2.1975,562
2.4240,0.52,2.1975,562
2.4242,0.438,2.1975,562
2.4244,0.438,2.1975,562
2.4246,0.62,2.1975,562
2.4248,0.564,2.1975,562
2.4250,0.592,2.198,562
2.4252,0.544,2.198,562
2.4254,0.448,2.198,562
2.4256,0.588,2.1975,562
2.4258,0.534,2.1975,562
2.4260,0.464,2.1975,562
2.4262,0.62,2.1975,562
2.4264,0.546,2.1975,562
2.4266,0.53,2.1975,562
2.4268,0.534,2.197,562
2.4270,0.504,2.1975,562
2.4272,0.584,2.1975,562
2.4274,0.484,2.1975,562
2.4276,0.52,2.1975,562
2.4278,0.636,2.198,562
2.4280,0.438,2.1975,562
2.4282,0.604,2.1975,562
2.4284,0.544,2.1975,562
2.4286,0.512,2.198,562
2.4288,0.552,2.1975,562
2.4290,0.62,2.1975,562
2.4292,0.47,2.1975,562
2.4294,0.438,2.198,562
2.4296,0.62,2.198,562
2.4298,0.47,2.197,562
2.4300,0.558,2.1975,562
2.4302,0.49,2.1975,562
2.4304,0.462,2.1975,562
2.4306,0.558,2.1975,562
2.4308,0.754,2.198,562
2.4310,0.44,2.1975,562
2.4312,0.544,2.1975,562
2.4314,0.512,2.198,562
2.4316,0.574,2.197,562
2.4318,0.462,2.1975,562
2.4320,0.566,2.1975,562
2.4322,0.508,2.198,562
2.4324,0.508,2.197,562
2.4326,0.666,2.1975,562
2.4328,0.424,2.1975,562
2.4330,0.508,2.197,562
2.4332,0.558,2.197,562
2.4334,0.658,2.198,562
2.4336,0.46,2.1975,562
2.4338,0.558,2.1975,562
