Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
0.6602,0.006,2.1975,0.006
0.6604,0.004,2.1975,0.006
0.6606,0.008,2.198,0.008
0.6608,0.008,2.198,0.008
0.6610,0.008,2.1975,0.008
0.6612,0.008,2.1975,0.008
0.6614,0.004,2.1975,0.008
0.6616,0.006,2.1975,0.008
0.6618,0.006,2.1975,0.008
0.6620,0.004,2.1975,0.008
0.6622,0.008,2.1975,0.008
0.6624,0.008,2.1975,0.008
0.6626,0.006,2.1975,0.008
0.6628,0.006,2.1975,0.008
0.6630,0.008,2.1975,0.008
0.6632,0.006,2.1975,0.008
0.6634,0.008,2.1975,0.008
0.6636,-0.01,2.198,0.008
0.6638,0.022,2.198,0.022
0.6640,0.004,2.1975,0.022
0.6642,0.006,2.197,0.022
0.6644,0.008,2.198,0.022
0.6646,0.008,2.1975,0.022
0.6648,0.006,2.1975,0.022
0.6650,0.012,2.1975,0.022
0.6652,0.004,2.198,0.022
0.6654,0.006,2.197,0.022
0.6656,0.012,2.1975,0.022
0.6658,0.006,2.197,0.022
0.6660,0.006,2.1975,0.022
0.6662,0.008,2.198,0.022
0.6664,0.006,2.1975,0.022
0.6666,0.006,2.1975,0.022
0.6668,0.008,2.198,0.022
0.6670,0.006,2.1975,0.022
0.6672,0.006,2.1975,0.022
0.6674,0.012,2.197,0.022
0.6676,0.006,2.1975,0.022
0.6678,0.008,2.197,0.022
0.6680,0.006,2.1975,0.022
0.6682,0.008,2.1975,0.022
0.6684,0.008,2.198,0.022
0.6686,0.006,2.1975,0.022
0.6688,0.006,2.1975,0.022
0.6690,0.006,2.1975,0.022
0.6692,0.004,2.198,0.022
0.6694,0.008,2.1975,0.022
0.6696,0.006,2.1975,0.022
0.6698,0.006,2.1975,0.022
0.6700,0.004,2.1975,0.022
0.6702,0.008,2.1975,0.022
0.6704,0.004,2.1975,0.022
0.6706,0.006,2.198,0.022
0.6708,0.004,2.198,0.022
0.6710,0.006,2.1975,0.022
0.6712,0.006,2.1975,0.022
0.6714,0.006,2.1975,0.022
0.6716,0.004,2.197,0.022
0.6718,0.006,2.198,0.022
0.6720,0.006,2.198,0.022
0.6722,0.006,2.198,0.022
0.6724,0.006,2.198,0.022
0.6726,0.008,2.1975,0.022
0.6728,0.004,2.198,0.022
0.6730,0.006,2.198,0.022
0.6732,0.006,2.1975,0.022
0.6734,0.004,2.1975,0.022
0.6736,0.008,2.1975,0.022
0.6738,0.006,2.1975,0.022
0.6740,0.014,2.198,0.022
0.6742,0.006,2.197,0.022
0.6744,0.008,2.1975,0.022
0.6746,0.006,2.1975,0.022
0.6748,0.008,2.1975,0.022
0.6750,0.004,2.1975,0.022
0.6752,0.006,2.197,0.022
0.6754,0.006,2.198,0.022
0.6756,0.006,2.1975,0.022
0.6758,0.008,2.1975,0.022
0.6760,0.006,2.197,0.022
0.6762,0.004,2.1975,0.022
0.6764,0.006,2.1975,0.022
0.6766,0.008,2.197,0.022
0.6768,0.008,2.1975,0.022
0.6770,0.006,2.198,0.022
0.6772,0,2.1975,0.022
0.6774,0,2.197,0.022
0.6776,0.004,2.197,0.022
0.6778,0.004,2.197,0.022
0.6780,0.008,2.1975,0.022
0.6782,0.004,2.197,0.022
0.6784,0.008,2.1975,0.022
0.6786,0.006,2.1975,0.022
0.6788,0.008,2.198,0.022
0.6790,0.004,2.1975,0.022
0.6792,0.012,2.198,0.022
0.6794,0.004,2.198,0.022
0.6796,0.004,2.198,0.022
0.6798,0.008,2.1975,0.022
0.6800,0,2.198,0.022
0.6802,0.004,2.198,0.022
0.6804,0.006,2.1975,0.022
0.6806,0.006,2.1975,0.022
0.6808,0.004,2.1975,0.022
0.6810,0.004,2.198,0.022
0.6812,0.006,2.1975,0.022
0.6814,0.008,2.1975,0.022
0.6816,-0.01,2.1975,0.022
0.6818,0.022,2.1975,0.022
0.6820,0.006,2.197,0.022
0.6822,0.008,2.1975,0.022
0.6824,0.008,2.1975,0.022
0.6826,0.008,2.1975,0.022
0.6828,0.008,2.1975,0.022
0.6830,0.008,2.1975,0.022
0.6832,0.004,2.1975,0.022
0.6834,0.006,2.197,0.022
0.6836,0.008,2.1975,0.022
0.6838,0.004,2.1975,0.022
0.6840,0.012,2.1975,0.022
0.6842,0.008,2.1975,0.022
0.6844,0.008,2.197,0.022
0.6846,0.012,2.1975,0.022
0.6848,0.006,2.197,0.022
0.6850,0.008,2.1975,0.022
0.6852,0.008,2.1975,0.022
0.6854,0.004,2.197,0.022
0.6856,0.006,2.197,0.022
0.6858,0.006,2.1975,0.022
0.6860,0.008,2.198,0.022
0.6862,0.012,2.1975,0.022
0.6864,0.004,2.198,0.022
0.6866,0.004,2.1975,0.022
0.6868,0.004,2.1975,0.022
0.6870,0.014,2.1975,0.022
0.6872,0.008,2.1975,0.022
0.6874,0.004,2.197,0.022
0.6876,0.008,2.197,0.022
0.6878,0.008,2.1975,0.022
0.6880,0.004,2.198,0.022
0.6882,0.008,2.1975,0.022
0.6884,0.004,2.1975,0.022
0.6886,0,2.1975,0.022
0.6888,0.006,2.1975,0.022
0.6890,0.006,2.198,0.022
0.6892,0,2.1975,0.022
0.6894,0.006,2.1975,0.022
0.6896,0.008,2.1975,0.022
0.6898,0.004,2.1975,0.022
0.6900,0.008,2.198,0.022
0.6902,0.008,2.197,0.022
0.6904,0.008,2.1975,0.022
0.6906,0.004,2.198,0.022
0.6908,0.006,2.198,0.022
0.6910,0.004,2.1975,0.022
0.6912,0.004,2.1975,0.022
0.6914,0.008,2.1975,0.022
0.6916,0.004,2.1975,0.022
0.6918,0.006,2.197,0.022
0.6920,0.006,2.1975,0.022
0.6922,0.004,2.1975,0.022
0.6924,0.008,2.198,0.022
0.6926,0.006,2.1975,0.022
0.6928,0,2.197,0.022
0.6930,0.004,2.1975,0.022
0.6932,0.004,2.198,0.022
0.6934,0.008,2.198,0.022
0.6936,0.012,2.1985,0.022
0.6938,0.008,2.197,0.022
0.6940,0.004,2.1975,0.022
0.6942,0.004,2.1975,0.022
0.6944,0.012,2.1975,0.022
0.6946,0.004,2.1975,0.022
0.6948,0.006,2.197,0.022
0.6950,0.006,2.1975,0.022
0.6952,0.008,2.1975,0.022
0.6954,0.008,2.197,0.022
0.6956,0.008,2.1975,0.022
0.6958,0.008,2.1975,0.022
0.6960,0.014,2.1975,0.022
0.6962,0.004,2.1975,0.022
0.6964,0,2.198,0.022
0.6966,0.006,2.198,0.022
0.6968,0.006,2.1975,0.022
0.6970,0.012,2.1975,0.022
0.6972,0.004,2.1975,0.022
0.6974,0.004,2.1975,0.022
0.6976,0,2.1975,0.022
0.6978,0.008,2.1975,0.022
0.6980,0.004,2.1975,0.022
0.6982,0,2.198,0.022
0.6984,0.008,2.198,0.022
0.6986,0.004,2.198,0.022
0.6988,0.006,2.1975,0.022
0.6990,0.008,2.197,0.022
0.6992,0.008,2.198,0.022
0.6994,0.004,2.1975,0.022
0.6996,-0.004,2.198,0.022
0.6998,0.014,2.198,0.022
0.7000,0.008,2.198,0.022
0.7002,0.008,2.198,0.022
0.7004,0.004,2.198,0.022
0.7006,0.008,2.198,0.022
0.7008,0.008,2.198,0.022
0.7010,0.008,2.1975,0.022
0.7012,0.008,2.198,0.022
0.7014,0.012,2.1975,0.022
0.7016,0.008,2.197,0.022
0.7018,0.006,2.1975,0.022
0.7020,0.012,2.1975,0.022
0.7022,0.006,2.198,0.022
0.7024,0,2.198,0.022
0.7026,0.014,2.1975,0.022
0.7028,0.004,2.1975,0.022
0.7030,0.006,2.197,0.022
