Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
2.1972,2491.5,2.195,2491.5
2.1974,2489.5,2.195,2491.5
2.1976,2533,2.1965,2533
2.1978,2439,2.1945,2533
2.1980,2483.5,2.196,2533
2.1982,2482,2.196,2533
2.1984,2480.5,2.1945,2533
2.1986,2479,2.1945,2533
2.1988,2478,2.196,2533
2.1990,2477,2.195,2533
2.1992,2477,2.195,2533
2.1994,2477,2.196,2533
2.1996,2475.5,2.196,2533
2.1998,2474.5,2.196,2533
2.2000,2473,2.196,2533
2.2002,2472,2.1945,2533
2.2004,2471,2.1965,2533
2.2006,2470.5,2.195,2533
2.2008,2469.5,2.1945,2533
2.2010,2466.5,2.194,2533
2.2012,2464,2.1945,2533
2.2014,2465.5,2.196,2533
2.2016,2462.5,2.195,2533
2.2018,2459.5,2.195,2533
2.2020,2459.5,2.1965,2533
2.2022,2457.5,2.196,2533
2.2024,2455.5,2.1945,2533
2.2026,2453,2.1945,2533
2.2028,2450.5,2.1945,2533
2.2030,2450,2.1965,2533
2.2032,2450.5,2.196,2533
2.2034,2451,2.1965,2533
2.2036,2451,2.195,2533
2.2038,2452.5,2.195,2533
2.2040,2453,2.195,2533
2.2042,2453.5,2.195,2533
2.2044,2452.5,2.195,2533
2.2046,2452.5,2.195,2533
2.2048,2454.5,2.195,2533
2.2050,2454.5,2.196,2533
2.2052,2449.5,2.196,2533
2.2054,2449.5,2.195,2533
2.2056,2448,2.195,2533
2.2058,2446.5,2.195,2533
2.2060,2444.5,2.1945,2533
2.2062,2440.5,2.1945,2533
2.2064,2436,2.196,2533
2.2066,2434,2.196,2533
2.2068,2432.5,2.1945,2533
2.2070,2431.5,2.195,2533
2.2072,2433.5,2.195,2533
2.2074,2437.5,2.195,2533
2.2076,2439.5,2.195,2533
2.2078,2438.5,2.196,2533
2.2080,2439.5,2.195,2533
2.2082,2439,2.196,2533
2.2084,2440.5,2.1945,2533
2.2086,2443.5,2.195,2533
2.2088,2445.5,2.196,2533
2.2090,2452,2.195,2533
2.2092,2451.5,2.196,2533
2.2094,2451.5,2.195,2533
2.2096,2451.5,2.196,2533
2.2098,2450,2.1965,2533
2.2100,2443.5,2.1945,2533
2.2102,2443,2.195,2533
2.2104,2442.5,2.1965,2533
2.2106,2439.5,2.1965,2533
2.2108,2437.5,2.196,2533
2.2110,2441,2.195,2533
2.2112,2444.5,2.195,2533
2.2114,2451.5,2.195,2533
2.2116,2472.5,2.1945,2533
2.2118,2472,2.1945,2533
2.2120,2473.5,2.195,2533
2.2122,2475,2.1945,2533
2.2124,2471,2.195,2533
2.2126,2465.5,2.196,2533
2.2128,2465,2.196,2533
2.2130,2464.5,2.195,2533
2.2132,2459.5,2.195,2533
2.2134,2453.5,2.196,2533
2.2136,2452.5,2.196,2533
2.2138,2465.5,2.195,2533
2.2140,2474.5,2.195,2533
2.2142,2464,2.195,2533
2.2144,2466,2.1945,2533
2.2146,2445,2.1945,2533
2.2148,2428.5,2.196,2533
2.2150,2419,2.1945,2533
2.2152,2419,2.1965,2533
2.2154,2410.5,2.196,2533
2.2156,2470.5,2.195,2533
2.2158,2414.5,2.195,2533
2.2160,2457,2.194,2533
2.2162,2455,2.1945,2533
2.2164,2454.5,2.1945,2533
2.2166,2455,2.196,2533
2.2168,2438,2.194,2533
2.2170,2434,2.195,2533
2.2172,2449.5,2.195,2533
2.2174,2442,2.196,2533
2.2176,2426,2.196,2533
2.2178,2426,2.195,2533
2.2180,2393.5,2.196,2533
2.2182,2372,2.195,2533
2.2184,2335,2.196,2533
2.2186,2328,2.195,2533
2.2188,2302.5,2.195,2533
2.2190,2251,2.195,2533
2.2192,2220,2.195,2533
2.2194,2215,2.195,2533
2.2196,2220,2.196,2533
2.2198,2220,2.196,2533
2.2200,2161.5,2.195,2533
2.2202,2175.5,2.196,2533
2.2204,2185.5,2.1945,2533
2.2206,2179,2.196,2533
2.2208,2191,2.1965,2533
2.2210,2172.5,2.196,2533
2.2212,2192.5,2.1945,2533
2.2214,2201,2.1945,2533
2.2216,2198.5,2.1965,2533
2.2218,2164,2.195,2533
