Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
11.5590,2264,2.195,2264
11.5592,2277,2.1945,2277
11.5594,2260,2.195,2277
11.5596,2262,2.195,2277
11.5598,2257,2.196,2277
11.5600,2225,2.195,2277
11.5602,2220.5,2.1945,2277
11.5604,2211,2.1945,2277
11.5606,2218,2.195,2277
11.5608,2271.5,2.196,2277
11.5610,2196,2.195,2277
11.5612,2223,2.195,2277
11.5614,2217.5,2.1965,2277
11.5616,2224.5,2.195,2277
11.5618,2215,2.196,2277
11.5620,2198.5,2.195,2277
11.5622,2181,2.194,2277
11.5624,2207,2.196,2277
11.5626,2203,2.196,2277
11.5628,2195,2.195,2277
11.5630,2162.5,2.195,2277
11.5632,2147,2.194,2277
11.5634,2150.5,2.196,2277
11.5636,2140,2.1945,2277
11.5638,2146.5,2.195,2277
11.5640,2123,2.194,2277
11.5642,2146.5,2.195,2277
11.5644,2156,2.195,2277
11.5646,2152,2.196,2277
11.5648,2190.5,2.194,2277
11.5650,2164,2.194,2277
11.5652,2152,2.197,2277
11.5654,2104.5,2.1945,2277
11.5656,2121.5,2.194,2277
11.5658,2128.5,2.196,2277
11.5660,2129.5,2.196,2277
11.5662,2115,2.1935,2277
11.5664,2169,2.194,2277
11.5666,2145.5,2.194,2277
11.5668,2134,2.1945,2277
11.5670,2174.5,2.195,2277
11.5672,2143,2.1945,2277
11.5674,2170.5,2.1945,2277
11.5676,2212,2.1945,2277
11.5678,2141,2.1945,2277
11.5680,2150.5,2.194,2277
11.5682,2190.5,2.1965,2277
11.5684,2145,2.195,2277
11.5686,2158,2.1965,2277
11.5688,2178.5,2.195,2277
11.5690,2183,2.1945,2277
11.5692,2306,2.194,2306
11.5694,2365,2.194,2365
11.5696,2355,2.194,2365
11.5698,2303,2.1965,2365
11.5700,2244,2.196,2365
11.5702,2265.5,2.1945,2365
11.5704,2302,2.1945,2365
11.5706,2243,2.196,2365
11.5708,2157.5,2.1945,2365
11.5710,2163,2.196,2365
11.5712,2191.5,2.195,2365
11.5714,2299.5,2.195,2365
11.5716,2340.5,2.1945,2365
11.5718,2345.5,2.196,2365
11.5720,2349,2.194,2365
11.5722,2369,2.196,2369
11.5724,2337,2.194,2369
11.5726,2348,2.195,2369
11.5728,2336,2.196,2369
11.5730,2348.5,2.195,2369
11.5732,2347.5,2.1965,2369
11.5734,2329,2.197,2369
11.5736,2198,2.1945,2369
11.5738,2142,2.1945,2369
11.5740,2112.5,2.194,2369
11.5742,2198,2.1945,2369
11.5744,2124,2.196,2369
11.5746,2093,2.1945,2369
11.5748,2112.5,2.195,2369
11.5750,2109.5,2.1965,2369
11.5752,2106,2.197,2369
11.5754,2067,2.196,2369
11.5756,2132.5,2.1945,2369
11.5758,2150,2.196,2369
11.5760,2057.5,2.193,2369
11.5762,2137.5,2.195,2369
11.5764,2116.5,2.195,2369
11.5766,2135,2.1935,2369
11.5768,2216,2.194,2369
11.5770,2368,2.194,2369
11.5772,2363.5,2.196,2369
11.5774,2298.5,2.197,2369
11.5776,2121.5,2.1965,2369
11.5778,2177.5,2.194,2369
11.5780,2266,2.195,2369
11.5782,2173,2.193,2369
11.5784,2197.5,2.194,2369
11.5786,2266.5,2.196,2369
11.5788,2337.5,2.1965,2369
11.5790,1965,2.1945,2369
11.5792,2058.5,2.196,2369
11.5794,2023.9999,2.195,2369
11.5796,1985,2.1945,2369
11.5798,1969,2.1945,2369
11.5800,1950,2.1945,2369
11.5802,1984,2.1905,2369
11.5804,2292,2.1945,2369
11.5806,2440.5,2.1945,2440.5
11.5808,2460,2.1945,2460
11.5810,2404.5,2.1985,2460
11.5812,2161,2.1945,2460
11.5814,2158.5,2.194,2460
11.5816,2203,2.195,2460
11.5818,1990.5,2.197,2460
11.5820,1815,2.1975,2460
11.5822,1644.5,2.198,2460
11.5824,1713.5,2.194,2460
11.5826,2066.5,2.1945,2460
11.5828,2107,2.1965,2460
11.5830,2013.5,2.195,2460
11.5832,1967,2.196,2460
11.5834,1837.5,2.196,2460
11.5836,1485,2.2065,2460
11.5838,423.5,2.204,2460
11.5840,66.5,2.2025,2460
11.5842,15.948,2.2005,2460
11.5844,6.056,2.2,2460
11.5846,4.428,2.1995,2460
11.5848,3.648,2.2,2460
11.5850,3.6,2.2005,2460
11.5852,3.872,2.2,2460
11.5854,3.756,2.2,2460
11.5856,3.31,2.1995,2460
11.5858,3.632,2.1995,2460
11.5860,3.814,2.2,2460
11.5862,3.548,2.2,2460
11.5864,3.582,2.2,2460
11.5866,3.348,2.2,2460
11.5868,3.252,2.2,2460
11.5870,3.306,2.1995,2460
11.5872,3.242,2.2,2460
11.5874,3.156,2.1995,2460
11.5876,3.176,2.2,2460
11.5878,2.956,2.2,2460
11.5880,3.224,2.1995,2460
11.5882,2.952,2.2,2460
11.5884,3.068,2.1995,2460
11.5886,3.228,2.2,2460
11.5888,2.948,2.2,2460
11.5890,2.918,2.1995,2460
11.5892,3.044,2.1995,2460
11.5894,3.006,2.2,2460
11.5896,2.872,2.1995,2460
11.5898,2.962,2.1995,2460
11.5900,3.12,2.1985,2460
11.5902,2.882,2.2,2460
11.5904,2.828,2.1985,2460
11.5906,2.896,2.1995,2460
11.5908,2.838,2.1995,2460
11.5910,2.968,2.1985,2460
11.5912,3.096,2.1995,2460
11.5914,2.872,2.1985,2460
11.5916,2.876,2.1995,2460
11.5918,2.968,2.1985,2460
11.5920,2.782,2.1995,2460
11.5922,2.958,2.1995,2460
11.5924,2.724,2.1985,2460
11.5926,3.08,2.1985,2460
11.5928,2.752,2.1995,2460
11.5930,2.818,2.1985,2460
11.5932,2.962,2.1985,2460
11.5934,2.942,2.1995,2460
11.5936,2.766,2.1985,2460
11.5938,2.834,2.1985,2460
11.5940,3.004,2.1995,2460
11.5942,2.842,2.1995,2460
11.5944,2.748,2.1995,2460
11.5946,2.914,2.1985,2460
11.5948,2.782,2.198,2460
11.5950,2.934,2.1995,2460
11.5952,2.966,2.1985,2460
11.5954,2.638,2.198,2460
11.5956,2.806,2.1985,2460
11.5958,3.018,2.1985,2460
11.5960,2.748,2.1985,2460
11.5962,2.91,2.1995,2460
11.5964,2.83,2.1985,2460
11.5966,2.61,2.198,2460
11.5968,2.934,2.1985,2460
11.5970,2.686,2.198,2460
11.5972,2.966,2.1985,2460
11.5974,2.824,2.1985,2460
11.5976,2.83,2.1985,2460
11.5978,2.948,2.1985,2460
11.5980,2.554,2.198,2460
11.5982,2.938,2.1985,2460
11.5984,2.796,2.198,2460
11.5986,2.758,2.198,2460
11.5988,2.83,2.198,2460
11.5990,2.906,2.1985,2460
11.5992,2.892,2.198,2460
11.5994,2.638,2.1985,2460
11.5996,2.842,2.198,2460
11.5998,2.652,2.1985,2460
11.6000,3.13,2.1985,2460
11.6002,2.654,2.198,2460
11.6004,2.724,2.198,2460
11.6006,2.89,2.198,2460
11.6008,2.834,2.1985,2460
11.6010,2.858,2.1985,2460
11.6012,2.9,2.198,2460
11.6014,2.628,2.198,2460
11.6016,2.8,2.1985,2460
11.6018,2.838,2.198,2460
11.6020,2.842,2.1985,2460
11.6022,2.756,2.198,2460
11.6024,2.758,2.198,2460
11.6026,2.72,2.1975,2460
11.6028,2.682,2.1985,2460
11.6030,2.882,2.198,2460
11.6032,2.728,2.198,2460
11.6034,2.92,2.198,2460
11.6036,2.642,2.198,2460
11.6038,2.886,2.1985,2460
11.6040,2.83,2.1985,2460
11.6042,2.804,2.198,2460
11.6044,2.68,2.198,2460
11.6046,2.806,2.198,2460
11.6048,2.68,2.198,2460
11.6050,2.842,2.1975,2460
11.6052,2.738,2.198,2460
11.6054,2.882,2.198,2460
11.6056,2.914,2.1985,2460
11.6058,2.592,2.1975,2460
11.6060,2.814,2.198,2460
11.6062,2.714,2.198,2460
11.6064,2.968,2.198,2460
11.6066,2.618,2.198,2460
11.6068,2.856,2.1985,2460
11.6070,2.83,2.198,2460
11.6072,2.71,2.198,2460
11.6074,2.938,2.198,2460
11.6076,2.718,2.198,2460
11.6078,2.604,2.198,2460
11.6080,2.972,2.198,2460
11.6082,2.792,2.198,2460
11.6084,2.718,2.1975,2460
11.6086,2.672,2.198,2460
11.6088,2.844,2.198,2460
11.6090,2.868,2.1985,2460
11.6092,2.758,2.198,2460
11.6094,2.658,2.198,2460
11.6096,2.904,2.198,2460
11.6098,2.92,2.198,2460
11.6100,2.52,2.198,2460
11.6102,2.944,2.1985,2460
11.6104,2.804,2.198,2460
11.6106,2.644,2.1985,2460
11.6108,2.834,2.198,2460
11.6110,2.748,2.1975,2460
11.6112,2.682,2.198,2460
11.6114,2.772,2.198,2460
11.6116,2.868,2.198,2460
11.6118,2.742,2.1985,2460
11.6120,2.868,2.198,2460
11.6122,2.638,2.1975,2460
11.6124,2.72,2.1975,2460
11.6126,2.886,2.198,2460
11.6128,2.744,2.198,2460
11.6130,2.766,2.198,2460
11.6132,2.72,2.198,2460
11.6134,2.982,2.198,2460
11.6136,2.606,2.1985,2460
11.6138,2.79,2.198,2460
11.6140,2.582,2.198,2460
11.6142,2.9,2.198,2460
11.6144,2.83,2.198,2460
11.6146,2.842,2.198,2460
11.6148,2.582,2.1975,2460
11.6150,2.83,2.198,2460
11.6152,2.776,2.1985,2460
11.6154,2.918,2.198,2460
11.6156,2.72,2.198,2460
11.6158,2.766,2.1975,2460
11.6160,2.768,2.1975,2460
11.6162,2.842,2.198,2460
11.6164,2.672,2.198,2460
11.6166,2.838,2.198,2460
11.6168,2.956,2.198,2460
11.6170,2.562,2.198,2460
11.6172,2.872,2.198,2460
11.6174,2.838,2.198,2460
11.6176,2.742,2.198,2460
11.6178,2.714,2.1975,2460
11.6180,2.734,2.1975,2460
11.6182,2.756,2.198,2460
11.6184,2.958,2.198,2460
11.6186,2.668,2.1975,2460
11.6188,2.892,2.1975,2460
11.6190,2.968,2.1975,2460
11.6192,3.206,2.1975,2460
11.6194,3.252,2.198,2460
11.6196,3.306,2.198,2460
11.6198,3.32,2.198,2460
11.6200,3.12,2.198,2460
11.6202,3.358,2.1975,2460
11.6204,3.058,2.197,2460
11.6206,3.37,2.198,2460
11.6208,3.09,2.198,2460
11.6210,3.452,2.198,2460
11.6212,3.076,2.198,2460
11.6214,3.234,2.1975,2460
11.6216,3.276,2.1975,2460
11.6218,3.294,2.1975,2460
11.6220,3.256,2.198,2460
11.6222,3.162,2.198,2460
11.6224,3.252,2.198,2460
11.6226,3.186,2.1975,2460
11.6228,3.32,2.198,2460
11.6230,3.196,2.1975,2460
11.6232,3.128,2.198,2460
11.6234,3.128,2.1975,2460
11.6236,3.37,2.198,2460
11.6238,3.134,2.198,2460
11.6240,3.268,2.198,2460
11.6242,3.268,2.198,2460
11.6244,3.224,2.1975,2460
11.6246,3.104,2.1975,2460
11.6248,3.406,2.1975,2460
11.6250,2.982,2.198,2460
11.6252,3.334,2.198,2460
11.6254,3.29,2.198,2460
11.6256,3.238,2.198,2460
11.6258,3.186,2.198,2460
11.6260,3.096,2.1975,2460
11.6262,3.22,2.1975,2460
11.6264,3.372,2.198,2460
11.6266,3.142,2.198,2460
11.6268,3.186,2.1975,2460
11.6270,3.142,2.198,2460
11.6272,3.386,2.198,2460
11.6274,3.11,2.198,2460
11.6276,3.334,2.198,2460
11.6278,3.034,2.1975,2460
11.6280,3.394,2.198,2460
11.6282,3.128,2.1975,2460
11.6284,3.2,2.198,2460
11.6286,3.386,2.198,2460
11.6288,2.948,2.1975,2460
11.6290,3.268,2.198,2460
11.6292,3.332,2.198,2460
11.6294,3.244,2.198,2460
11.6296,3.094,2.1975,2460
11.6298,3.19,2.198,2460
11.6300,3.266,2.198,2460
11.6302,3.234,2.1975,2460
11.6304,3.338,2.198,2460
11.6306,3.034,2.198,2460
11.6308,3.38,2.198,2460
11.6310,3.034,2.1975,2460
11.6312,3.258,2.198,2460
11.6314,3.224,2.1975,2460
11.6316,3.18,2.198,2460
11.6318,3.172,2.1975,2460
11.6320,3.086,2.1975,2460
11.6322,3.518,2.198,2460
11.6324,3.068,2.1975,2460
11.6326,3.076,2.1975,2460
11.6328,3.332,2.198,2460
11.6330,3.296,2.198,2460
11.6332,3.148,2.1975,2460
11.6334,3.266,2.198,2460
11.6336,3.152,2.1975,2460
11.6338,3.168,2.198,2460
11.6340,3.134,2.1975,2460
11.6342,3.362,2.198,2460
11.6344,3.144,2.198,2460
11.6346,3.21,2.198,2460
11.6348,3.2,2.1975,2460
11.6350,3.162,2.198,2460
11.6352,3.342,2.198,2460
11.6354,3.576,2.1975,2460
11.6356,3.482,2.197,2460
11.6358,3.58,2.1975,2460
11.6360,3.686,2.198,2460
11.6362,3.662,2.1975,2460
11.6364,3.632,2.1975,2460
11.6366,3.504,2.1975,2460
11.6368,3.696,2.198,2460
11.6370,3.624,2.1975,2460
11.6372,3.69,2.1975,2460
11.6374,3.452,2.198,2460
11.6376,3.828,2.1975,2460
