Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
20.3612,2652.5,2.195,2652.5
20.3614,2652.5,2.195,2652.5
20.3616,2651.5,2.195,2652.5
20.3618,2651,2.195,2652.5
20.3620,2650,2.1965,2652.5
20.3622,2649.5,2.195,2652.5
20.3624,2649,2.195,2652.5
20.3626,2648.5,2.195,2652.5
20.3628,2648,2.195,2652.5
20.3630,2647.5,2.1945,2652.5
20.3632,2646.5,2.1945,2652.5
20.3634,2646,2.196,2652.5
20.3636,2644.5,2.195,2652.5
20.3638,2643,2.195,2652.5
20.3640,2642,2.195,2652.5
20.3642,2640.5,2.195,2652.5
20.3644,2639.5,2.1945,2652.5
20.3646,2638,2.196,2652.5
20.3648,2637.5,2.195,2652.5
20.3650,2637,2.195,2652.5
20.3652,2636,2.195,2652.5
20.3654,2635,2.1945,2652.5
20.3656,2633,2.196,2652.5
20.3658,2631.5,2.195,2652.5
20.3660,2629.5,2.195,2652.5
20.3662,2627,2.1945,2652.5
20.3664,2625,2.1945,2652.5
20.3666,2622,2.1945,2652.5
20.3668,2620.5,2.195,2652.5
20.3670,2618.5,2.195,2652.5
20.3672,2615.5,2.195,2652.5
20.3674,2613,2.196,2652.5
20.3676,2610.5,2.196,2652.5
20.3678,2606,2.194,2652.5
20.3680,2604,2.196,2652.5
20.3682,2601,2.194,2652.5
20.3684,2599.5,2.195,2652.5
20.3686,2597,2.196,2652.5
20.3688,2596.5,2.195,2652.5
20.3690,2595.5,2.196,2652.5
20.3692,2595,2.195,2652.5
20.3694,2593,2.195,2652.5
20.3696,2592,2.196,2652.5
20.3698,2590,2.195,2652.5
20.3700,2586.5,2.196,2652.5
20.3702,2582.5,2.1945,2652.5
20.3704,2578.5,2.1945,2652.5
20.3706,2576,2.194,2652.5
20.3708,2572.5,2.195,2652.5
20.3710,2572,2.195,2652.5
20.3712,2572.5,2.195,2652.5
20.3714,2570.5,2.195,2652.5
20.3716,2611,2.196,2652.5
20.3718,2519,2.195,2652.5
20.3720,2558,2.195,2652.5
20.3722,2554.5,2.1945,2652.5
20.3724,2552.5,2.196,2652.5
20.3726,2551,2.195,2652.5
20.3728,2551,2.1945,2652.5
20.3730,2547,2.1945,2652.5
20.3732,2547.5,2.1965,2652.5
20.3734,2545,2.194,2652.5
20.3736,2542,2.196,2652.5
20.3738,2540.5,2.195,2652.5
20.3740,2542,2.196,2652.5
20.3742,2544,2.1945,2652.5
20.3744,2545,2.195,2652.5
20.3746,2546,2.196,2652.5
20.3748,2543,2.196,2652.5
20.3750,2539.5,2.194,2652.5
20.3752,2538,2.196,2652.5
20.3754,2541,2.195,2652.5
20.3756,2542.5,2.195,2652.5
20.3758,2544.5,2.1945,2652.5
20.3760,2547.5,2.195,2652.5
20.3762,2548,2.195,2652.5
20.3764,2544.5,2.196,2652.5
20.3766,2543.5,2.195,2652.5
20.3768,2543.5,2.196,2652.5
20.3770,2543,2.1945,2652.5
20.3772,2544.5,2.195,2652.5
20.3774,2548.5,2.1945,2652.5
20.3776,2548,2.196,2652.5
20.3778,2544,2.194,2652.5
20.3780,2538,2.194,2652.5
20.3782,2539,2.1945,2652.5
20.3784,2535.5,2.195,2652.5
20.3786,2532.5,2.194,2652.5
20.3788,2532,2.196,2652.5
20.3790,2531.5,2.1965,2652.5
20.3792,2525,2.1945,2652.5
20.3794,2513.5,2.1945,2652.5
20.3796,2506.5,2.1945,2652.5
20.3798,2504,2.1945,2652.5
20.3800,2498,2.195,2652.5
20.3802,2485.5,2.1945,2652.5
20.3804,2471,2.1945,2652.5
20.3806,2468,2.1945,2652.5
20.3808,2477,2.195,2652.5
20.3810,2472,2.195,2652.5
20.3812,2462,2.194,2652.5
20.3814,2459,2.194,2652.5
20.3816,2467.5,2.196,2652.5
20.3818,2463.5,2.195,2652.5
20.3820,2461.5,2.195,2652.5
20.3822,2467,2.194,2652.5
20.3824,2472.5,2.1945,2652.5
20.3826,2477,2.195,2652.5
20.3828,2479,2.195,2652.5
20.3830,2481,2.195,2652.5
20.3832,2483,2.1945,2652.5
20.3834,2484,2.195,2652.5
20.3836,2485,2.195,2652.5
20.3838,2482.5,2.196,2652.5
20.3840,2483.5,2.195,2652.5
20.3842,2485,2.195,2652.5
20.3844,2485,2.195,2652.5
20.3846,2492,2.1945,2652.5
20.3848,2486.5,2.196,2652.5
20.3850,2481,2.196,2652.5
20.3852,2479.5,2.195,2652.5
20.3854,2473.5,2.1945,2652.5
20.3856,2472.5,2.196,2652.5
20.3858,2464,2.195,2652.5
20.3860,2458.5,2.194,2652.5
20.3862,2460,2.196,2652.5
20.3864,2450.5,2.195,2652.5
20.3866,2452,2.195,2652.5
20.3868,2450.5,2.1965,2652.5
20.3870,2442,2.194,2652.5
20.3872,2436.5,2.196,2652.5
20.3874,2435,2.196,2652.5
20.3876,2427,2.195,2652.5
20.3878,2401.5,2.1945,2652.5
20.3880,2402,2.196,2652.5
20.3882,2397.5,2.195,2652.5
20.3884,2391.5,2.194,2652.5
20.3886,2388,2.195,2652.5
20.3888,2383.5,2.195,2652.5
20.3890,2369,2.1945,2652.5
20.3892,2360,2.195,2652.5
20.3894,2358,2.194,2652.5
20.3896,2394,2.1945,2652.5
20.3898,2306.5,2.1945,2652.5
20.3900,2341,2.196,2652.5
20.3902,2312,2.195,2652.5
20.3904,2298,2.1945,2652.5
20.3906,2287,2.195,2652.5
20.3908,2272,2.1945,2652.5
20.3910,2260,2.195,2652.5
20.3912,2236,2.195,2652.5
20.3914,2187.5,2.1965,2652.5
20.3916,2134.5,2.1965,2652.5
20.3918,2118,2.195,2652.5
20.3920,2112.5,2.1945,2652.5
20.3922,2096.5,2.1945,2652.5
20.3924,2063.5,2.1945,2652.5
20.3926,2069.5,2.195,2652.5
20.3928,2070.5,2.195,2652.5
20.3930,2074.5,2.196,2652.5
20.3932,2117,2.195,2652.5
20.3934,2095.5,2.195,2652.5
20.3936,2070.5,2.1965,2652.5
20.3938,2060,2.196,2652.5
20.3940,2046,2.195,2652.5
20.3942,2063,2.196,2652.5
20.3944,2076,2.195,2652.5
20.3946,2077,2.197,2652.5
20.3948,2057.5,2.1965,2652.5
20.3950,2045.0001,2.196,2652.5
20.3952,2036,2.1965,2652.5
20.3954,2040.4999,2.1965,2652.5
20.3956,2029.5,2.1965,2652.5
20.3958,1990,2.196,2652.5
20.3960,1944,2.1945,2652.5
20.3962,1976.5,2.196,2652.5
20.3964,1965,2.196,2652.5
20.3966,1947,2.195,2652.5
20.3968,1964,2.195,2652.5
20.3970,1967,2.1945,2652.5
20.3972,2000.5,2.196,2652.5
20.3974,2009.0001,2.1945,2652.5
20.3976,2029.5,2.1945,2652.5
20.3978,2031.5001,2.1965,2652.5
20.3980,2046.9999,2.196,2652.5
20.3982,2054.5,2.1945,2652.5
20.3984,2054.5,2.196,2652.5
20.3986,2061.5,2.196,2652.5
20.3988,1996,2.1945,2652.5
20.3990,1943.5,2.1975,2652.5
20.3992,1872.5,2.197,2652.5
20.3994,1327.5,2.2065,2652.5
