Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
42.9848,2253.5,2.195,2253.5
42.9850,2248,2.196,2253.5
42.9852,2241,2.194,2253.5
42.9854,2236.5,2.196,2253.5
42.9856,2229.5,2.196,2253.5
42.9858,2220.5,2.196,2253.5
42.9860,2227,2.196,2253.5
42.9862,2221.5,2.1965,2253.5
42.9864,2214,2.195,2253.5
42.9866,2207,2.195,2253.5
42.9868,2201.5,2.196,2253.5
42.9870,2204.5,2.195,2253.5
42.9872,2197,2.196,2253.5
42.9874,2184.5,2.195,2253.5
42.9876,2180.5,2.195,2253.5
42.9878,2185.5,2.1945,2253.5
42.9880,2186,2.195,2253.5
42.9882,2173,2.1945,2253.5
42.9884,2166.5,2.196,2253.5
42.9886,2176.5,2.195,2253.5
42.9888,2179,2.1945,2253.5
42.9890,2176,2.195,2253.5
42.9892,2179.5,2.1945,2253.5
42.9894,2191,2.1945,2253.5
42.9896,2198.5,2.1945,2253.5
42.9898,2199,2.195,2253.5
42.9900,2185.5,2.197,2253.5
42.9902,2182,2.195,2253.5
42.9904,2182,2.196,2253.5
42.9906,2158,2.195,2253.5
42.9908,2180.5,2.196,2253.5
42.9910,2185.5,2.195,2253.5
42.9912,2196,2.1945,2253.5
42.9914,2185,2.195,2253.5
42.9916,2179.5,2.196,2253.5
42.9918,2168,2.196,2253.5
42.9920,2173.5,2.196,2253.5
42.9922,2165,2.196,2253.5
42.9924,2163.5,2.195,2253.5
42.9926,2162.5,2.196,2253.5
42.9928,2144.5,2.1965,2253.5
42.9930,2144.5,2.1945,2253.5
42.9932,2127.5,2.196,2253.5
42.9934,2132.5,2.195,2253.5
42.9936,2114.5,2.1965,2253.5
42.9938,2080.5,2.195,2253.5
42.9940,2090.5,2.1945,2253.5
42.9942,2062,2.195,2253.5
42.9944,2023,2.194,2253.5
42.9946,2000,2.1945,2253.5
42.9948,2006.5,2.196,2253.5
42.9950,1984.5,2.1965,2253.5
42.9952,1997,2.196,2253.5
42.9954,2010,2.195,2253.5
42.9956,1972.5,2.1945,2253.5
42.9958,1982,2.1945,2253.5
42.9960,1990.5,2.1965,2253.5
42.9962,1997,2.195,2253.5
42.9964,1998,2.196,2253.5
42.9966,1961,2.1965,2253.5
