Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
4.4044,1.624,2.1975,1.624
4.4046,1.616,2.197,1.624
4.4048,1.622,2.197,1.624
4.4050,1.61,2.197,1.624
4.4052,1.63,2.197,1.63
4.4054,1.632,2.1975,1.632
4.4056,1.736,2.1975,1.736
4.4058,1.556,2.1975,1.736
4.4060,1.634,2.197,1.736
4.4062,1.52,2.197,1.736
4.4064,1.836,2.1975,1.836
4.4066,1.594,2.1975,1.836
4.4068,1.626,2.1975,1.836
4.4070,1.804,2.197,1.836
4.4072,1.516,2.197,1.836
4.4074,1.67,2.1975,1.836
4.4076,1.554,2.1975,1.836
4.4078,1.732,2.1975,1.836
4.4080,1.63,2.1975,1.836
4.4082,1.798,2.197,1.836
4.4084,1.404,2.197,1.836
4.4086,1.798,2.1975,1.836
4.4088,1.558,2.1975,1.836
4.4090,1.766,2.197,1.836
4.4092,1.428,2.197,1.836
4.4094,1.754,2.1975,1.836
4.4096,1.72,2.197,1.836
4.4098,1.656,2.1975,1.836
4.4100,1.54,2.197,1.836
4.4102,1.602,2.1975,1.836
4.4104,1.674,2.197,1.836
4.4106,1.668,2.197,1.836
4.4108,1.728,2.197,1.836
4.4110,1.676,2.197,1.836
4.4112,1.512,2.197,1.836
4.4114,1.706,2.197,1.836
4.4116,1.548,2.1975,1.836
4.4118,1.692,2.197,1.836
4.4120,1.674,2.1975,1.836
4.4122,1.698,2.1975,1.836
4.4124,1.622,2.1975,1.836
4.4126,1.674,2.1975,1.836
4.4128,1.54,2.197,1.836
4.4130,1.67,2.197,1.836
4.4132,1.66,2.197,1.836
4.4134,1.662,2.1975,1.836
4.4136,1.684,2.197,1.836
4.4138,1.556,2.197,1.836
4.4140,1.736,2.197,1.836
4.4142,1.6,2.1975,1.836
4.4144,1.566,2.197,1.836
4.4146,1.646,2.197,1.836
4.4148,1.724,2.197,1.836
4.4150,1.698,2.197,1.836
4.4152,1.576,2.197,1.836
4.4154,1.732,2.197,1.836
4.4156,1.504,2.197,1.836
4.4158,1.722,2.197,1.836
4.4160,1.684,2.197,1.836
4.4162,1.618,2.1975,1.836
4.4164,1.706,2.1975,1.836
4.4166,1.532,2.197,1.836
4.4168,1.648,2.197,1.836
4.4170,1.652,2.197,1.836
4.4172,1.614,2.197,1.836
4.4174,1.73,2.1975,1.836
4.4176,1.646,2.197,1.836
4.4178,1.746,2.198,1.836
4.4180,1.57,2.197,1.836
4.4182,1.594,2.1975,1.836
4.4184,1.668,2.197,1.836
4.4186,1.632,2.197,1.836
4.4188,1.664,2.1975,1.836
4.4190,1.706,2.197,1.836
4.4192,1.524,2.1975,1.836
4.4194,1.69,2.197,1.836
4.4196,1.634,2.1975,1.836
4.4198,1.64,2.197,1.836
4.4200,1.722,2.197,1.836
4.4202,1.422,2.197,1.836
4.4204,1.848,2.1975,1.848
4.4206,1.452,2.197,1.848
4.4208,1.772,2.1975,1.848
4.4210,1.69,2.197,1.848
4.4212,1.49,2.197,1.848
4.4214,1.712,2.1975,1.848
4.4216,1.686,2.197,1.848
4.4218,1.788,2.1975,1.848
4.4220,1.554,2.1975,1.848
4.4222,1.452,2.197,1.848
4.4224,1.844,2.1975,1.848
4.4226,1.586,2.1975,1.848
4.4228,1.652,2.1975,1.848
4.4230,1.664,2.197,1.848
4.4232,1.648,2.1975,1.848
4.4234,1.6,2.1975,1.848
4.4236,1.676,2.1975,1.848
4.4238,1.594,2.1975,1.848
4.4240,1.722,2.1975,1.848
4.4242,1.578,2.197,1.848
4.4244,1.702,2.1975,1.848
4.4246,1.604,2.197,1.848
4.4248,1.604,2.1975,1.848
4.4250,1.702,2.197,1.848
4.4252,1.498,2.1975,1.848
4.4254,1.784,2.197,1.848
4.4256,1.644,2.197,1.848
4.4258,1.66,2.197,1.848
4.4260,1.562,2.1975,1.848
4.4262,1.758,2.1975,1.848
