Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
2.7146,1.636,2.1975,1.636
2.7148,1.746,2.197,1.746
2.7150,1.57,2.1975,1.746
2.7152,1.65,2.1975,1.746
2.7154,1.756,2.1975,1.756
2.7156,1.63,2.1975,1.756
2.7158,1.636,2.1975,1.756
2.7160,1.582,2.1975,1.756
2.7162,1.756,2.1975,1.756
2.7164,1.596,2.1975,1.756
2.7166,1.702,2.1975,1.756
2.7168,1.582,2.198,1.756
2.7170,1.728,2.198,1.756
2.7172,1.566,2.1975,1.756
2.7174,1.756,2.1975,1.756
2.7176,1.638,2.198,1.756
2.7178,1.672,2.1975,1.756
2.7180,1.576,2.197,1.756
2.7182,1.786,2.1975,1.786
2.7184,1.532,2.198,1.786
2.7186,1.71,2.1975,1.786
2.7188,1.578,2.1975,1.786
2.7190,1.718,2.1975,1.786
2.7192,1.652,2.1975,1.786
2.7194,1.734,2.198,1.786
2.7196,1.59,2.1975,1.786
2.7198,1.766,2.1975,1.786
2.7200,1.546,2.198,1.786
2.7202,1.756,2.1975,1.786
2.7204,1.424,2.1975,1.786
2.7206,1.802,2.198,1.802
2.7208,1.59,2.1975,1.802
2.7210,1.696,2.198,1.802
2.7212,1.75,2.1975,1.802
2.7214,1.582,2.1975,1.802
2.7216,1.724,2.1975,1.802
2.7218,1.598,2.1975,1.802
2.7220,1.706,2.1975,1.802
2.7222,1.688,2.1975,1.802
2.7224,1.598,2.1975,1.802
2.7226,1.706,2.1975,1.802
2.7228,1.606,2.1975,1.802
2.7230,1.672,2.198,1.802
2.7232,1.69,2.198,1.802
2.7234,1.574,2.1975,1.802
2.7236,1.72,2.1975,1.802
2.7238,1.516,2.198,1.802
2.7240,1.748,2.1975,1.802
2.7242,1.62,2.1975,1.802
2.7244,1.704,2.198,1.802
2.7246,1.6,2.1975,1.802
2.7248,1.668,2.198,1.802
2.7250,1.638,2.1975,1.802
2.7252,1.736,2.198,1.802
2.7254,1.726,2.1975,1.802
2.7256,1.47,2.1975,1.802
2.7258,1.608,2.1975,1.802
2.7260,1.776,2.1975,1.802
2.7262,1.69,2.1975,1.802
2.7264,1.566,2.197,1.802
2.7266,1.656,2.198,1.802
2.7268,1.732,2.1975,1.802
2.7270,1.674,2.1975,1.802
2.7272,1.642,2.1975,1.802
2.7274,1.652,2.198,1.802
2.7276,1.608,2.198,1.802
2.7278,1.65,2.1975,1.802
2.7280,1.666,2.198,1.802
2.7282,1.754,2.198,1.802
2.7284,1.584,2.1975,1.802
2.7286,1.646,2.198,1.802
2.7288,1.818,2.1975,1.818
2.7290,1.544,2.198,1.818
2.7292,1.57,2.198,1.818
2.7294,1.712,2.1975,1.818
2.7296,1.702,2.1975,1.818
2.7298,1.65,2.198,1.818
2.7300,1.664,2.198,1.818
2.7302,1.616,2.1975,1.818
2.7304,1.664,2.198,1.818
2.7306,1.598,2.1975,1.818
2.7308,1.696,2.1975,1.818
2.7310,1.694,2.1975,1.818
2.7312,1.676,2.1975,1.818
2.7314,1.54,2.1975,1.818
2.7316,1.758,2.1975,1.818
2.7318,1.66,2.198,1.818
2.7320,1.682,2.198,1.818
2.7322,1.592,2.1975,1.818
2.7324,1.704,2.1975,1.818
2.7326,1.626,2.1975,1.818
2.7328,1.742,2.1975,1.818
2.7330,1.628,2.1975,1.818
2.7332,1.582,2.1975,1.818
2.7334,1.62,2.198,1.818
2.7336,1.63,2.1975,1.818
2.7338,1.792,2.1975,1.818
2.7340,1.596,2.198,1.818
2.7342,1.676,2.197,1.818
2.7344,1.616,2.1975,1.818
2.7346,1.616,2.198,1.818
2.7348,1.732,2.1975,1.818
2.7350,1.636,2.198,1.818
2.7352,1.666,2.1975,1.818
2.7354,1.612,2.197,1.818
2.7356,1.656,2.198,1.818
2.7358,1.742,2.1975,1.818
2.7360,1.65,2.198,1.818
2.7362,1.656,2.198,1.818
2.7364,1.712,2.1975,1.818
2.7366,1.586,2.1975,1.818
2.7368,1.702,2.1975,1.818
2.7370,1.568,2.198,1.818
2.7372,1.772,2.198,1.818
2.7374,1.6,2.1975,1.818
2.7376,1.604,2.1975,1.818
2.7378,1.734,2.198,1.818
2.7380,1.672,2.198,1.818
2.7382,1.552,2.198,1.818
2.7384,1.69,2.1975,1.818
2.7386,1.612,2.1975,1.818
2.7388,1.856,2.198,1.856
2.7390,1.562,2.198,1.856
2.7392,1.672,2.1975,1.856
2.7394,1.644,2.198,1.856
2.7396,1.676,2.1975,1.856
2.7398,1.69,2.1975,1.856
2.7400,1.6,2.198,1.856
2.7402,1.686,2.1975,1.856
2.7404,1.628,2.1975,1.856
2.7406,1.672,2.198,1.856
2.7408,1.568,2.1975,1.856
2.7410,1.706,2.198,1.856
2.7412,1.628,2.1975,1.856
2.7414,1.704,2.1975,1.856
2.7416,1.612,2.1975,1.856
2.7418,1.762,2.1975,1.856
2.7420,1.706,2.1975,1.856
2.7422,1.57,2.1975,1.856
2.7424,1.726,2.198,1.856
2.7426,1.586,2.1975,1.856
2.7428,1.728,2.1975,1.856
2.7430,1.568,2.1975,1.856
2.7432,1.688,2.198,1.856
2.7434,1.656,2.1975,1.856
2.7436,1.62,2.1975,1.856
2.7438,1.758,2.198,1.856
2.7440,1.508,2.1975,1.856
2.7442,1.754,2.1975,1.856
2.7444,1.592,2.1975,1.856
2.7446,1.726,2.1975,1.856
2.7448,1.6,2.1975,1.856
2.7450,1.756,2.198,1.856
2.7452,1.488,2.1975,1.856
2.7454,1.848,2.1975,1.856
2.7456,1.576,2.198,1.856
2.7458,1.552,2.198,1.856
2.7460,1.878,2.198,1.878
2.7462,1.524,2.1975,1.878
2.7464,1.642,2.1975,1.878
2.7466,1.726,2.198,1.878
2.7468,1.656,2.197,1.878
2.7470,1.48,2.198,1.878
2.7472,1.75,2.198,1.878
2.7474,1.742,2.198,1.878
2.7476,1.552,2.1975,1.878
2.7478,1.69,2.1975,1.878
2.7480,1.616,2.198,1.878
2.7482,1.566,2.1975,1.878
2.7484,1.778,2.1975,1.878
2.7486,1.736,2.1975,1.878
2.7488,1.6,2.1975,1.878
2.7490,1.616,2.198,1.878
2.7492,1.728,2.198,1.878
2.7494,1.584,2.1975,1.878
2.7496,1.712,2.198,1.878
2.7498,1.634,2.198,1.878
2.7500,1.786,2.198,1.878
2.7502,1.622,2.198,1.878
2.7504,1.592,2.1975,1.878
2.7506,1.672,2.1975,1.878
2.7508,1.6,2.1975,1.878
2.7510,1.664,2.198,1.878
2.7512,1.652,2.1975,1.878
2.7514,1.616,2.197,1.878
2.7516,1.66,2.198,1.878
2.7518,1.72,2.1975,1.878
2.7520,1.59,2.1975,1.878
2.7522,1.666,2.1975,1.878
2.7524,1.704,2.1975,1.878
2.7526,1.704,2.197,1.878
2.7528,1.676,2.198,1.878
2.7530,1.546,2.198,1.878
2.7532,1.778,2.198,1.878
2.7534,1.57,2.198,1.878
2.7536,1.658,2.1975,1.878
2.7538,1.646,2.1975,1.878
2.7540,1.672,2.1975,1.878
2.7542,1.676,2.1975,1.878
2.7544,1.592,2.197,1.878
2.7546,1.65,2.1975,1.878
2.7548,1.686,2.1975,1.878
2.7550,1.71,2.198,1.878
2.7552,1.718,2.198,1.878
2.7554,1.584,2.1975,1.878
2.7556,1.694,2.1975,1.878
2.7558,1.71,2.1975,1.878
2.7560,1.63,2.1975,1.878
2.7562,1.592,2.1975,1.878
2.7564,1.716,2.198,1.878
2.7566,1.562,2.1975,1.878
2.7568,1.666,2.1975,1.878
2.7570,1.69,2.1975,1.878
2.7572,1.766,2.1975,1.878
2.7574,1.544,2.198,1.878
2.7576,1.702,2.1975,1.878
2.7578,1.584,2.1975,1.878
2.7580,1.576,2.1975,1.878
2.7582,1.794,2.1975,1.878
2.7584,1.706,2.1975,1.878
2.7586,1.556,2.1975,1.878
2.7588,1.698,2.198,1.878
2.7590,1.57,2.1975,1.878
2.7592,1.748,2.1975,1.878
2.7594,1.646,2.198,1.878
2.7596,1.754,2.1975,1.878
2.7598,1.608,2.1975,1.878
2.7600,1.63,2.198,1.878
2.7602,1.686,2.1975,1.878
2.7604,1.704,2.198,1.878
2.7606,1.574,2.1975,1.878
2.7608,1.676,2.1975,1.878
2.7610,1.604,2.1975,1.878
2.7612,1.598,2.198,1.878
2.7614,1.726,2.198,1.878
2.7616,1.604,2.1975,1.878
2.7618,1.754,2.1975,1.878
2.7620,1.608,2.198,1.878
2.7622,1.702,2.1975,1.878
2.7624,1.566,2.1975,1.878
2.7626,1.838,2.198,1.878
2.7628,1.438,2.1975,1.878
2.7630,1.788,2.1975,1.878
2.7632,1.644,2.1975,1.878
2.7634,1.578,2.198,1.878
2.7636,1.726,2.1975,1.878
2.7638,1.69,2.198,1.878
2.7640,1.876,2.1975,1.878
2.7642,1.458,2.198,1.878
2.7644,1.628,2.1975,1.878
2.7646,1.668,2.1975,1.878
2.7648,1.724,2.198,1.878
2.7650,1.56,2.198,1.878
2.7652,1.75,2.1975,1.878
2.7654,1.548,2.198,1.878
2.7656,1.724,2.198,1.878
2.7658,1.576,2.1975,1.878
2.7660,1.72,2.1975,1.878
2.7662,1.696,2.1975,1.878
2.7664,1.576,2.1975,1.878
2.7666,1.652,2.198,1.878
2.7668,1.764,2.197,1.878
2.7670,1.536,2.1975,1.878
2.7672,1.814,2.198,1.878
2.7674,1.566,2.198,1.878
2.7676,1.652,2.1975,1.878
2.7678,1.644,2.1975,1.878
2.7680,1.716,2.1975,1.878
2.7682,1.59,2.1975,1.878
2.7684,1.796,2.1975,1.878
2.7686,1.818,2.198,1.878
2.7688,1.668,2.1975,1.878
2.7690,1.87,2.1975,1.878
2.7692,1.726,2.1975,1.878
2.7694,1.86,2.1975,1.878
2.7696,1.686,2.198,1.878
2.7698,1.78,2.198,1.878
2.7700,1.758,2.1975,1.878
2.7702,1.816,2.198,1.878
2.7704,1.836,2.1975,1.878
2.7706,1.642,2.198,1.878
2.7708,1.87,2.1975,1.878
2.7710,1.8,2.1975,1.878
2.7712,1.788,2.198,1.878
2.7714,1.83,2.1975,1.878
2.7716,1.81,2.198,1.878
2.7718,1.676,2.1975,1.878
2.7720,1.894,2.198,1.894
2.7722,1.72,2.1975,1.894
2.7724,1.704,2.198,1.894
2.7726,1.734,2.1975,1.894
2.7728,1.882,2.1975,1.894
2.7730,1.784,2.1975,1.894
2.7732,1.742,2.1975,1.894
2.7734,1.876,2.198,1.894
2.7736,1.792,2.1975,1.894
2.7738,1.656,2.1975,1.894
2.7740,1.916,2.1975,1.916
2.7742,1.81,2.198,1.916
2.7744,1.668,2.198,1.916
2.7746,1.712,2.1975,1.916
2.7748,1.946,2.198,1.946
2.7750,1.634,2.1975,1.946
2.7752,1.914,2.198,1.946
2.7754,1.778,2.198,1.946
2.7756,1.642,2.198,1.946
2.7758,1.868,2.1975,1.946
2.7760,1.756,2.1975,1.946
2.7762,1.786,2.1975,1.946
2.7764,1.726,2.1975,1.946
2.7766,1.874,2.1975,1.946
2.7768,1.78,2.1975,1.946
2.7770,1.698,2.1975,1.946
2.7772,1.788,2.1975,1.946
2.7774,1.674,2.1975,1.946
2.7776,1.868,2.1975,1.946
2.7778,1.74,2.1975,1.946
2.7780,1.742,2.1975,1.946
2.7782,1.854,2.198,1.946
2.7784,2.08,2.1975,2.08
2.7786,1.894,2.1975,2.08
2.7788,2.054,2.198,2.08
2.7790,1.988,2.1975,2.08
2.7792,2.132,2.1975,2.132
2.7794,1.95,2.1975,2.132
2.7796,1.938,2.198,2.132
2.7798,1.832,2.198,2.132
2.7800,1.676,2.184,2.132
2.7802,116,2.203,116
2.7804,21.406,2.1985,116
2.7806,53,2.2005,116
2.7808,76,2.2005,116
2.7810,6,2.184,116
2.7812,115,2.203,116
2.7814,21.258,2.1985,116
2.7816,52.5,2.201,116
2.7818,76,2.2005,116
2.7820,5.962,2.184,116
2.7822,114.5,2.2015,116
2.7824,21.422,2.1985,116
2.7826,52,2.2005,116
2.7828,75.5,2.2005,116
2.7830,6.05,2.185,116
2.7832,114,2.2025,116
2.7834,21.324,2.1985,116
2.7836,51.5,2.2005,116
2.7838,75.5,2.2005,116
2.7840,6.064,2.185,116
2.7842,113,2.2015,116
2.7844,21.12,2.1985,116
2.7846,51,2.2005,116
2.7848,75.5,2.2005,116
2.7850,6.014,2.184,116
2.7852,124,2.2025,124
2.7854,22.892,2.1995,124
2.7856,51,2.2005,124
2.7858,75.5,2.2005,124
2.7860,6.068,2.183,124
2.7862,112.5,2.2025,124
2.7864,21.154,2.1985,124
2.7866,50.5,2.2005,124
2.7868,75,2.2005,124
2.7870,5.99,2.185,124
2.7872,111.5,2.203,124
2.7874,21.168,2.1985,124
2.7876,50,2.2005,124
2.7878,77,2.2005,124
2.7880,6.066,2.186,124
2.7882,111.5,2.2015,124
2.7884,21.228,2.1985,124
2.7886,49.5,2.2005,124
2.7888,74.5,2.2005,124
2.7890,6.216,2.186,124
2.7892,110,2.2025,124
2.7894,21.2,2.198,124
2.7896,49,2.201,124
2.7898,77.5,2.2005,124
2.7900,6.18,2.1885,124
2.7902,108.5,2.2025,124
2.7904,21.656,2.1995,124
2.7906,45.5,2.2005,124
2.7908,77,2.2005,124
2.7910,6.158,2.1885,124
2.7912,108,2.203,124
2.7914,21.686,2.1985,124
2.7916,45,2.2005,124
2.7918,76.5,2.201,124
2.7920,6.022,2.1895,124
2.7922,106.5,2.2025,124
2.7924,21.274,2.198,124
2.7926,45,2.2005,124
2.7928,76.5,2.2005,124
2.7930,6.098,2.1895,124
2.7932,107,2.203,124
2.7934,21.694,2.1995,124
2.7936,44.5,2.2005,124
2.7938,75.5,2.2005,124
2.7940,6.074,2.1895,124
2.7942,106.5,2.2025,124
2.7944,21.612,2.1985,124
2.7946,44,2.2,124
2.7948,76,2.2005,124
2.7950,6.006,2.1895,124
2.7952,105,2.2025,124
2.7954,21.368,2.1985,124
2.7956,43,2.2005,124
2.7958,75,2.2005,124
2.7960,5.862,2.1905,124
2.7962,104,2.2025,124
2.7964,21.132,2.1985,124
2.7966,43,2.2005,124
2.7968,75,2.2005,124
2.7970,6.11,2.1905,124
2.7972,103.5,2.203,124
2.7974,21.094,2.1985,124
2.7976,43,2.2,124
2.7978,75,2.2005,124
2.7980,5.872,2.1905,124
2.7982,103.5,2.203,124
2.7984,21.274,2.1985,124
2.7986,45.5,2.1995,124
2.7988,83.5,2.2005,124
2.7990,6.928,2.1905,124
2.7992,112.5,2.203,124
2.7994,23.448,2.1985,124
2.7996,2.568,2.1975,124
2.7998,1.964,2.198,124
2.8000,1.672,2.1875,124
2.8002,105,2.2025,124
2.8004,20.042,2.1985,124
2.8006,45.5,2.2005,124
2.8008,72,2.2005,124
2.8010,5.712,2.1875,124
2.8012,104,2.2025,124
2.8014,20.206,2.1985,124
2.8016,45,2.2005,124
2.8018,72,2.2005,124
2.8020,5.756,2.1875,124
2.8022,104,2.2025,124
2.8024,20.006,2.1985,124
2.8026,45,2.2005,124
2.8028,71.5,2.2005,124
2.8030,5.776,2.188,124
2.8032,102,2.2025,124
2.8034,20.2,2.1985,124
2.8036,44.5,2.2005,124
2.8038,72,2.2005,124
2.8040,5.6,2.186,124
2.8042,102,2.203,124
2.8044,19.8,2.198,124
2.8046,44.5,2.2005,124
2.8048,71.5,2.2005,124
2.8050,5.654,2.1875,124
2.8052,103,2.2025,124
2.8054,20.216,2.1985,124
2.8056,43.5,2.2005,124
2.8058,70.5,2.2005,124
2.8060,5.776,2.1885,124
2.8062,98.5,2.203,124
2.8064,19.456,2.198,124
2.8066,41.5,2.2005,124
2.8068,68.5,2.2005,124
2.8070,5.426,2.1895,124
2.8072,98.5,2.2025,124
2.8074,19.446,2.1985,124
2.8076,42.5,2.2005,124
2.8078,70.5,2.2005,124
2.8080,5.602,2.1895,124
2.8082,100,2.2025,124
2.8084,19.966,2.1985,124
2.8086,42,2.2005,124
2.8088,69,2.2005,124
2.8090,5.738,2.1895,124
2.8092,98.5,2.203,124
2.8094,19.78,2.1985,124
2.8096,2.43,2.1975,124
2.8098,1.846,2.198,124
2.8100,1.998,2.1795,124
2.8102,102,2.2025,124
2.8104,15.406,2.1985,124
2.8106,57,2.203,124
2.8108,56,2.2,124
2.8110,4.74,2.1775,124
2.8112,103,2.2015,124
2.8114,15.458,2.1985,124
2.8116,56.5,2.203,124
2.8118,55.5,2.2005,124
2.8120,4.702,2.178,124
2.8122,101,2.2015,124
2.8124,15.18,2.1985,124
2.8126,54.5,2.2025,124
2.8128,54,2.2,124
2.8130,4.552,2.178,124
2.8132,98,2.2015,124
2.8134,14.898,2.198,124
2.8136,55,2.2025,124
2.8138,55,2.2,124
2.8140,4.542,2.1795,124
2.8142,102,2.201,124
2.8144,15.604,2.1985,124
2.8146,54.5,2.203,124
2.8148,54,2.2005,124
2.8150,4.616,2.178,124
2.8152,99.5,2.2015,124
2.8154,15.086,2.198,124
2.8156,55,2.2025,124
2.8158,55.5,2.2005,124
2.8160,4.596,2.1785,124
2.8162,100,2.203,124
2.8164,15.198,2.1985,124
2.8166,53.5,2.203,124
2.8168,53.5,2.2,124
2.8170,4.482,2.1795,124
2.8172,98.5,2.2015,124
2.8174,15.086,2.198,124
2.8176,54.5,2.2025,124
2.8178,55.5,2.2005,124
2.8180,4.678,2.1785,124
2.8182,99,2.2025,124
2.8184,15.316,2.1985,124
2.8186,52.5,2.2025,124
2.8188,54,2.2,124
2.8190,4.796,2.1795,124
2.8192,96,2.2015,124
2.8194,15.084,2.1985,124
2.8196,2.084,2.1975,124
2.8198,1.972,2.1975,124
2.8200,3.394,2.178,124
2.8202,98,2.2025,124
2.8204,12.77,2.1985,124
2.8206,60.5,2.2035,124
2.8208,45,2.2,124
2.8210,5.112,2.178,124
2.8212,93.5,2.201,124
2.8214,12.086,2.198,124
2.8216,61,2.2025,124
2.8218,46,2.1995,124
2.8220,6,2.1785,124
2.8222,104.5,2.2025,124
2.8224,13.618,2.198,124
2.8226,62.5,2.203,124
2.8228,47,2.1995,124
2.8230,5.294,2.1785,124
2.8232,98,2.2015,124
