Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
3.3674,0.766,2.197,0.766
3.3676,0.804,2.197,0.804
3.3678,0.846,2.198,0.846
3.3680,0.908,2.1975,0.908
3.3682,0.764,2.197,0.908
3.3684,0.756,2.197,0.908
3.3686,0.786,2.197,0.908
3.3688,0.86,2.197,0.908
3.3690,0.958,2.197,0.958
3.3692,0.706,2.1975,0.958
3.3694,0.856,2.1975,0.958
3.3696,0.872,2.197,0.958
3.3698,0.726,2.197,0.958
3.3700,0.928,2.1975,0.958
3.3702,0.75,2.197,0.958
3.3704,0.748,2.197,0.958
3.3706,0.848,2.1975,0.958
3.3708,0.772,2.197,0.958
3.3710,1.09,2.197,1.09
3.3712,0.66,2.1975,1.09
3.3714,0.748,2.1975,1.09
3.3716,0.984,2.1975,1.09
3.3718,0.676,2.1975,1.09
3.3720,0.894,2.197,1.09
3.3722,0.762,2.197,1.09
3.3724,0.868,2.197,1.09
3.3726,0.846,2.1975,1.09
3.3728,0.838,2.1975,1.09
3.3730,0.732,2.197,1.09
3.3732,0.984,2.1975,1.09
3.3734,0.74,2.1975,1.09
3.3736,0.818,2.197,1.09
3.3738,0.75,2.197,1.09
3.3740,0.944,2.1975,1.09
3.3742,0.728,2.197,1.09
3.3744,0.862,2.1975,1.09
3.3746,0.81,2.1975,1.09
3.3748,0.862,2.1975,1.09
3.3750,0.876,2.1975,1.09
3.3752,0.774,2.197,1.09
3.3754,0.788,2.1975,1.09
3.3756,0.886,2.1975,1.09
3.3758,0.742,2.1975,1.09
3.3760,0.818,2.1975,1.09
3.3762,0.928,2.1975,1.09
3.3764,0.63,2.1975,1.09
3.3766,0.938,2.1975,1.09
3.3768,0.83,2.197,1.09
3.3770,0.682,2.197,1.09
3.3772,0.94,2.1975,1.09
3.3774,0.764,2.197,1.09
3.3776,0.832,2.1975,1.09
3.3778,0.884,2.1975,1.09
3.3780,0.74,2.197,1.09
3.3782,0.87,2.1975,1.09
3.3784,0.9,2.197,1.09
3.3786,0.668,2.197,1.09
3.3788,0.916,2.197,1.09
3.3790,0.758,2.1975,1.09
3.3792,0.99,2.1975,1.09
3.3794,0.676,2.1975,1.09
3.3796,0.736,2.197,1.09
3.3798,0.9,2.197,1.09
3.3800,0.758,2.1975,1.09
3.3802,0.864,2.197,1.09
3.3804,0.876,2.197,1.09
3.3806,0.914,2.197,1.09
3.3808,0.8,2.1975,1.09
3.3810,0.826,2.1975,1.09
3.3812,0.796,2.197,1.09
3.3814,0.854,2.1975,1.09
3.3816,0.736,2.1975,1.09
3.3818,0.848,2.197,1.09
3.3820,0.83,2.197,1.09
3.3822,0.876,2.197,1.09
3.3824,0.714,2.1975,1.09
3.3826,1.012,2.1975,1.09
3.3828,0.744,2.197,1.09
3.3830,0.826,2.1975,1.09
3.3832,0.824,2.1975,1.09
3.3834,0.674,2.1975,1.09
3.3836,1.012,2.197,1.09
3.3838,0.704,2.1975,1.09
3.3840,0.884,2.1975,1.09
3.3842,0.718,2.197,1.09
3.3844,0.864,2.197,1.09
3.3846,0.842,2.197,1.09
3.3848,0.83,2.197,1.09
3.3850,0.816,2.1975,1.09
3.3852,0.876,2.1975,1.09
3.3854,0.786,2.197,1.09
3.3856,0.916,2.197,1.09
3.3858,0.87,2.1975,1.09
3.3860,0.642,2.197,1.09
3.3862,0.834,2.1975,1.09
3.3864,0.884,2.1975,1.09
3.3866,0.75,2.197,1.09
3.3868,0.846,2.197,1.09
3.3870,0.852,2.1975,1.09
3.3872,0.74,2.1975,1.09
3.3874,1.006,2.1975,1.09
3.3876,0.756,2.197,1.09
3.3878,0.89,2.1975,1.09
3.3880,0.72,2.1975,1.09
3.3882,0.894,2.197,1.09
3.3884,0.832,2.1975,1.09
3.3886,0.764,2.1975,1.09
3.3888,0.794,2.197,1.09
3.3890,0.84,2.1975,1.09
3.3892,0.756,2.197,1.09
3.3894,0.862,2.1975,1.09
3.3896,0.846,2.197,1.09
3.3898,0.826,2.1975,1.09
3.3900,0.754,2.197,1.09
3.3902,0.952,2.1975,1.09
3.3904,0.714,2.1975,1.09
3.3906,0.862,2.1975,1.09
3.3908,0.864,2.1975,1.09
3.3910,0.834,2.1975,1.09
3.3912,0.666,2.197,1.09
3.3914,0.882,2.1975,1.09
3.3916,0.786,2.197,1.09
3.3918,0.872,2.1975,1.09
3.3920,0.822,2.197,1.09
3.3922,0.764,2.1975,1.09
3.3924,0.83,2.1975,1.09
3.3926,0.872,2.197,1.09
3.3928,0.834,2.1975,1.09
3.3930,0.694,2.1975,1.09
3.3932,1.006,2.1975,1.09
3.3934,0.826,2.1975,1.09
3.3936,0.688,2.197,1.09
3.3938,0.822,2.1975,1.09
3.3940,0.966,2.1975,1.09
3.3942,0.732,2.1975,1.09
3.3944,0.924,2.1975,1.09
3.3946,0.658,2.1975,1.09
3.3948,0.784,2.197,1.09
3.3950,0.81,2.1975,1.09
3.3952,0.984,2.1975,1.09
3.3954,0.756,2.1975,1.09
3.3956,0.868,2.197,1.09
3.3958,0.786,2.1975,1.09
3.3960,0.786,2.1975,1.09
3.3962,0.84,2.1975,1.09
