Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
9.0192,0.91,2.1975,0.91
9.0194,0.65,2.197,0.91
9.0196,0.902,2.1975,0.91
9.0198,0.766,2.197,0.91
9.0200,0.862,2.1975,0.91
9.0202,0.812,2.1975,0.91
9.0204,0.888,2.1975,0.91
9.0206,0.782,2.1975,0.91
9.0208,0.75,2.1975,0.91
9.0210,0.99,2.1975,0.99
9.0212,0.616,2.198,0.99
9.0214,0.922,2.1975,0.99
9.0216,0.97,2.1975,0.99
9.0218,0.816,2.1975,0.99
9.0220,0.706,2.1975,0.99
9.0222,0.894,2.1975,0.99
9.0224,0.684,2.198,0.99
9.0226,0.94,2.1975,0.99
9.0228,0.84,2.1975,0.99
9.0230,0.74,2.1975,0.99
9.0232,0.838,2.1975,0.99
9.0234,0.878,2.197,0.99
9.0236,0.832,2.1975,0.99
9.0238,0.786,2.1975,0.99
9.0240,1.024,2.1975,1.024
9.0242,0.674,2.1975,1.024
9.0244,0.782,2.197,1.024
9.0246,0.758,2.1975,1.024
9.0248,0.9,2.1975,1.024
9.0250,0.816,2.1975,1.024
9.0252,0.82,2.1975,1.024
9.0254,0.79,2.197,1.024
9.0256,0.908,2.1975,1.024
9.0258,0.8,2.1975,1.024
9.0260,0.858,2.1975,1.024
9.0262,0.77,2.1975,1.024
9.0264,0.828,2.1975,1.024
9.0266,0.9,2.1975,1.024
9.0268,0.79,2.1975,1.024
9.0270,0.744,2.1975,1.024
9.0272,0.906,2.1975,1.024
9.0274,0.858,2.197,1.024
9.0276,0.794,2.1975,1.024
9.0278,0.818,2.1975,1.024
9.0280,0.82,2.1975,1.024
9.0282,0.9,2.1975,1.024
9.0284,0.702,2.1975,1.024
9.0286,0.854,2.198,1.024
9.0288,0.982,2.1975,1.024
9.0290,0.734,2.1975,1.024
9.0292,0.766,2.1975,1.024
9.0294,0.816,2.1975,1.024
9.0296,0.782,2.1975,1.024
9.0298,0.93,2.1975,1.024
9.0300,0.824,2.197,1.024
9.0302,0.824,2.1975,1.024
9.0304,0.772,2.1975,1.024
9.0306,0.752,2.197,1.024
9.0308,0.9,2.1975,1.024
9.0310,0.856,2.198,1.024
9.0312,0.772,2.1975,1.024
9.0314,0.786,2.1975,1.024
9.0316,0.808,2.1975,1.024
9.0318,0.976,2.1975,1.024
9.0320,0.662,2.197,1.024
9.0322,0.954,2.1975,1.024
9.0324,0.838,2.1975,1.024
9.0326,0.76,2.1975,1.024
9.0328,0.88,2.1975,1.024
9.0330,0.826,2.1975,1.024
9.0332,0.74,2.1975,1.024
9.0334,1,2.197,1.024
9.0336,0.718,2.198,1.024
9.0338,0.85,2.1975,1.024
9.0340,0.728,2.1975,1.024
9.0342,0.816,2.1975,1.024
9.0344,0.892,2.1975,1.024
9.0346,0.788,2.1975,1.024
9.0348,0.796,2.197,1.024
9.0350,0.926,2.1975,1.024
9.0352,0.824,2.1975,1.024
9.0354,0.78,2.1975,1.024
9.0356,0.93,2.1975,1.024
9.0358,0.736,2.197,1.024
9.0360,0.892,2.1975,1.024
9.0362,0.752,2.1975,1.024
9.0364,0.816,2.1975,1.024
9.0366,0.778,2.197,1.024
9.0368,0.808,2.1975,1.024
9.0370,0.922,2.1975,1.024
9.0372,0.8,2.1975,1.024
9.0374,0.782,2.1975,1.024
9.0376,0.888,2.1975,1.024
9.0378,0.744,2.1975,1.024
9.0380,0.856,2.1975,1.024
9.0382,0.884,2.1975,1.024
9.0384,0.832,2.1975,1.024
9.0386,0.796,2.198,1.024
9.0388,0.832,2.1975,1.024
9.0390,0.79,2.1975,1.024
9.0392,0.78,2.1975,1.024
9.0394,0.77,2.1975,1.024
9.0396,0.966,2.1975,1.024
9.0398,0.734,2.1975,1.024
9.0400,0.878,2.1975,1.024
9.0402,0.828,2.198,1.024
9.0404,0.788,2.1975,1.024
9.0406,0.854,2.1975,1.024
9.0408,0.858,2.1975,1.024
9.0410,0.782,2.198,1.024
9.0412,0.924,2.1975,1.024
9.0414,0.722,2.1975,1.024
