Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
3.3572,0.78,2.1975,0.78
3.3574,0.946,2.197,0.946
3.3576,0.822,2.1975,0.946
3.3578,0.862,2.1975,0.946
3.3580,0.916,2.1975,0.946
3.3582,0.702,2.197,0.946
3.3584,0.996,2.1975,0.996
3.3586,0.83,2.1975,0.996
3.3588,0.848,2.1975,0.996
3.3590,0.864,2.198,0.996
3.3592,0.84,2.1975,0.996
3.3594,0.87,2.1975,0.996
3.3596,0.822,2.1975,0.996
3.3598,0.726,2.1975,0.996
3.3600,0.974,2.197,0.996
3.3602,0.824,2.1975,0.996
3.3604,0.812,2.1975,0.996
3.3606,0.902,2.1975,0.996
3.3608,0.924,2.1975,0.996
3.3610,0.758,2.197,0.996
3.3612,0.878,2.1975,0.996
3.3614,0.97,2.1975,0.996
3.3616,0.688,2.1975,0.996
3.3618,0.848,2.1975,0.996
3.3620,0.97,2.1975,0.996
3.3622,0.664,2.197,0.996
3.3624,0.978,2.198,0.996
3.3626,0.87,2.1975,0.996
3.3628,0.876,2.197,0.996
3.3630,0.796,2.1975,0.996
3.3632,0.878,2.1975,0.996
3.3634,1,2.1975,1
3.3636,0.724,2.1975,1
3.3638,0.892,2.1975,1
3.3640,0.802,2.1975,1
3.3642,0.86,2.1975,1
3.3644,0.902,2.1975,1
3.3646,0.764,2.197,1
3.3648,0.92,2.1975,1
3.3650,0.9,2.1975,1
3.3652,0.74,2.1975,1
3.3654,0.856,2.198,1
3.3656,0.928,2.1975,1
3.3658,0.728,2.197,1
3.3660,0.87,2.1975,1
3.3662,0.89,2.1975,1
3.3664,0.92,2.1975,1
3.3666,0.802,2.1975,1
3.3668,0.822,2.1975,1
3.3670,0.88,2.1975,1
3.3672,0.8,2.197,1
3.3674,1.036,2.1975,1.036
3.3676,0.66,2.197,1.036
3.3678,0.862,2.1975,1.036
3.3680,0.93,2.1975,1.036
3.3682,0.842,2.1975,1.036
3.3684,0.826,2.197,1.036
3.3686,0.868,2.1975,1.036
3.3688,0.772,2.1975,1.036
3.3690,0.88,2.1975,1.036
3.3692,0.982,2.1975,1.036
3.3694,0.78,2.1975,1.036
3.3696,0.822,2.1975,1.036
3.3698,0.962,2.1975,1.036
3.3700,0.78,2.197,1.036
3.3702,0.928,2.198,1.036
3.3704,0.788,2.198,1.036
3.3706,0.796,2.1975,1.036
3.3708,1.004,2.1975,1.036
3.3710,0.682,2.1975,1.036
3.3712,0.908,2.1975,1.036
3.3714,0.788,2.1975,1.036
3.3716,0.868,2.197,1.036
3.3718,1.014,2.1975,1.036
3.3720,0.778,2.1975,1.036
3.3722,0.714,2.197,1.036
3.3724,0.92,2.197,1.036
3.3726,0.8,2.1975,1.036
3.3728,0.898,2.197,1.036
3.3730,0.84,2.1975,1.036
3.3732,0.884,2.197,1.036
3.3734,0.802,2.1975,1.036
3.3736,0.988,2.197,1.036
3.3738,0.766,2.1975,1.036
3.3740,0.872,2.198,1.036
3.3742,0.88,2.1975,1.036
3.3744,0.786,2.198,1.036
3.3746,0.848,2.197,1.036
3.3748,0.754,2.1975,1.036
3.3750,1.018,2.1975,1.036
3.3752,0.77,2.1975,1.036
3.3754,0.822,2.1975,1.036
3.3756,0.962,2.1975,1.036
3.3758,0.81,2.1975,1.036
3.3760,0.77,2.197,1.036
3.3762,0.922,2.1975,1.036
3.3764,0.826,2.1975,1.036
3.3766,0.86,2.1975,1.036
3.3768,0.936,2.198,1.036
3.3770,0.77,2.1975,1.036
3.3772,0.908,2.1975,1.036
3.3774,0.838,2.1975,1.036
3.3776,0.8,2.1975,1.036
3.3778,0.87,2.1975,1.036
3.3780,0.764,2.1975,1.036
3.3782,0.898,2.1975,1.036
3.3784,0.832,2.1975,1.036
3.3786,0.99,2.197,1.036
3.3788,0.614,2.198,1.036
3.3790,1.004,2.197,1.036
3.3792,0.794,2.1975,1.036
3.3794,0.924,2.198,1.036
3.3796,0.778,2.1975,1.036
3.3798,0.83,2.1975,1.036
3.3800,0.792,2.197,1.036
3.3802,0.988,2.1975,1.036
3.3804,0.802,2.198,1.036
3.3806,0.876,2.1975,1.036
3.3808,0.816,2.1975,1.036
3.3810,0.89,2.1975,1.036
3.3812,0.774,2.1975,1.036
3.3814,0.796,2.197,1.036
3.3816,0.856,2.197,1.036
3.3818,0.88,2.1975,1.036
3.3820,0.838,2.1975,1.036
3.3822,0.886,2.1975,1.036
3.3824,0.84,2.197,1.036
3.3826,0.89,2.1975,1.036
3.3828,0.862,2.1975,1.036
3.3830,0.84,2.197,1.036
3.3832,0.86,2.1975,1.036
3.3834,0.786,2.197,1.036
3.3836,1.008,2.1975,1.036
3.3838,0.698,2.1975,1.036
3.3840,0.936,2.1975,1.036
3.3842,0.852,2.1975,1.036
3.3844,0.84,2.1975,1.036
3.3846,0.962,2.1975,1.036
3.3848,0.652,2.1975,1.036
3.3850,0.886,2.1975,1.036
3.3852,0.89,2.1975,1.036
3.3854,0.856,2.1975,1.036
3.3856,0.854,2.1975,1.036
3.3858,0.81,2.197,1.036
3.3860,0.862,2.1975,1.036
3.3862,0.886,2.1975,1.036
3.3864,0.704,2.1975,1.036
3.3866,1.02,2.1975,1.036
3.3868,0.682,2.1975,1.036
3.3870,0.952,2.1975,1.036
3.3872,0.816,2.1975,1.036
3.3874,0.908,2.1975,1.036
3.3876,0.804,2.1975,1.036
3.3878,0.962,2.1975,1.036
3.3880,0.796,2.1975,1.036
3.3882,0.74,2.198,1.036
3.3884,0.862,2.1975,1.036
3.3886,0.864,2.1975,1.036
3.3888,0.724,2.197,1.036
3.3890,24.662,2.1945,24.662
3.3892,131.5,2.197,131.5
3.3894,142.5,2.197,142.5
3.3896,141.5,2.197,142.5
3.3898,138,2.197,142.5
3.3900,136.5,2.197,142.5
3.3902,135.5,2.197,142.5
3.3904,135,2.1965,142.5
3.3906,135.5,2.197,142.5
3.3908,134.5,2.197,142.5
3.3910,140.5,2.197,142.5
3.3912,138,2.1965,142.5
3.3914,132,2.197,142.5
3.3916,131,2.197,142.5
3.3918,129.5,2.197,142.5
3.3920,127.5,2.1965,142.5
3.3922,127,2.197,142.5
3.3924,128,2.197,142.5
3.3926,122,2.197,142.5
3.3928,124,2.197,142.5
3.3930,122.5,2.197,142.5
3.3932,121,2.197,142.5
3.3934,120.5,2.197,142.5
3.3936,119.5,2.197,142.5
3.3938,122.5,2.197,142.5
3.3940,119.5,2.197,142.5
3.3942,116.5,2.197,142.5
3.3944,115,2.1975,142.5
3.3946,113,2.197,142.5
3.3948,109.5,2.197,142.5
3.3950,108,2.197,142.5
3.3952,108,2.197,142.5
3.3954,111,2.197,142.5
3.3956,113.5,2.197,142.5
3.3958,109,2.197,142.5
3.3960,103,2.197,142.5
3.3962,101,2.197,142.5
3.3964,98.5,2.197,142.5
3.3966,98.5,2.197,142.5
3.3968,100.5,2.197,142.5
3.3970,106,2.197,142.5
3.3972,105.5,2.197,142.5
3.3974,102.5,2.197,142.5
3.3976,101,2.1975,142.5
3.3978,99,2.197,142.5
3.3980,100,2.197,142.5
3.3982,101,2.197,142.5
3.3984,101,2.1975,142.5
3.3986,96,2.197,142.5
3.3988,91.5,2.1975,142.5
3.3990,89.5,2.1975,142.5
3.3992,92.5,2.1965,142.5
3.3994,93,2.197,142.5
3.3996,88,2.197,142.5
3.3998,86.5,2.197,142.5
3.4000,88.5,2.1975,142.5
3.4002,89,2.197,142.5
3.4004,92.5,2.1965,142.5
3.4006,96.5,2.1975,142.5
3.4008,88,2.197,142.5
3.4010,87,2.1975,142.5
3.4012,84.5,2.197,142.5
3.4014,88.5,2.197,142.5
3.4016,88,2.197,142.5
3.4018,84,2.197,142.5
3.4020,79,2.197,142.5
3.4022,82,2.197,142.5
3.4024,89,2.1975,142.5
3.4026,82,2.197,142.5
3.4028,76,2.1975,142.5
3.4030,73,2.197,142.5
3.4032,77,2.197,142.5
3.4034,84.5,2.198,142.5
3.4036,79.5,2.197,142.5
3.4038,76,2.197,142.5
3.4040,80.5,2.1975,142.5
3.4042,82,2.197,142.5
3.4044,74.5,2.197,142.5
3.4046,71,2.197,142.5
3.4048,72.5,2.197,142.5
3.4050,76,2.197,142.5
3.4052,70.5,2.197,142.5
3.4054,65.5,2.197,142.5
3.4056,68,2.197,142.5
3.4058,76.5,2.197,142.5
3.4060,76,2.1975,142.5
3.4062,70.5,2.197,142.5
3.4064,70.5,2.1975,142.5
3.4066,71,2.197,142.5
3.4068,71,2.1975,142.5
3.4070,67,2.197,142.5
3.4072,68,2.197,142.5
3.4074,73.5,2.1975,142.5
3.4076,66,2.1975,142.5
3.4078,60.5,2.197,142.5
3.4080,64.5,2.197,142.5
3.4082,72.5,2.197,142.5
3.4084,70.5,2.1975,142.5
3.4086,68.5,2.197,142.5
3.4088,70.5,2.197,142.5
3.4090,71,2.1975,142.5
3.4092,61,2.1975,142.5
3.4094,60,2.197,142.5
3.4096,65,2.1975,142.5
3.4098,60.5,2.1975,142.5
3.4100,61.5,2.197,142.5
3.4102,65.5,2.197,142.5
3.4104,72.5,2.1975,142.5
3.4106,62,2.197,142.5
3.4108,61.5,2.197,142.5
3.4110,66.5,2.197,142.5
3.4112,65,2.1975,142.5
3.4114,57.5,2.197,142.5
3.4116,63,2.1975,142.5
3.4118,63.5,2.1975,142.5
3.4120,53,2.197,142.5
3.4122,54,2.1975,142.5
3.4124,63.5,2.1975,142.5
3.4126,60,2.197,142.5
3.4128,60,2.197,142.5
3.4130,64.5,2.197,142.5
3.4132,58,2.1975,142.5
3.4134,53.5,2.197,142.5
3.4136,59.5,2.1975,142.5
3.4138,55.5,2.1975,142.5
3.4140,51,2.1975,142.5
3.4142,55,2.1975,142.5
3.4144,62.5,2.1975,142.5
3.4146,56,2.197,142.5
3.4148,55.5,2.197,142.5
3.4150,59,2.198,142.5
3.4152,54.5,2.1975,142.5
3.4154,51,2.197,142.5
3.4156,58.5,2.198,142.5
3.4158,50.5,2.1975,142.5
3.4160,45.5,2.197,142.5
3.4162,53.5,2.1975,142.5
3.4164,57.5,2.1975,142.5
3.4166,53.5,2.197,142.5
3.4168,58.5,2.197,142.5
3.4170,56.5,2.1975,142.5
