Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
2.2512,0.424,2.1975,0.424
2.2514,0.66,2.1975,0.66
2.2516,0.392,2.1975,0.66
2.2518,0.528,2.1975,0.66
2.2520,0.508,2.197,0.66
2.2522,0.394,2.1975,0.66
2.2524,0.528,2.1975,0.66
2.2526,0.6,2.197,0.66
2.2528,0.418,2.1975,0.66
2.2530,0.576,2.1975,0.66
2.2532,0.588,2.198,0.66
2.2534,0.268,2.1975,0.66
2.2536,0.544,2.1975,0.66
2.2538,0.5,2.1975,0.66
2.2540,0.554,2.197,0.66
2.2542,0.528,2.1975,0.66
2.2544,0.44,2.198,0.66
2.2546,0.568,2.1975,0.66
2.2548,0.434,2.1975,0.66
2.2550,0.5,2.1975,0.66
2.2552,0.582,2.1975,0.66
2.2554,0.478,2.1975,0.66
2.2556,0.46,2.1975,0.66
2.2558,0.658,2.198,0.66
2.2560,0.49,2.1975,0.66
2.2562,0.48,2.198,0.66
2.2564,0.492,2.1975,0.66
2.2566,0.41,2.1975,0.66
2.2568,0.604,2.198,0.66
2.2570,0.454,2.1975,0.66
2.2572,0.516,2.1975,0.66
2.2574,0.494,2.198,0.66
2.2576,0.448,2.1975,0.66
2.2578,0.452,2.1975,0.66
2.2580,0.468,2.1975,0.66
2.2582,0.514,2.197,0.66
2.2584,0.656,2.1975,0.66
2.2586,0.508,2.1975,0.66
2.2588,0.358,2.1975,0.66
2.2590,0.516,2.1975,0.66
2.2592,0.546,2.1975,0.66
2.2594,0.536,2.1975,0.66
2.2596,0.47,2.198,0.66
2.2598,0.452,2.197,0.66
2.2600,0.524,2.1975,0.66
2.2602,0.49,2.1975,0.66
2.2604,0.54,2.198,0.66
2.2606,0.492,2.198,0.66
2.2608,0.452,2.1975,0.66
2.2610,0.636,2.1975,0.66
2.2612,0.328,2.1975,0.66
2.2614,0.614,2.1975,0.66
2.2616,0.382,2.1975,0.66
2.2618,0.626,2.1975,0.66
2.2620,0.41,2.1975,0.66
2.2622,0.5,2.1975,0.66
2.2624,0.516,2.1975,0.66
2.2626,0.58,2.1975,0.66
2.2628,0.47,2.198,0.66
2.2630,0.494,2.1975,0.66
2.2632,0.57,2.1975,0.66
2.2634,0.51,2.1975,0.66
2.2636,0.348,2.1975,0.66
2.2638,0.658,2.1975,0.66
2.2640,0.358,2.1975,0.66
2.2642,0.62,2.1975,0.66
2.2644,0.362,2.1975,0.66
2.2646,0.678,2.198,0.678
2.2648,0.442,2.1975,0.678
2.2650,0.462,2.197,0.678
2.2652,0.426,2.1975,0.678
2.2654,0.546,2.1975,0.678
2.2656,0.47,2.197,0.678
2.2658,0.58,2.1975,0.678
2.2660,0.492,2.1975,0.678
