Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
4.5492,1.258,2.197,1.258
4.5494,1.266,2.1975,1.266
4.5496,1.282,2.1975,1.282
4.5498,1.168,2.197,1.282
4.5500,1.198,2.1975,1.282
4.5502,1.334,2.1975,1.334
4.5504,1.176,2.197,1.334
4.5506,1.198,2.1975,1.334
4.5508,1.184,2.197,1.334
4.5510,1.224,2.197,1.334
4.5512,1.21,2.197,1.334
4.5514,1.206,2.197,1.334
4.5516,1.244,2.1975,1.334
4.5518,1.208,2.198,1.334
4.5520,1.164,2.1975,1.334
4.5522,1.262,2.197,1.334
4.5524,1.172,2.197,1.334
4.5526,1.356,2.1975,1.356
4.5528,1.278,2.197,1.356
4.5530,1.148,2.1975,1.356
4.5532,1.27,2.197,1.356
4.5534,1.146,2.197,1.356
4.5536,1.27,2.1975,1.356
4.5538,1.19,2.197,1.356
4.5540,1.288,2.1975,1.356
4.5542,1.094,2.197,1.356
4.5544,1.198,2.1975,1.356
4.5546,1.202,2.197,1.356
4.5548,1.216,2.1975,1.356
4.5550,1.424,2.197,1.424
4.5552,1.12,2.1975,1.424
4.5554,1.184,2.197,1.424
4.5556,1.22,2.197,1.424
4.5558,1.318,2.1975,1.424
4.5560,1.27,2.197,1.424
4.5562,1.096,2.1975,1.424
4.5564,1.288,2.197,1.424
4.5566,1.184,2.197,1.424
4.5568,1.164,2.1975,1.424
4.5570,1.27,2.197,1.424
4.5572,1.14,2.197,1.424
4.5574,1.278,2.1975,1.424
4.5576,1.222,2.1975,1.424
4.5578,1.214,2.197,1.424
4.5580,1.236,2.197,1.424
4.5582,1.1,2.1975,1.424
4.5584,1.274,2.197,1.424
4.5586,1.194,2.1975,1.424
4.5588,1.268,2.1975,1.424
4.5590,1.284,2.1975,1.424
4.5592,1.156,2.197,1.424
4.5594,1.192,2.197,1.424
4.5596,1.18,2.1975,1.424
4.5598,1.142,2.197,1.424
4.5600,1.394,2.1975,1.424
4.5602,1.266,2.1975,1.424
4.5604,1.142,2.1975,1.424
4.5606,1.274,2.1975,1.424
4.5608,1.26,2.1975,1.424
4.5610,1.052,2.197,1.424
4.5612,1.296,2.1975,1.424
4.5614,1.228,2.197,1.424
4.5616,1.142,2.1975,1.424
4.5618,1.292,2.1975,1.424
4.5620,1.236,2.197,1.424
4.5622,1.22,2.1975,1.424
4.5624,1.306,2.1975,1.424
4.5626,1.192,2.1975,1.424
4.5628,1.132,2.197,1.424
4.5630,1.252,2.1975,1.424
4.5632,1.274,2.1975,1.424
4.5634,1.116,2.197,1.424
4.5636,1.32,2.197,1.424
4.5638,1.164,2.1975,1.424
4.5640,1.186,2.197,1.424
4.5642,1.248,2.197,1.424
4.5644,1.184,2.1975,1.424
4.5646,1.252,2.1975,1.424
4.5648,1.244,2.1975,1.424
4.5650,1.17,2.197,1.424
4.5652,1.3,2.197,1.424
4.5654,1.132,2.197,1.424
4.5656,1.198,2.1975,1.424
4.5658,1.266,2.198,1.424
4.5660,1.148,2.197,1.424
4.5662,1.262,2.1975,1.424
4.5664,1.236,2.197,1.424
4.5666,1.208,2.1975,1.424
4.5668,1.19,2.1975,1.424
4.5670,1.292,2.1975,1.424
4.5672,1.22,2.197,1.424
4.5674,1.19,2.197,1.424
4.5676,1.16,2.1975,1.424
4.5678,1.186,2.197,1.424
4.5680,1.372,2.1975,1.424
4.5682,1.118,2.197,1.424
4.5684,1.176,2.197,1.424
4.5686,1.33,2.197,1.424
4.5688,1.138,2.197,1.424
4.5690,1.236,2.1975,1.424
4.5692,1.232,2.1975,1.424
4.5694,1.228,2.197,1.424
4.5696,1.282,2.1975,1.424
4.5698,1.112,2.197,1.424
4.5700,1.202,2.1975,1.424
4.5702,1.146,2.197,1.424
4.5704,1.298,2.1975,1.424
4.5706,1.13,2.197,1.424
4.5708,1.298,2.197,1.424
4.5710,1.246,2.1975,1.424
4.5712,1.14,2.197,1.424
4.5714,1.33,2.197,1.424
4.5716,1.248,2.1975,1.424
4.5718,1.254,2.1975,1.424
4.5720,1.142,2.197,1.424
4.5722,1.088,2.1975,1.424
4.5724,1.23,2.197,1.424
4.5726,1.258,2.1975,1.424
4.5728,1.27,2.197,1.424
4.5730,1.2,2.1975,1.424
4.5732,1.2,2.197,1.424
4.5734,1.162,2.197,1.424
4.5736,1.252,2.197,1.424
4.5738,1.308,2.1975,1.424
4.5740,1.176,2.197,1.424
4.5742,1.12,2.197,1.424
4.5744,1.208,2.197,1.424
4.5746,1.358,2.1975,1.424
4.5748,1.15,2.1975,1.424
4.5750,1.162,2.1975,1.424
4.5752,1.22,2.197,1.424
4.5754,1.184,2.197,1.424
4.5756,1.172,2.1975,1.424
4.5758,1.376,2.197,1.424
4.5760,1.13,2.197,1.424
4.5762,1.216,2.197,1.424
4.5764,1.3,2.1975,1.424
4.5766,1.312,2.1975,1.424
4.5768,1.014,2.197,1.424
4.5770,1.206,2.1975,1.424
4.5772,1.292,2.197,1.424
4.5774,1.246,2.197,1.424
4.5776,1.108,2.197,1.424
4.5778,1.124,2.1975,1.424
4.5780,1.334,2.1975,1.424
4.5782,1.266,2.1975,1.424
4.5784,1.184,2.1975,1.424
4.5786,1.396,2.1975,1.424
4.5788,1.082,2.1975,1.424
4.5790,1.096,2.1975,1.424
4.5792,1.274,2.1975,1.424
4.5794,1.142,2.197,1.424
4.5796,1.17,2.197,1.424
4.5798,1.258,2.197,1.424
4.5800,1.262,2.197,1.424
4.5802,1.21,2.1975,1.424
4.5804,1.268,2.197,1.424
4.5806,1.23,2.197,1.424
4.5808,1.162,2.197,1.424
4.5810,1.192,2.197,1.424
4.5812,1.23,2.1975,1.424
4.5814,1.178,2.1975,1.424
4.5816,1.292,2.1975,1.424
4.5818,1.18,2.1975,1.424
4.5820,1.26,2.197,1.424
4.5822,1.27,2.1975,1.424
4.5824,1.206,2.1975,1.424
4.5826,1.126,2.197,1.424
4.5828,1.2,2.197,1.424
4.5830,1.248,2.197,1.424
4.5832,1.168,2.197,1.424
4.5834,1.186,2.197,1.424
4.5836,1.222,2.197,1.424
4.5838,1.24,2.1975,1.424
4.5840,1.176,2.1975,1.424
4.5842,1.268,2.1975,1.424
4.5844,1.15,2.1975,1.424
4.5846,1.258,2.197,1.424
4.5848,1.18,2.1975,1.424
4.5850,1.27,2.1975,1.424
4.5852,1.24,2.197,1.424
4.5854,1.176,2.197,1.424
4.5856,1.192,2.1975,1.424
4.5858,1.214,2.197,1.424
4.5860,1.126,2.197,1.424
4.5862,1.282,2.197,1.424
4.5864,1.208,2.1975,1.424
4.5866,1.348,2.198,1.424
4.5868,1.19,2.1975,1.424
4.5870,1.18,2.1975,1.424
4.5872,1.214,2.1975,1.424
4.5874,1.254,2.1975,1.424
4.5876,1.126,2.197,1.424
4.5878,1.262,2.1975,1.424
4.5880,1.154,2.1975,1.424
4.5882,1.326,2.1975,1.424
4.5884,1.132,2.1975,1.424
4.5886,1.308,2.1975,1.424
4.5888,1.058,2.197,1.424
4.5890,1.156,2.1975,1.424
4.5892,1.26,2.197,1.424
4.5894,1.22,2.1975,1.424
4.5896,1.27,2.197,1.424
4.5898,1.112,2.197,1.424
4.5900,1.23,2.1975,1.424
4.5902,1.194,2.1965,1.424
4.5904,78.5,2.197,78.5
4.5906,144.5,2.197,144.5
4.5908,147.5,2.1965,147.5
4.5910,146.5,2.197,147.5
4.5912,144.5,2.197,147.5
4.5914,143,2.197,147.5
4.5916,141.5,2.197,147.5
4.5918,143,2.1965,147.5
4.5920,161,2.197,161
4.5922,142,2.197,161
4.5924,138,2.1965,161
4.5926,135.5,2.197,161
4.5928,134.5,2.1965,161
4.5930,132.5,2.197,161
4.5932,130.5,2.1965,161
4.5934,130,2.1965,161
4.5936,128,2.1965,161
4.5938,125.5,2.1965,161
4.5940,126.5,2.197,161
4.5942,126.5,2.197,161
4.5944,127,2.197,161
4.5946,127.5,2.1965,161
4.5948,141,2.197,161
4.5950,127,2.197,161
4.5952,122,2.197,161
4.5954,119.5,2.197,161
4.5956,116,2.197,161
4.5958,115.5,2.197,161
4.5960,114,2.197,161
4.5962,116,2.197,161
4.5964,115,2.197,161
4.5966,122.5,2.197,161
4.5968,114.5,2.1965,161
4.5970,110.5,2.197,161
4.5972,108,2.197,161
4.5974,104.5,2.197,161
4.5976,105.5,2.1965,161
4.5978,104,2.197,161
4.5980,112,2.197,161
4.5982,108.5,2.197,161
4.5984,105.5,2.197,161
4.5986,103.5,2.1965,161
4.5988,101.5,2.197,161
4.5990,104.5,2.1965,161
4.5992,108.5,2.197,161
4.5994,108.5,2.197,161
4.5996,102.5,2.197,161
4.5998,100.5,2.197,161
4.6000,97.5,2.197,161
4.6002,97.5,2.197,161
4.6004,104,2.197,161
4.6006,96.5,2.197,161
4.6008,87.5,2.197,161
4.6010,87,2.197,161
4.6012,88.5,2.197,161
4.6014,93.5,2.1965,161
4.6016,97.5,2.197,161
4.6018,91.5,2.1965,161
4.6020,91.5,2.197,161
4.6022,93.5,2.197,161
4.6024,102,2.197,161
4.6026,98.5,2.1975,161
4.6028,88.5,2.197,161
4.6030,84.5,2.1965,161
4.6032,87,2.197,161
4.6034,91,2.197,161
4.6036,83.5,2.197,161
4.6038,80.5,2.1965,161
4.6040,81,2.1965,161
4.6042,87,2.197,161
4.6044,88.5,2.1975,161
4.6046,83,2.197,161
4.6048,83.5,2.197,161
4.6050,89,2.197,161
4.6052,92.5,2.197,161
4.6054,82.5,2.197,161
4.6056,81,2.197,161
4.6058,79.5,2.1965,161
4.6060,84.5,2.1975,161
4.6062,74,2.1975,161
4.6064,70.5,2.197,161
4.6066,73,2.197,161
4.6068,80.5,2.197,161
4.6070,78,2.197,161
4.6072,75,2.197,161
4.6074,80,2.196,161
4.6076,89,2.1975,161
4.6078,79.5,2.197,161
4.6080,73.5,2.197,161
4.6082,77,2.197,161
4.6084,81,2.197,161
4.6086,71,2.1975,161
4.6088,70,2.197,161
4.6090,74.5,2.197,161
4.6092,79.5,2.197,161
4.6094,75,2.1975,161
4.6096,75,2.197,161
