Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
3.2674,0.712,2.1975,0.712
3.2676,0.93,2.197,0.93
3.2678,0.706,2.1975,0.93
3.2680,0.846,2.197,0.93
3.2682,0.796,2.1975,0.93
3.2684,0.894,2.1975,0.93
3.2686,0.884,2.197,0.93
3.2688,0.63,2.1975,0.93
3.2690,0.944,2.197,0.944
3.2692,0.71,2.197,0.944
3.2694,0.886,2.197,0.944
3.2696,0.818,2.1975,0.944
3.2698,0.802,2.1975,0.944
3.2700,0.908,2.1975,0.944
3.2702,0.776,2.197,0.944
3.2704,0.816,2.1975,0.944
3.2706,0.786,2.1975,0.944
3.2708,0.81,2.197,0.944
3.2710,0.832,2.197,0.944
3.2712,0.784,2.1975,0.944
3.2714,0.928,2.1975,0.944
3.2716,0.814,2.1975,0.944
3.2718,0.652,2.1975,0.944
3.2720,0.992,2.1975,0.992
3.2722,0.756,2.197,0.992
3.2724,0.806,2.1975,0.992
3.2726,0.952,2.1975,0.992
3.2728,0.746,2.197,0.992
3.2730,0.788,2.1975,0.992
3.2732,0.89,2.197,0.992
3.2734,0.824,2.1975,0.992
3.2736,0.778,2.1975,0.992
3.2738,0.69,2.1975,0.992
3.2740,0.86,2.197,0.992
3.2742,0.878,2.1975,0.992
3.2744,0.794,2.197,0.992
3.2746,0.832,2.1975,0.992
3.2748,0.8,2.197,0.992
3.2750,0.852,2.1975,0.992
3.2752,0.786,2.1975,0.992
3.2754,0.852,2.197,0.992
3.2756,0.784,2.197,0.992
3.2758,0.77,2.197,0.992
3.2760,0.906,2.1975,0.992
3.2762,0.764,2.1975,0.992
3.2764,0.838,2.1975,0.992
3.2766,0.822,2.197,0.992
3.2768,0.84,2.197,0.992
3.2770,0.854,2.1975,0.992
3.2772,0.792,2.197,0.992
3.2774,0.734,2.197,0.992
3.2776,0.966,2.1975,0.992
3.2778,0.84,2.1975,0.992
3.2780,0.724,2.1975,0.992
3.2782,0.898,2.1975,0.992
3.2784,0.734,2.197,0.992
3.2786,0.9,2.1975,0.992
3.2788,0.748,2.1975,0.992
3.2790,0.772,2.1975,0.992
3.2792,0.862,2.197,0.992
3.2794,0.854,2.197,0.992
3.2796,0.838,2.197,0.992
3.2798,0.822,2.197,0.992
3.2800,0.846,2.1975,0.992
