Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
4.7050,1.712,2.197,1.712
4.7052,1.588,2.198,1.712
4.7054,1.72,2.1975,1.72
4.7056,1.614,2.1975,1.72
4.7058,1.66,2.198,1.72
4.7060,1.7,2.1975,1.72
4.7062,1.658,2.1975,1.72
4.7064,1.624,2.1975,1.72
4.7066,1.64,2.1975,1.72
4.7068,1.61,2.1975,1.72
4.7070,1.662,2.1975,1.72
4.7072,1.538,2.198,1.72
4.7074,1.828,2.1975,1.828
4.7076,1.608,2.1975,1.828
4.7078,1.836,2.198,1.836
4.7080,1.598,2.1975,1.836
4.7082,1.524,2.1975,1.836
4.7084,1.666,2.198,1.836
4.7086,1.75,2.1975,1.836
4.7088,1.558,2.1975,1.836
4.7090,1.714,2.1975,1.836
4.7092,1.518,2.197,1.836
4.7094,1.722,2.198,1.836
4.7096,1.588,2.1975,1.836
4.7098,1.726,2.1975,1.836
4.7100,1.614,2.1975,1.836
4.7102,1.728,2.1975,1.836
4.7104,1.588,2.198,1.836
4.7106,1.736,2.1975,1.836
4.7108,1.584,2.1975,1.836
4.7110,1.698,2.1975,1.836
4.7112,1.61,2.1975,1.836
4.7114,1.69,2.1975,1.836
4.7116,1.624,2.197,1.836
4.7118,1.666,2.1975,1.836
4.7120,1.628,2.1975,1.836
4.7122,1.722,2.1975,1.836
4.7124,1.614,2.1975,1.836
4.7126,1.654,2.1975,1.836
4.7128,1.58,2.1975,1.836
4.7130,1.876,2.198,1.876
4.7132,1.55,2.1975,1.876
4.7134,1.61,2.1975,1.876
4.7136,1.6,2.1975,1.876
4.7138,1.75,2.1975,1.876
4.7140,1.482,2.1975,1.876
4.7142,1.726,2.1975,1.876
4.7144,1.712,2.1975,1.876
4.7146,1.616,2.1975,1.876
4.7148,1.624,2.1975,1.876
4.7150,1.708,2.1975,1.876
4.7152,1.644,2.1975,1.876
4.7154,1.78,2.1975,1.876
4.7156,1.608,2.1975,1.876
4.7158,1.534,2.1975,1.876
4.7160,1.652,2.1975,1.876
4.7162,1.768,2.1975,1.876
4.7164,1.558,2.1975,1.876
4.7166,1.81,2.1975,1.876
4.7168,1.576,2.1975,1.876
4.7170,1.69,2.198,1.876
4.7172,1.63,2.1975,1.876
4.7174,1.682,2.1975,1.876
4.7176,1.602,2.1975,1.876
4.7178,1.622,2.1975,1.876
4.7180,1.706,2.1975,1.876
4.7182,1.608,2.1975,1.876
4.7184,1.696,2.1975,1.876
4.7186,1.75,2.198,1.876
4.7188,1.6,2.1975,1.876
4.7190,1.572,2.1975,1.876
4.7192,1.668,2.197,1.876
4.7194,1.7,2.1975,1.876
4.7196,1.648,2.1975,1.876
4.7198,1.66,2.198,1.876
4.7200,1.668,2.1975,1.876
4.7202,1.578,2.1975,1.876
4.7204,1.712,2.1975,1.876
4.7206,1.588,2.1975,1.876
4.7208,1.684,2.1975,1.876
4.7210,1.722,2.1975,1.876
4.7212,1.562,2.1975,1.876
4.7214,1.584,2.1975,1.876
4.7216,1.856,2.198,1.876
4.7218,1.51,2.197,1.876
4.7220,1.668,2.198,1.876
4.7222,1.644,2.198,1.876
4.7224,1.636,2.1975,1.876
4.7226,1.78,2.198,1.876
4.7228,1.54,2.1975,1.876
4.7230,1.66,2.1975,1.876
4.7232,1.602,2.198,1.876
4.7234,1.738,2.198,1.876
4.7236,1.61,2.198,1.876
4.7238,1.554,2.1975,1.876
4.7240,1.714,2.198,1.876
4.7242,1.584,2.197,1.876
4.7244,1.764,2.198,1.876
4.7246,1.616,2.197,1.876
4.7248,1.628,2.198,1.876
4.7250,1.752,2.1975,1.876
4.7252,1.534,2.1975,1.876
4.7254,1.652,2.198,1.876
4.7256,1.708,2.1975,1.876
4.7258,1.618,2.1975,1.876
4.7260,1.658,2.1975,1.876
4.7262,1.66,2.1975,1.876
4.7264,1.704,2.198,1.876
4.7266,1.548,2.1975,1.876
4.7268,1.684,2.1975,1.876
4.7270,1.624,2.1975,1.876
4.7272,1.69,2.198,1.876
4.7274,1.682,2.198,1.876
4.7276,1.666,2.198,1.876
4.7278,1.588,2.198,1.876
4.7280,1.744,2.1975,1.876
4.7282,1.538,2.1975,1.876
4.7284,1.758,2.1975,1.876
4.7286,1.6,2.1975,1.876
4.7288,1.618,2.1975,1.876
4.7290,1.788,2.1975,1.876
4.7292,1.622,2.1975,1.876
4.7294,1.632,2.1975,1.876
4.7296,1.606,2.1975,1.876
4.7298,1.644,2.1975,1.876
4.7300,1.482,2.198,1.876
4.7302,1.82,2.1975,1.876
4.7304,1.722,2.1975,1.876
4.7306,1.51,2.1975,1.876
4.7308,1.78,2.198,1.876
4.7310,1.61,2.197,1.876
4.7312,1.618,2.1975,1.876
4.7314,1.63,2.1975,1.876
4.7316,1.662,2.1975,1.876
4.7318,1.744,2.1975,1.876
4.7320,1.64,2.1975,1.876
4.7322,1.61,2.1975,1.876
4.7324,1.66,2.198,1.876
4.7326,1.622,2.1975,1.876
4.7328,1.684,2.1975,1.876
4.7330,1.64,2.1975,1.876
4.7332,1.674,2.1975,1.876
4.7334,1.63,2.1975,1.876
4.7336,1.674,2.1975,1.876
4.7338,1.542,2.1975,1.876
4.7340,1.676,2.197,1.876
4.7342,1.682,2.1975,1.876
4.7344,1.766,2.1975,1.876
4.7346,1.524,2.1975,1.876
4.7348,1.666,2.1975,1.876
4.7350,1.776,2.1975,1.876
4.7352,1.632,2.198,1.876
4.7354,1.616,2.1975,1.876
4.7356,1.606,2.1975,1.876
4.7358,1.714,2.1975,1.876
4.7360,1.75,2.1975,1.876
4.7362,1.558,2.1975,1.876
4.7364,1.614,2.1975,1.876
4.7366,1.66,2.198,1.876
4.7368,1.658,2.1975,1.876
4.7370,1.644,2.198,1.876
4.7372,1.584,2.198,1.876
4.7374,1.66,2.198,1.876
4.7376,1.726,2.1975,1.876
4.7378,1.638,2.1975,1.876
4.7380,1.538,2.198,1.876
4.7382,1.864,2.1975,1.876
4.7384,1.608,2.1975,1.876
4.7386,1.516,2.197,1.876
4.7388,1.662,2.1975,1.876
4.7390,1.61,2.197,1.876
4.7392,1.7,2.1975,1.876
4.7394,1.674,2.1975,1.876
4.7396,1.662,2.198,1.876
4.7398,1.668,2.1975,1.876
4.7400,1.684,2.1975,1.876
4.7402,1.598,2.1975,1.876
4.7404,1.794,2.198,1.876
4.7406,1.542,2.198,1.876
4.7408,1.584,2.1975,1.876
4.7410,1.782,2.198,1.876
4.7412,1.52,2.198,1.876
4.7414,1.654,2.1975,1.876
4.7416,1.818,2.198,1.876
4.7418,1.518,2.1975,1.876
4.7420,1.736,2.198,1.876
4.7422,1.602,2.1975,1.876
4.7424,1.704,2.198,1.876
4.7426,1.478,2.1975,1.876
4.7428,1.716,2.1975,1.876
4.7430,1.658,2.198,1.876
4.7432,1.628,2.1975,1.876
4.7434,1.716,2.1975,1.876
4.7436,1.692,2.198,1.876
4.7438,1.548,2.198,1.876
4.7440,1.706,2.1975,1.876
4.7442,1.558,2.198,1.876
4.7444,1.744,2.1975,1.876
4.7446,1.628,2.1975,1.876
4.7448,1.58,2.1975,1.876
4.7450,1.788,2.1975,1.876
4.7452,1.556,2.1975,1.876
4.7454,1.744,2.1975,1.876
4.7456,1.572,2.1975,1.876
4.7458,1.796,2.198,1.876
4.7460,1.464,2.198,1.876
4.7462,1.662,2.198,1.876
4.7464,1.708,2.1975,1.876
4.7466,1.696,2.1975,1.876
4.7468,1.55,2.1975,1.876
4.7470,1.756,2.197,1.876
4.7472,1.67,2.198,1.876
4.7474,1.676,2.198,1.876
4.7476,1.556,2.1975,1.876
4.7478,1.69,2.1975,1.876
4.7480,1.638,2.1975,1.876
4.7482,1.668,2.1975,1.876
4.7484,1.688,2.198,1.876
4.7486,1.644,2.1975,1.876
4.7488,1.744,2.1975,1.876
4.7490,1.788,2.197,1.876
4.7492,1.668,2.1975,1.876
4.7494,1.902,2.197,1.902
4.7496,1.66,2.198,1.902
4.7498,1.726,2.1975,1.902
4.7500,1.766,2.1975,1.902
4.7502,1.9,2.1975,1.902
4.7504,1.678,2.198,1.902
4.7506,1.832,2.1975,1.902
4.7508,1.624,2.1975,1.902
4.7510,1.848,2.1975,1.902
4.7512,1.648,2.1975,1.902
4.7514,1.84,2.1975,1.902
4.7516,1.688,2.1975,1.902
4.7518,1.756,2.1975,1.902
4.7520,1.856,2.1975,1.902
4.7522,1.67,2.1975,1.902
4.7524,1.654,2.1975,1.902
4.7526,1.916,2.1975,1.916
4.7528,1.918,2.1975,1.918
4.7530,1.538,2.1975,1.918
4.7532,1.752,2.1975,1.918
4.7534,1.938,2.198,1.938
4.7536,1.614,2.198,1.938
4.7538,1.872,2.1975,1.938
4.7540,1.632,2.1975,1.938
4.7542,1.812,2.1975,1.938
4.7544,1.7,2.1975,1.938
4.7546,1.766,2.198,1.938
4.7548,1.806,2.1975,1.938
4.7550,1.688,2.1975,1.938
4.7552,1.816,2.1975,1.938
4.7554,1.744,2.198,1.938
4.7556,1.824,2.1975,1.938
4.7558,1.708,2.198,1.938
4.7560,1.772,2.1975,1.938
4.7562,1.756,2.1975,1.938
4.7564,1.786,2.198,1.938
4.7566,1.756,2.198,1.938
4.7568,1.632,2.1975,1.938
4.7570,1.772,2.1975,1.938
4.7572,1.704,2.1975,1.938
4.7574,1.802,2.1975,1.938
4.7576,1.746,2.1975,1.938
4.7578,1.764,2.1975,1.938
4.7580,1.606,2.1975,1.938
4.7582,1.79,2.1975,1.938
4.7584,1.918,2.1975,1.938
4.7586,1.918,2.1975,1.938
4.7588,1.992,2.198,1.992
4.7590,1.952,2.197,1.992
4.7592,2.09,2.1975,2.09
4.7594,2,2.198,2.09
4.7596,1.976,2.198,2.09
4.7598,1.774,2.1975,2.09
4.7600,1.764,2.1975,2.09
4.7602,2.344,2.176,2.344
4.7604,90.5,2.2015,90.5
4.7606,11.902,2.198,90.5
4.7608,58,2.203,90.5
4.7610,41,2.2,90.5
4.7612,4.256,2.1765,90.5
4.7614,90.5,2.201,90.5
4.7616,11.872,2.198,90.5
4.7618,58,2.2035,90.5
