Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
3.3512,1.688,2.1975,1.688
3.3514,1.648,2.198,1.688
3.3516,1.576,2.1975,1.688
3.3518,1.654,2.1975,1.688
3.3520,1.682,2.1975,1.688
3.3522,1.668,2.1975,1.688
3.3524,1.638,2.1975,1.688
3.3526,1.638,2.1975,1.688
3.3528,1.622,2.1975,1.688
3.3530,1.592,2.198,1.688
3.3532,1.69,2.1975,1.69
3.3534,1.63,2.1975,1.69
3.3536,1.638,2.197,1.69
3.3538,1.66,2.1975,1.69
3.3540,1.756,2.1975,1.756
3.3542,1.646,2.1975,1.756
3.3544,1.676,2.198,1.756
3.3546,1.554,2.1975,1.756
3.3548,1.774,2.1975,1.774
3.3550,1.576,2.1975,1.774
3.3552,1.624,2.197,1.774
3.3554,1.872,2.1975,1.872
3.3556,1.354,2.197,1.872
3.3558,1.758,2.198,1.872
3.3560,1.816,2.1975,1.872
3.3562,1.548,2.1975,1.872
3.3564,1.52,2.1975,1.872
3.3566,1.756,2.1975,1.872
3.3568,1.592,2.1975,1.872
3.3570,1.726,2.1975,1.872
3.3572,1.61,2.1975,1.872
3.3574,1.654,2.1975,1.872
3.3576,1.794,2.1975,1.872
3.3578,1.398,2.1975,1.872
3.3580,1.846,2.1975,1.872
3.3582,1.628,2.1975,1.872
3.3584,1.714,2.1975,1.872
3.3586,1.494,2.1975,1.872
3.3588,1.652,2.1975,1.872
3.3590,1.718,2.1975,1.872
3.3592,1.7,2.1975,1.872
3.3594,1.644,2.1975,1.872
3.3596,1.654,2.198,1.872
3.3598,1.618,2.198,1.872
3.3600,1.64,2.1975,1.872
3.3602,1.636,2.1975,1.872
3.3604,1.722,2.1975,1.872
3.3606,1.676,2.198,1.872
3.3608,1.564,2.1975,1.872
3.3610,1.618,2.197,1.872
3.3612,1.662,2.1975,1.872
3.3614,1.592,2.1975,1.872
3.3616,1.864,2.198,1.872
3.3618,1.588,2.197,1.872
3.3620,1.652,2.198,1.872
3.3622,1.572,2.198,1.872
3.3624,1.628,2.1975,1.872
3.3626,1.644,2.1975,1.872
3.3628,1.718,2.198,1.872
3.3630,1.648,2.1975,1.872
3.3632,1.668,2.198,1.872
3.3634,1.586,2.197,1.872
3.3636,1.708,2.1975,1.872
3.3638,1.682,2.197,1.872
3.3640,1.616,2.1975,1.872
3.3642,1.644,2.1975,1.872
3.3644,1.628,2.198,1.872
3.3646,1.684,2.198,1.872
3.3648,1.624,2.197,1.872
3.3650,1.666,2.198,1.872
3.3652,1.69,2.1975,1.872
3.3654,1.63,2.1975,1.872
3.3656,1.61,2.1975,1.872
3.3658,1.7,2.198,1.872
3.3660,1.662,2.1975,1.872
3.3662,1.598,2.1975,1.872
3.3664,1.66,2.1975,1.872
3.3666,1.614,2.1975,1.872
3.3668,1.774,2.1975,1.872
3.3670,1.568,2.1975,1.872
3.3672,1.614,2.1975,1.872
3.3674,1.712,2.1975,1.872
3.3676,1.61,2.198,1.872
3.3678,1.736,2.1975,1.872
3.3680,1.676,2.198,1.872
3.3682,1.678,2.1975,1.872
3.3684,1.58,2.198,1.872
3.3686,1.67,2.1975,1.872
3.3688,1.58,2.1975,1.872
3.3690,1.768,2.198,1.872
3.3692,1.508,2.1975,1.872
3.3694,1.654,2.1975,1.872
3.3696,1.798,2.1975,1.872
3.3698,1.638,2.198,1.872
3.3700,1.558,2.1975,1.872
3.3702,1.644,2.1975,1.872
3.3704,1.66,2.1975,1.872
3.3706,1.704,2.1975,1.872
3.3708,1.55,2.1975,1.872
3.3710,1.764,2.1975,1.872
3.3712,1.638,2.198,1.872
3.3714,1.524,2.197,1.872
3.3716,1.7,2.1975,1.872
3.3718,1.682,2.198,1.872
3.3720,1.698,2.1975,1.872
3.3722,1.618,2.1975,1.872
3.3724,1.698,2.1975,1.872
3.3726,1.602,2.1975,1.872
3.3728,1.714,2.1975,1.872
3.3730,1.548,2.1975,1.872
3.3732,1.78,2.198,1.872
3.3734,1.488,2.1975,1.872
3.3736,1.648,2.1975,1.872
3.3738,1.678,2.1975,1.872
3.3740,1.66,2.1975,1.872
3.3742,1.624,2.1975,1.872
3.3744,1.758,2.1975,1.872
3.3746,1.576,2.1975,1.872
3.3748,1.652,2.1975,1.872
3.3750,1.588,2.1975,1.872
3.3752,1.712,2.1975,1.872
3.3754,1.748,2.1975,1.872
3.3756,1.584,2.1975,1.872
3.3758,1.872,2.198,1.872
3.3760,1.548,2.1975,1.872
3.3762,1.718,2.197,1.872
3.3764,1.728,2.1975,1.872
3.3766,1.808,2.1975,1.872
3.3768,1.816,2.1975,1.872
3.3770,1.736,2.198,1.872
3.3772,1.712,2.1975,1.872
3.3774,1.818,2.1975,1.872
3.3776,1.788,2.1975,1.872
3.3778,1.774,2.1975,1.872
3.3780,1.828,2.1975,1.872
