Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
2.5846,0.396,2.1975,0.396
2.5848,0.542,2.198,0.542
2.5850,0.448,2.1975,0.542
2.5852,0.572,2.198,0.572
2.5854,0.62,2.1975,0.62
2.5856,0.47,2.1975,0.62
2.5858,0.434,2.198,0.62
2.5860,0.584,2.198,0.62
2.5862,0.374,2.1975,0.62
2.5864,0.53,2.198,0.62
2.5866,0.526,2.1975,0.62
2.5868,0.434,2.198,0.62
2.5870,0.518,2.1975,0.62
2.5872,0.504,2.198,0.62
2.5874,0.516,2.198,0.62
2.5876,0.53,2.198,0.62
2.5878,0.486,2.198,0.62
2.5880,0.538,2.1975,0.62
2.5882,0.444,2.1975,0.62
2.5884,0.538,2.1975,0.62
2.5886,0.548,2.198,0.62
2.5888,0.444,2.1975,0.62
2.5890,0.518,2.198,0.62
2.5892,0.48,2.198,0.62
2.5894,0.696,2.198,0.696
2.5896,0.322,2.1975,0.696
2.5898,0.472,2.1975,0.696
2.5900,0.568,2.198,0.696
2.5902,0.354,2.197,0.696
2.5904,0.582,2.198,0.696
2.5906,0.488,2.1975,0.696
2.5908,0.426,2.198,0.696
2.5910,0.662,2.198,0.696
2.5912,0.276,2.198,0.696
2.5914,0.644,2.1975,0.696
2.5916,0.366,2.1975,0.696
2.5918,0.594,2.198,0.696
2.5920,0.474,2.1975,0.696
2.5922,0.516,2.198,0.696
2.5924,0.59,2.1975,0.696
2.5926,0.38,2.198,0.696
2.5928,0.548,2.1975,0.696
2.5930,0.51,2.1975,0.696
2.5932,0.554,2.1975,0.696
2.5934,0.374,2.1975,0.696
2.5936,0.464,2.1975,0.696
2.5938,0.608,2.1975,0.696
2.5940,0.44,2.198,0.696
2.5942,0.582,2.1975,0.696
2.5944,0.456,2.1975,0.696
2.5946,0.518,2.1975,0.696
2.5948,0.444,2.1975,0.696
2.5950,0.568,2.1975,0.696
2.5952,0.41,2.198,0.696
2.5954,0.63,2.198,0.696
2.5956,0.428,2.1975,0.696
2.5958,0.44,2.1975,0.696
2.5960,0.652,2.198,0.696
2.5962,0.33,2.198,0.696
2.5964,0.632,2.1975,0.696
2.5966,0.478,2.198,0.696
2.5968,0.434,2.198,0.696
2.5970,0.606,2.1975,0.696
2.5972,0.516,2.198,0.696
2.5974,0.452,2.1975,0.696
2.5976,0.486,2.198,0.696
2.5978,0.492,2.1975,0.696
2.5980,0.518,2.1975,0.696
2.5982,0.492,2.1975,0.696
2.5984,0.44,2.198,0.696
2.5986,0.578,2.198,0.696
2.5988,0.556,2.1975,0.696
2.5990,0.342,2.1975,0.696
2.5992,0.62,2.198,0.696
2.5994,0.414,2.1975,0.696
2.5996,0.538,2.198,0.696
2.5998,0.51,2.198,0.696
2.6000,0.478,2.198,0.696
2.6002,0.496,2.198,0.696
2.6004,0.572,2.198,0.696
2.6006,0.41,2.1975,0.696
2.6008,0.564,2.198,0.696
2.6010,0.45,2.1975,0.696
2.6012,0.428,2.1975,0.696
2.6014,0.572,2.1975,0.696
2.6016,0.522,2.198,0.696
2.6018,0.32,2.198,0.696
2.6020,0.556,2.1975,0.696
2.6022,0.546,2.198,0.696
2.6024,0.412,2.1975,0.696
2.6026,0.562,2.1975,0.696
2.6028,0.532,2.1975,0.696
2.6030,0.488,2.1975,0.696
2.6032,0.538,2.1975,0.696
2.6034,0.48,2.198,0.696
2.6036,0.518,2.1975,0.696
2.6038,0.39,2.1975,0.696
2.6040,0.632,2.198,0.696
2.6042,0.388,2.1975,0.696
2.6044,0.518,2.1975,0.696
2.6046,0.644,2.198,0.696
2.6048,0.41,2.198,0.696
2.6050,0.452,2.198,0.696
2.6052,0.434,2.1975,0.696
2.6054,0.516,2.1975,0.696
2.6056,0.482,2.1975,0.696
2.6058,0.534,2.198,0.696
2.6060,0.414,2.197,0.696
2.6062,0.616,2.198,0.696
2.6064,0.522,2.198,0.696
2.6066,0.548,2.1975,0.696
2.6068,0.322,2.1975,0.696
2.6070,0.548,2.1975,0.696
2.6072,0.494,2.197,0.696
2.6074,0.568,2.198,0.696
2.6076,0.486,2.1975,0.696
2.6078,0.548,2.198,0.696
2.6080,0.512,2.198,0.696
2.6082,0.41,2.198,0.696
2.6084,0.466,2.1975,0.696
2.6086,0.554,2.198,0.696
2.6088,0.426,2.1975,0.696
2.6090,0.398,2.198,0.696
2.6092,0.582,2.1975,0.696
2.6094,0.782,2.198,0.782
2.6096,0.852,2.1975,0.852
2.6098,36.5,2.194,36.5
2.6100,156,2.2015,156
2.6102,21.892,2.194,156
2.6104,143.5,2.203,156
2.6106,68,2.2005,156
2.6108,44,2.194,156
2.6110,154,2.2015,156
2.6112,21.426,2.1935,156
2.6114,143.5,2.2025,156
2.6116,66,2.2005,156
2.6118,44.5,2.194,156
2.6120,151.5,2.2025,156
2.6122,21.046,2.1925,156
2.6124,143,2.2025,156
2.6126,64.5,2.2005,156
2.6128,45,2.194,156
2.6130,149,2.201,156
2.6132,20.406,2.191,156
2.6134,143,2.2035,156
2.6136,63,2.2005,156
2.6138,46,2.1945,156
2.6140,147,2.2015,156
2.6142,19.83,2.1905,156
2.6144,143.5,2.203,156
2.6146,61.5,2.2005,156
2.6148,47,2.195,156
2.6150,145,2.201,156
2.6152,19.43,2.1885,156
2.6154,143,2.2025,156
2.6156,60,2.2005,156
2.6158,47.5,2.195,156
2.6160,143,2.2015,156
2.6162,18.964,2.1875,156
2.6164,143,2.203,156
2.6166,58,2.2005,156
2.6168,48.5,2.194,156
2.6170,140.5,2.2015,156
2.6172,18.274,2.187,156
2.6174,143,2.203,156
2.6176,56.5,2.2,156
2.6178,49,2.1945,156
2.6180,139.5,2.201,156
2.6182,17.946,2.1865,156
2.6184,142.5,2.2025,156
2.6186,55,2.2005,156
2.6188,49.5,2.1945,156
2.6190,135,2.2015,156
2.6192,17.218,2.185,156
2.6194,141.5,2.2025,156
2.6196,53.5,2.2005,156
2.6198,50,2.1945,156
2.6200,133,2.201,156
2.6202,17.064,2.184,156
2.6204,141.5,2.203,156
2.6206,52.5,2.2005,156
2.6208,51,2.195,156
2.6210,132,2.2015,156
2.6212,16.618,2.184,156
2.6214,147,2.203,156
2.6216,53.5,2.2005,156
2.6218,52.5,2.195,156
2.6220,131,2.201,156
2.6222,16.254,2.1835,156
2.6224,142,2.2025,156
2.6226,50.5,2.2005,156
2.6228,52.5,2.196,156
2.6230,127.5,2.201,156
2.6232,15.58,2.182,156
2.6234,140.5,2.203,156
2.6236,48.5,2.2005,156
2.6238,52.5,2.195,156
2.6240,123.5,2.201,156
2.6242,15.16,2.181,156
2.6244,141.5,2.203,156
2.6246,47.5,2.2005,156
2.6248,53.5,2.195,156
2.6250,122,2.2015,156
2.6252,14.77,2.181,156
2.6254,139.5,2.2035,156
2.6256,46,2.2,156
2.6258,54.5,2.195,156
2.6260,120.5,2.201,156
2.6262,14.536,2.1805,156
2.6264,140,2.203,156
2.6266,45,2.2005,156
2.6268,59,2.1945,156
2.6270,124,2.201,156
2.6272,15.492,2.1805,156
2.6274,140.5,2.203,156
2.6276,44,2.2,156
2.6278,56,2.195,156
2.6280,117.5,2.2015,156
2.6282,14.132,2.1805,156
2.6284,137,2.203,156
2.6286,42.5,2.2,156
2.6288,57,2.195,156
2.6290,116.5,2.2015,156
2.6292,13.984,2.18,156
2.6294,140.5,2.203,156
2.6296,42,2.2,156
2.6298,58.5,2.196,156
2.6300,114.5,2.2005,156
2.6302,13.684,2.1795,156
2.6304,139,2.2025,156
2.6306,41,2.2,156
2.6308,59,2.196,156
2.6310,112,2.201,156
2.6312,13.694,2.1795,156
2.6314,137,2.203,156
2.6316,40,2.2,156
2.6318,58.5,2.195,156
2.6320,108,2.201,156
2.6322,13.072,2.18,156
2.6324,134.5,2.203,156
2.6326,38,2.2,156
2.6328,59.5,2.195,156
2.6330,107,2.201,156
2.6332,13.204,2.1805,156
2.6334,133.5,2.2025,156
2.6336,37.5,2.2005,156
2.6338,59.5,2.195,156
2.6340,103.5,2.2005,156
2.6342,12.866,2.1805,156
2.6344,133.5,2.2025,156
2.6346,36.5,2.1995,156
2.6348,61.5,2.196,156
2.6350,104,2.2005,156
2.6352,13.076,2.18,156
2.6354,134.5,2.2025,156
2.6356,36,2.2,156
2.6358,68,2.1965,156
2.6360,108,2.201,156
2.6362,13.488,2.1805,156
2.6364,137,2.2025,156
2.6366,36,2.2,156
2.6368,62,2.1965,156
2.6370,100,2.201,156
2.6372,12.576,2.1805,156
2.6374,130,2.203,156
2.6376,33.5,2.2,156
2.6378,63,2.196,156
2.6380,98,2.201,156
2.6382,12.716,2.181,156
2.6384,133,2.2025,156
2.6386,33.5,2.2,156
2.6388,63,2.197,156
2.6390,95.5,2.201,156
2.6392,12.428,2.182,156
2.6394,131,2.203,156
2.6396,32.5,2.1995,156
2.6398,64,2.197,156
2.6400,95,2.201,156
2.6402,12.922,2.183,156
2.6404,131.5,2.203,156
2.6406,31.996,2.2,156
2.6408,65.5,2.1965,156
2.6410,93,2.2005,156
2.6412,12.752,2.183,156
2.6414,128.5,2.203,156
2.6416,30.822,2.2,156
2.6418,63.5,2.197,156
2.6420,88,2.2005,156
2.6422,12.404,2.1835,156
2.6424,130,2.2025,156
2.6426,30.78,2.1995,156
2.6428,67,2.1965,156
2.6430,90,2.2005,156
2.6432,13.202,2.1835,156
2.6434,130,2.2025,156
2.6436,30.072,2.1995,156
2.6438,70,2.197,156
2.6440,90,2.2005,156
2.6442,13.304,2.1845,156
2.6444,127,2.2025,156
2.6446,28.834,2.2,156
2.6448,72,2.1985,156
2.6450,83,2.2005,156
2.6452,13.328,2.185,156
2.6454,129.5,2.2025,156
2.6456,28.58,2.1995,156
2.6458,68,2.197,156
2.6460,84.5,2.2005,156
2.6462,13.494,2.185,156
2.6464,129.5,2.2025,156
2.6466,28.43,2.2,156
2.6468,69.5,2.198,156
2.6470,83,2.2005,156
2.6472,13.08,2.185,156
2.6474,125.5,2.2025,156
2.6476,27.054,2.1995,156
2.6478,71,2.198,156
2.6480,81.5,2.2005,156
2.6482,13.494,2.1865,156
2.6484,121.5,2.2025,156
2.6486,25.502,2.1995,156
2.6488,71,2.1985,156
2.6490,80,2.2005,156
2.6492,14.088,2.186,156
2.6494,132.5,2.203,156
2.6496,26.784,2.2,156
2.6498,70,2.1985,156
2.6500,76,2.2005,156
2.6502,14.1,2.188,156
2.6504,123,2.2015,156
2.6506,24.924,2.1995,156
2.6508,71,2.198,156
2.6510,76,2.2005,156
2.6512,14.304,2.1875,156
2.6514,127.5,2.2025,156
2.6516,25.788,2.1995,156
2.6518,72,2.1985,156
2.6520,74,2.2005,156
2.6522,14.348,2.1885,156
2.6524,122.5,2.2015,156
2.6526,24.234,2.1995,156
2.6528,75,2.2,156
2.6530,73,2.2005,156
2.6532,14.464,2.188,156
2.6534,119,2.2015,156
2.6536,23.25,2.1985,156
2.6538,77,2.2,156
2.6540,73.5,2.2005,156
2.6542,15.174,2.188,156
2.6544,120,2.201,156
2.6546,22.946,2.1995,156
2.6548,76,2.2005,156
2.6550,72,2.2005,156
2.6552,15.384,2.19,156
2.6554,119.5,2.2025,156
2.6556,22.314,2.1985,156
2.6558,76,2.2005,156
2.6560,69,2.2005,156
2.6562,15.642,2.19,156
2.6564,122.5,2.2025,156
2.6566,22.5,2.1985,156
2.6568,74,2.201,156
2.6570,66.5,2.2005,156
2.6572,15.7,2.1905,156
2.6574,117,2.2015,156
2.6576,21.156,2.1985,156
2.6578,76,2.2005,156
2.6580,66,2.2005,156
2.6582,16.218,2.1905,156
2.6584,119.5,2.2025,156
2.6586,21.308,2.1995,156
2.6588,75.5,2.2005,156
2.6590,62.5,2.2005,156
2.6592,15.758,2.1905,156
2.6594,117.5,2.2015,156
2.6596,20.9,2.1985,156
2.6598,78,2.2005,156
2.6600,63,2.2005,156
2.6602,16.78,2.1905,156
2.6604,114,2.2015,156
2.6606,19.736,2.1995,156
2.6608,78,2.2015,156
2.6610,61,2.2005,156
2.6612,16.804,2.191,156
2.6614,111.5,2.201,156
2.6616,19.004,2.1985,156
2.6618,77.5,2.201,156
2.6620,59,2.2005,156
2.6622,17.636,2.1925,156
2.6624,114.5,2.2015,156
2.6626,19.346,2.1995,156
2.6628,83,2.2025,156
2.6630,56.5,2.2005,156
2.6632,17.518,2.1915,156
2.6634,109.5,2.2015,156
2.6636,17.944,2.1985,156
2.6638,81.5,2.2015,156
2.6640,58,2.2005,156
2.6642,18.074,2.1915,156
2.6644,112,2.2015,156
2.6646,18.238,2.1985,156
2.6648,83.5,2.2015,156
2.6650,58.5,2.2005,156
2.6652,19.418,2.1925,156
2.6654,114,2.2015,156
2.6656,18.43,2.1985,156
2.6658,82.5,2.201,156
2.6660,56,2.2005,156
2.6662,18.878,2.193,156
2.6664,106,2.201,156
2.6666,16.99,2.1995,156
2.6668,85.5,2.2015,156
2.6670,55.5,2.2005,156
2.6672,19.804,2.193,156
2.6674,107.5,2.2015,156
2.6676,16.75,2.1985,156
2.6678,85,2.2015,156
2.6680,54.5,2.2005,156
2.6682,20.262,2.1925,156
2.6684,112,2.2015,156
2.6686,17.072,2.1985,156
2.6688,84,2.201,156
2.6690,52,2.2005,156
2.6692,19.896,2.1935,156
2.6694,101.5,2.2015,156
2.6696,15.408,2.1985,156
2.6698,86,2.2025,156
2.6700,51.5,2.2005,156
2.6702,20.352,2.194,156
2.6704,103,2.201,156
2.6706,15.432,2.1985,156
2.6708,89.5,2.2025,156
2.6710,52.5,2.2005,156
2.6712,21.388,2.1935,156
2.6714,104,2.201,156
2.6716,15.44,2.198,156
2.6718,85.5,2.2025,156
2.6720,49,2.2005,156
2.6722,22.2,2.194,156
2.6724,104.5,2.2015,156
2.6726,15.22,2.198,156
2.6728,89,2.2015,156
2.6730,49,2.2005,156
2.6732,22.994,2.194,156
2.6734,101,2.201,156
2.6736,14.574,2.1975,156
2.6738,91.5,2.203,156
2.6740,48.5,2.2005,156
2.6742,23.444,2.194,156
2.6744,101.5,2.201,156
2.6746,14.508,2.197,156
2.6748,86,2.2015,156
2.6750,44.5,2.2,156
2.6752,22.796,2.1945,156
2.6754,96.5,2.201,156
2.6756,13.8,2.197,156
2.6758,83,2.203,156
2.6760,43,2.2005,156
2.6762,24.39,2.194,156
2.6764,101,2.201,156
2.6766,14.042,2.197,156
2.6768,89,2.2025,156
2.6770,43.5,2.2005,156
2.6772,24.582,2.194,156
2.6774,99,2.201,156
2.6776,13.44,2.1965,156
2.6778,87.5,2.2025,156
2.6780,42,2.2,156
2.6782,23.97,2.194,156
2.6784,97.5,2.2005,156
2.6786,13.504,2.196,156
2.6788,89,2.2025,156
2.6790,42,2.2,156
2.6792,26.928,2.194,156
2.6794,100.5,2.201,156
2.6796,13.586,2.1945,156
2.6798,86.5,2.2025,156
2.6800,40.5,2.2,156
2.6802,27.328,2.1945,156
2.6804,99.5,2.2015,156
2.6806,13.218,2.194,156
2.6808,90.5,2.2025,156
2.6810,38.5,2.2,156
2.6812,27.388,2.195,156
2.6814,93,2.201,156
2.6816,12.158,2.194,156
2.6818,93.5,2.203,156
2.6820,40.5,2.2005,156
2.6822,27.49,2.196,156
2.6824,91.5,2.2015,156
2.6826,11.66,2.1935,156
2.6828,91.5,2.2025,156
2.6830,39.5,2.1995,156
2.6832,27.336,2.195,156
2.6834,89,2.2005,156
2.6836,11.252,2.1915,156
2.6838,91.5,2.203,156
2.6840,38,2.1995,156
2.6842,29.594,2.195,156
2.6844,95.5,2.2015,156
2.6846,12.196,2.191,156
2.6848,94,2.2025,156
2.6850,38,2.2,156
2.6852,29.226,2.1945,156
2.6854,90.5,2.2015,156
2.6856,11.422,2.1905,156
2.6858,91.5,2.2025,156
2.6860,36,2.1995,156
2.6862,29.51,2.195,156
2.6864,87.5,2.2005,156
2.6866,10.898,2.19,156
2.6868,91,2.2025,156
2.6870,35.5,2.2,156
2.6872,30.598,2.195,156
2.6874,90,2.201,156
2.6876,11.14,2.19,156
2.6878,92,2.203,156
2.6880,35,2.2,156
2.6882,33,2.196,156
2.6884,89,2.201,156
2.6886,10.708,2.188,156
2.6888,91.5,2.2025,156
2.6890,34,2.2,156
2.6892,33,2.195,156
2.6894,90,2.201,156
2.6896,10.712,2.188,156
2.6898,94,2.2025,156
2.6900,34.5,2.2,156
2.6902,31.748,2.196,156
2.6904,82,2.2005,156
2.6906,9.646,2.187,156
2.6908,94,2.2025,156
2.6910,33,2.1995,156
2.6912,31.026,2.196,156
2.6914,80.5,2.2005,156
2.6916,9.418,2.187,156
2.6918,92.5,2.2025,156
2.6920,31.69,2.1995,156
2.6922,34.5,2.196,156
2.6924,85,2.2005,156
2.6928,31.378,2.1995,156
2.6930,36,2.196,156
2.6932,85,2.2015,156
2.6934,9.814,2.1865,156
2.6936,89,2.2025,156
2.6938,29.886,2.1995,156
2.6940,37,2.195,156
2.6942,86,2.201,156
2.6944,10.052,2.186,156
2.6946,91.5,2.2015,156
2.6948,29.922,2.2,156
2.6950,35,2.196,156
2.6952,80,2.2005,156
2.6954,9.262,2.1845,156
2.6956,97,2.2025,156
2.6958,31,2.1995,156
2.6960,37,2.195,156
2.6962,75.5,2.2005,156
2.6964,8.864,2.1845,156
2.6966,96,2.2025,156
2.6968,29.126,2.2,156
2.6970,37.5,2.1965,156
2.6972,80,2.2005,156
2.6974,9.294,2.1845,156
2.6976,92.5,2.2025,156
2.6978,28.884,2.1995,156
2.6980,37.5,2.196,156
2.6982,79.5,2.201,156
2.6984,9.216,2.184,156
2.6986,90.5,2.2025,156
2.6988,27.346,2.1995,156
2.6990,42.5,2.1965,156
2.6992,80,2.2005,156
2.6994,9.246,2.184,156
2.6996,95.5,2.2015,156
2.6998,28.042,2.1985,156
2.7000,38.5,2.196,156
2.7002,75.5,2.2005,156
2.7004,8.848,2.1835,156
2.7006,96.5,2.203,156
2.7008,27.3,2.1995,156
2.7010,39,2.196,156
2.7012,73.5,2.2005,156
2.7014,8.636,2.1835,156
2.7016,91.5,2.2025,156
2.7018,24.98,2.1995,156
2.7020,42,2.196,156
2.7022,77.5,2.2005,156
2.7024,9.312,2.1835,156
2.7026,98.5,2.2025,156
2.7028,26.99,2.1995,156
2.7030,43.5,2.1965,156
2.7032,75,2.2005,156
2.7034,9.004,2.1835,156
2.7036,97.5,2.2025,156
2.7038,26.444,2.1985,156
2.7040,43.5,2.196,156
2.7042,73,2.2005,156
2.7044,8.974,2.1835,156
2.7046,98,2.2025,156
2.7048,25.726,2.1995,156
2.7050,44.5,2.1965,156
2.7052,73,2.2005,156
2.7054,9.188,2.184,156
2.7056,93,2.2015,156
2.7058,23.986,2.1995,156
2.7060,45.5,2.196,156
2.7062,73,2.2005,156
2.7064,9.21,2.1835,156
2.7066,95.5,2.2025,156
2.7068,24.41,2.1995,156
2.7070,46.5,2.197,156
2.7072,69.5,2.2005,156
2.7074,9.112,2.184,156
2.7076,99.5,2.2025,156
2.7078,24.78,2.1995,156
2.7080,44.5,2.1975,156
2.7082,66,2.2005,156
2.7084,9.1,2.1835,156
2.7086,101,2.2025,156
2.7088,24.164,2.1985,156
2.7090,46.5,2.197,156
2.7092,68,2.2,156
2.7094,9.124,2.184,156
2.7096,93,2.2015,156
2.7098,21.682,2.1995,156
2.7100,51,2.197,156
2.7102,72,2.2005,156
2.7104,9.684,2.1845,156
2.7106,93,2.2025,156
2.7108,21.926,2.1995,156
2.7110,48,2.1975,156
2.7112,65,2.2005,156
2.7114,9.27,2.1845,156
2.7116,99,2.2025,156
2.7118,23.42,2.1995,156
2.7120,48.5,2.1975,156
2.7122,66,2.2005,156
2.7124,9.516,2.184,156
2.7126,96.5,2.2015,156
2.7128,21.826,2.1985,156
2.7130,50.5,2.197,156
2.7132,65.5,2.2005,156
2.7134,9.678,2.1845,156
2.7136,97,2.2015,156
2.7138,21.862,2.1995,156
2.7140,57,2.198,156
2.7142,64,2.2005,156
2.7144,10.066,2.186,156
2.7146,95.5,2.2015,156
2.7148,21.208,2.1985,156
2.7150,52.5,2.198,156
2.7152,61.5,2.2005,156
2.7154,9.894,2.186,156
2.7156,96,2.2015,156
2.7158,20.56,2.1995,156
2.7160,53.5,2.1975,156
2.7162,64,2.2005,156
2.7164,10.316,2.1865,156
2.7166,92.5,2.2025,156
2.7168,19.372,2.1995,156
2.7170,54,2.198,156
2.7172,62,2.2005,156
2.7174,10.68,2.187,156
2.7176,97,2.2015,156
2.7178,20.214,2.1995,156
2.7180,54,2.198,156
2.7182,59.5,2.2005,156
2.7184,10.698,2.187,156
2.7186,100.5,2.2015,156
2.7188,20.812,2.1995,156
2.7190,53,2.198,156
2.7192,58,2.2005,156
2.7194,10.772,2.1875,156
2.7196,95.5,2.2015,156
2.7198,18.87,2.1995,156
2.7200,54.5,2.1985,156
2.7202,58,2.2005,156
2.7204,10.602,2.188,156
2.7206,89,2.201,156
2.7208,17.822,2.1985,156
2.7210,63.5,2.2,156
2.7212,63.5,2.2005,156
2.7214,11.972,2.1875,156
2.7216,97.5,2.2015,156
2.7218,19.16,2.1995,156
2.7220,57,2.1995,156
2.7222,56.5,2.2005,156
2.7224,11.18,2.1885,156
2.7226,91.5,2.2015,156
2.7228,17.47,2.198,156
2.7230,58,2.2,156
2.7232,56.5,2.2005,156
2.7234,11.496,2.1895,156
2.7236,93,2.2015,156
