Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
1.9254,0.516,2.197,0.516
1.9256,0.468,2.1975,0.516
1.9258,0.542,2.1975,0.542
1.9260,0.596,2.1975,0.596
1.9262,0.464,2.1975,0.596
1.9264,0.392,2.1975,0.596
1.9266,0.676,2.1975,0.676
1.9268,0.436,2.197,0.676
1.9270,0.562,2.1975,0.676
1.9272,0.452,2.1975,0.676
1.9274,0.468,2.1975,0.676
1.9276,0.51,2.1975,0.676
1.9278,0.48,2.197,0.676
1.9280,0.478,2.1975,0.676
1.9282,0.464,2.197,0.676
1.9284,0.636,2.1975,0.676
1.9286,0.46,2.1975,0.676
1.9288,0.4,2.1975,0.676
1.9290,0.488,2.197,0.676
1.9292,0.458,2.1975,0.676
1.9294,0.49,2.1975,0.676
1.9296,0.52,2.197,0.676
1.9298,0.534,2.1975,0.676
1.9300,0.558,2.1975,0.676
1.9302,0.482,2.1975,0.676
1.9304,0.412,2.1975,0.676
1.9306,0.548,2.197,0.676
1.9308,0.478,2.1975,0.676
1.9310,0.52,2.197,0.676
1.9312,0.516,2.1975,0.676
1.9314,0.452,2.1975,0.676
1.9316,0.572,2.1975,0.676
1.9318,0.398,2.1975,0.676
1.9320,0.588,2.198,0.676
1.9322,0.464,2.197,0.676
1.9324,0.392,2.197,0.676
1.9326,0.586,2.1975,0.676
1.9328,0.496,2.1975,0.676
1.9330,0.6,2.1975,0.676
1.9332,0.474,2.1975,0.676
1.9334,0.408,2.1975,0.676
1.9336,0.55,2.1975,0.676
1.9338,0.434,2.197,0.676
1.9340,0.618,2.1975,0.676
1.9342,0.4,2.197,0.676
1.9344,0.368,2.197,0.676
1.9346,0.646,2.1975,0.676
1.9348,0.464,2.1975,0.676
1.9350,0.518,2.197,0.676
1.9352,0.538,2.1975,0.676
1.9354,0.398,2.197,0.676
1.9356,0.526,2.1975,0.676
1.9358,0.504,2.1975,0.676
1.9360,0.622,2.1975,0.676
1.9362,0.358,2.197,0.676
1.9364,0.518,2.1975,0.676
1.9366,0.35,2.1975,0.676
1.9368,0.752,2.1975,0.752
1.9370,0.242,2.197,0.752
1.9372,0.682,2.1975,0.752
1.9374,0.596,2.1975,0.752
1.9376,0.48,2.1975,0.752
1.9378,0.418,2.1975,0.752
1.9380,0.478,2.197,0.752
1.9382,0.572,2.197,0.752
1.9384,0.48,2.1975,0.752
1.9386,0.526,2.1975,0.752
1.9388,0.482,2.1975,0.752
1.9390,0.562,2.1975,0.752
1.9392,0.428,2.1975,0.752
1.9394,0.482,2.1975,0.752
1.9396,0.61,2.197,0.752
1.9398,0.496,2.1975,0.752
1.9400,0.444,2.197,0.752
1.9402,0.508,2.1975,0.752
1.9404,0.54,2.1975,0.752
1.9406,0.508,2.1975,0.752
1.9408,0.512,2.1975,0.752
1.9410,0.48,2.197,0.752
1.9412,0.556,2.197,0.752
1.9414,0.456,2.197,0.752
1.9416,0.578,2.1975,0.752
1.9418,0.444,2.1975,0.752
1.9420,0.518,2.1975,0.752
1.9422,0.444,2.1975,0.752
1.9424,0.64,2.1975,0.752
1.9426,0.414,2.1975,0.752
1.9428,0.452,2.197,0.752
1.9430,0.644,2.1975,0.752
1.9432,0.422,2.197,0.752
1.9434,0.496,2.1975,0.752
1.9436,0.512,2.1975,0.752
1.9438,0.458,2.197,0.752
1.9440,0.46,2.1975,0.752
1.9442,0.602,2.1975,0.752
1.9444,0.458,2.197,0.752
1.9446,0.516,2.1975,0.752
1.9448,0.502,2.1975,0.752
1.9450,0.43,2.1975,0.752
1.9452,0.576,2.1975,0.752
1.9454,0.4,2.1975,0.752
1.9456,0.55,2.197,0.752
1.9458,0.644,2.1975,0.752
1.9460,0.298,2.1975,0.752
1.9462,0.496,2.1975,0.752
1.9464,0.684,2.1975,0.752
1.9466,0.526,2.1975,0.752
1.9468,0.254,2.197,0.752
1.9470,0.632,2.197,0.752
1.9472,0.518,2.1975,0.752
1.9474,0.534,2.197,0.752
1.9476,0.46,2.1975,0.752
1.9478,0.498,2.197,0.752
1.9480,0.512,2.1975,0.752
1.9482,0.478,2.1975,0.752
1.9484,0.474,2.1975,0.752
1.9486,0.518,2.1975,0.752
1.9488,0.54,2.1975,0.752
1.9490,0.588,2.1975,0.752
1.9492,0.42,2.1975,0.752
1.9494,0.528,2.1975,0.752
1.9496,0.546,2.1975,0.752
1.9498,0.496,2.1975,0.752
1.9500,0.392,2.1975,0.752
1.9502,0.49,2.1975,0.752
1.9504,0.498,2.1975,0.752
1.9506,0.502,2.1975,0.752
1.9508,0.63,2.1975,0.752
1.9510,0.384,2.1975,0.752
1.9512,0.558,2.197,0.752
1.9514,0.482,2.197,0.752
1.9516,0.458,2.1975,0.752
1.9518,0.406,2.1975,0.752
1.9520,0.606,2.1975,0.752
1.9522,0.51,2.1975,0.752
1.9524,0.556,2.197,0.752
1.9526,0.478,2.1975,0.752
1.9528,0.52,2.1975,0.752
1.9530,0.458,2.1975,0.752
1.9532,0.486,2.1975,0.752
1.9534,0.49,2.1975,0.752
1.9536,0.512,2.1975,0.752
1.9538,0.496,2.1975,0.752
1.9540,0.576,2.1975,0.752
1.9542,0.472,2.1975,0.752
1.9544,0.502,2.1975,0.752
1.9546,0.524,2.198,0.752
1.9548,0.504,2.198,0.752
1.9550,0.42,2.197,0.752
1.9552,0.638,2.198,0.752
1.9554,0.51,2.197,0.752
1.9556,0.37,2.1975,0.752
1.9558,0.49,2.1975,0.752
1.9560,0.586,2.1975,0.752
1.9562,0.422,2.197,0.752
1.9564,0.626,2.198,0.752
1.9566,0.482,2.1975,0.752
1.9568,0.426,2.1975,0.752
1.9570,0.526,2.1975,0.752
1.9572,0.392,2.197,0.752
1.9574,0.58,2.198,0.752
1.9576,0.558,2.1975,0.752
1.9578,0.464,2.1975,0.752
1.9580,0.54,2.198,0.752
1.9582,0.438,2.1975,0.752
1.9584,0.45,2.1975,0.752
1.9586,0.638,2.1975,0.752
1.9588,0.562,2.1975,0.752
1.9590,0.32,2.197,0.752
1.9592,0.548,2.1975,0.752
1.9594,0.474,2.1975,0.752
1.9596,0.558,2.1975,0.752
1.9598,0.338,2.1975,0.752
1.9600,0.594,2.1975,0.752
1.9602,0.508,2.1975,0.752
1.9604,0.45,2.1975,0.752
1.9606,0.482,2.197,0.752
1.9608,0.51,2.1975,0.752
1.9610,0.524,2.1975,0.752
1.9612,0.512,2.1975,0.752
1.9614,0.556,2.1975,0.752
1.9616,0.438,2.1975,0.752
1.9618,0.51,2.1975,0.752
1.9620,0.58,2.197,0.752
1.9622,0.45,2.1975,0.752
1.9624,0.516,2.1975,0.752
1.9626,0.532,2.198,0.752
1.9628,0.442,2.1975,0.752
1.9630,0.534,2.1975,0.752
1.9632,0.438,2.197,0.752
1.9634,0.498,2.1975,0.752
1.9636,0.494,2.197,0.752
1.9638,0.482,2.197,0.752
1.9640,0.45,2.197,0.752
1.9642,0.602,2.1975,0.752
1.9644,0.42,2.197,0.752
1.9646,0.566,2.1975,0.752
1.9648,0.524,2.1975,0.752
1.9650,0.466,2.197,0.752
1.9652,0.494,2.1975,0.752
1.9654,0.52,2.198,0.752
1.9656,0.512,2.1975,0.752
1.9658,0.384,2.1975,0.752
1.9660,0.638,2.1975,0.752
1.9662,0.392,2.1975,0.752
1.9664,0.576,2.198,0.752
1.9666,0.534,2.197,0.752
1.9668,0.272,2.1975,0.752
1.9670,0.594,2.1975,0.752
1.9672,0.438,2.197,0.752
1.9674,0.518,2.197,0.752
1.9676,0.564,2.1975,0.752
1.9678,0.594,2.198,0.752
1.9680,0.456,2.1975,0.752
1.9682,0.466,2.197,0.752
1.9684,0.478,2.1975,0.752
1.9686,0.404,2.1975,0.752
1.9688,0.67,2.1975,0.752
1.9690,0.316,2.197,0.752
1.9692,0.584,2.197,0.752
1.9694,0.496,2.1975,0.752
1.9696,0.576,2.1975,0.752
1.9698,0.456,2.1975,0.752
1.9700,0.51,2.1975,0.752
1.9702,0.434,2.1975,0.752
