Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
2.2984,0.542,2.1975,0.542
2.2986,0.44,2.1975,0.542
2.2988,0.456,2.1975,0.542
2.2990,0.608,2.198,0.608
2.2992,0.456,2.1975,0.608
2.2994,0.568,2.198,0.608
2.2996,0.32,2.1975,0.608
2.2998,0.5,2.1975,0.608
2.3000,0.45,2.1975,0.608
2.3002,0.616,2.1975,0.616
2.3004,0.632,2.1975,0.632
2.3006,0.406,2.1975,0.632
2.3008,0.592,2.1975,0.632
2.3010,0.472,2.1975,0.632
2.3012,0.414,2.1975,0.632
2.3014,0.608,2.1975,0.632
2.3016,0.434,2.197,0.632
2.3018,0.55,2.198,0.632
2.3020,0.512,2.1975,0.632
2.3022,0.41,2.197,0.632
2.3024,0.556,2.1975,0.632
2.3026,0.508,2.1975,0.632
2.3028,0.502,2.1975,0.632
2.3030,0.54,2.1975,0.632
2.3032,0.636,2.1975,0.636
2.3034,0.494,2.198,0.636
2.3036,0.504,2.1975,0.636
2.3038,0.478,2.1975,0.636
2.3040,0.678,2.1975,0.678
2.3042,0.34,2.1975,0.678
2.3044,0.524,2.1975,0.678
2.3046,0.646,2.1975,0.678
2.3048,0.374,2.1975,0.678
2.3050,0.58,2.1975,0.678
2.3052,0.51,2.1975,0.678
2.3054,0.436,2.1975,0.678
2.3056,0.696,2.1975,0.696
2.3058,0.472,2.1975,0.696
2.3060,0.512,2.1975,0.696
2.3062,0.586,2.1975,0.696
2.3064,0.526,2.1975,0.696
2.3066,0.45,2.198,0.696
2.3068,0.592,2.1975,0.696
2.3070,0.548,2.198,0.696
2.3072,0.352,2.1975,0.696
2.3074,0.676,2.1975,0.696
2.3076,0.464,2.1975,0.696
2.3078,0.602,2.1975,0.696
2.3080,0.336,2.1975,0.696
2.3082,0.678,2.1975,0.696
2.3084,0.538,2.1975,0.696
2.3086,0.374,2.1975,0.696
2.3088,0.538,2.1975,0.696
2.3090,0.624,2.198,0.696
2.3092,0.684,2.198,0.696
2.3094,0.276,2.1975,0.696
2.3096,0.53,2.1975,0.696
2.3098,0.624,2.1975,0.696
2.3100,0.534,2.1975,0.696
2.3102,0.512,2.1975,0.696
2.3104,0.548,2.1975,0.696
2.3106,0.558,2.1975,0.696
2.3108,0.444,2.198,0.696
2.3110,0.48,2.1975,0.696
2.3112,0.638,2.1975,0.696
2.3114,0.558,2.198,0.696
2.3116,0.336,2.1975,0.696
2.3118,0.722,2.198,0.722
2.3120,0.426,2.1975,0.722
2.3122,0.49,2.198,0.722
2.3124,0.518,2.1975,0.722
2.3126,0.564,2.198,0.722
2.3128,0.51,2.1975,0.722
2.3130,0.53,2.1975,0.722
2.3132,0.478,2.1975,0.722
2.3134,0.512,2.1975,0.722
2.3136,0.602,2.1975,0.722
2.3138,0.568,2.1975,0.722
2.3140,0.474,2.198,0.722
2.3142,0.5,2.197,0.722
2.3144,0.504,2.1975,0.722
2.3146,0.426,2.1975,0.722
2.3148,0.598,2.1975,0.722
2.3150,0.572,2.1975,0.722
2.3152,0.504,2.197,0.722
2.3154,0.518,2.1975,0.722
2.3156,0.586,2.1975,0.722
2.3158,0.452,2.198,0.722
2.3160,0.554,2.197,0.722
2.3162,0.456,2.1975,0.722
2.3164,0.52,2.1975,0.722
2.3166,0.51,2.1975,0.722
2.3168,0.478,2.1975,0.722
2.3170,0.5,2.1975,0.722
2.3172,0.57,2.1975,0.722
2.3174,0.592,2.1975,0.722
2.3176,0.368,2.1975,0.722
2.3178,0.606,2.1975,0.722
2.3180,0.554,2.1975,0.722
2.3182,0.61,2.1975,0.722
2.3184,0.46,2.1975,0.722
2.3186,0.542,2.197,0.722
2.3188,0.354,2.198,0.722
2.3190,0.674,2.1975,0.722
2.3192,0.482,2.197,0.722
2.3194,0.46,2.1975,0.722
2.3196,0.614,2.1975,0.722
2.3198,0.456,2.1975,0.722
2.3200,0.628,2.1975,0.722
2.3202,0.472,2.1975,0.722
2.3204,0.48,2.1975,0.722
2.3206,0.482,2.1975,0.722
2.3208,0.63,2.1975,0.722
2.3210,0.452,2.197,0.722
2.3212,0.556,2.198,0.722
2.3214,0.48,2.197,0.722
2.3216,0.616,2.1975,0.722
2.3218,0.52,2.1975,0.722
2.3220,0.452,2.197,0.722
2.3222,0.452,2.198,0.722
2.3224,0.542,2.1975,0.722
2.3226,0.562,2.1975,0.722
2.3228,0.5,2.197,0.722
2.3230,0.504,2.198,0.722
2.3232,0.606,2.1975,0.722
2.3234,0.564,2.1975,0.722
2.3236,0.39,2.1975,0.722
2.3238,0.572,2.1975,0.722
2.3240,0.546,2.1975,0.722
2.3242,0.616,2.198,0.722
2.3244,0.452,2.198,0.722
2.3246,0.466,2.1975,0.722
2.3248,0.52,2.1975,0.722
2.3250,0.542,2.198,0.722
2.3252,0.516,2.1975,0.722
2.3254,0.588,2.1975,0.722
2.3256,0.456,2.1975,0.722
2.3258,0.598,2.1975,0.722
2.3260,0.44,2.1975,0.722
2.3262,0.578,2.198,0.722
2.3264,0.592,2.198,0.722
2.3266,0.452,2.1975,0.722
2.3268,0.452,2.1975,0.722
2.3270,0.654,2.1975,0.722
2.3272,0.43,2.1975,0.722
2.3274,0.428,2.197,0.722
2.3276,0.576,2.1975,0.722
2.3278,0.558,2.197,0.722
2.3280,0.52,2.1975,0.722
2.3282,0.516,2.1975,0.722
2.3284,0.44,2.1975,0.722
2.3286,0.57,2.198,0.722
2.3288,0.576,2.198,0.722
2.3290,0.502,2.1975,0.722
2.3292,0.584,2.1975,0.722
2.3294,0.358,2.1975,0.722
2.3296,0.714,2.1975,0.722
2.3298,0.43,2.1975,0.722
2.3300,0.384,2.1975,0.722
2.3302,0.648,2.1975,0.722
2.3304,0.542,2.198,0.722
2.3306,0.504,2.198,0.722
2.3308,0.548,2.1975,0.722
2.3310,0.508,2.1975,0.722
2.3312,0.488,2.1975,0.722
2.3314,0.494,2.1975,0.722
2.3316,0.568,2.197,0.722
