Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
5.3658,0.548,2.1975,0.548
5.3660,0.502,2.198,0.548
5.3662,0.542,2.1975,0.548
5.3664,0.352,2.1975,0.548
5.3666,0.608,2.198,0.608
5.3668,0.49,2.1975,0.608
5.3670,0.512,2.1975,0.608
5.3672,0.464,2.198,0.608
5.3674,0.548,2.1975,0.608
5.3676,0.568,2.198,0.608
5.3678,0.376,2.1975,0.608
5.3680,0.568,2.1975,0.608
5.3682,0.428,2.198,0.608
5.3684,0.562,2.1975,0.608
5.3686,0.558,2.1975,0.608
5.3688,0.468,2.198,0.608
5.3690,0.502,2.1975,0.608
5.3692,0.49,2.1975,0.608
5.3694,0.448,2.1975,0.608
5.3696,0.598,2.1975,0.608
5.3698,0.428,2.1975,0.608
5.3700,0.444,2.198,0.608
5.3702,0.678,2.1975,0.678
5.3704,0.466,2.1975,0.678
5.3706,0.376,2.198,0.678
5.3708,0.558,2.1975,0.678
5.3710,0.51,2.1975,0.678
5.3712,0.49,2.1975,0.678
5.3714,0.502,2.197,0.678
5.3716,0.442,2.1975,0.678
5.3718,0.546,2.1975,0.678
5.3720,0.438,2.1975,0.678
5.3722,0.564,2.198,0.678
5.3724,0.43,2.198,0.678
5.3726,0.678,2.1975,0.678
5.3728,0.388,2.1975,0.678
5.3730,0.478,2.198,0.678
5.3732,0.586,2.198,0.678
5.3734,0.504,2.198,0.678
5.3736,0.42,2.198,0.678
5.3738,0.638,2.1975,0.678
5.3740,0.336,2.1975,0.678
5.3742,0.592,2.1975,0.678
5.3744,0.588,2.198,0.678
5.3746,0.458,2.1975,0.678
5.3748,0.302,2.198,0.678
5.3750,0.626,2.1975,0.678
5.3752,0.524,2.198,0.678
5.3754,0.518,2.1975,0.678
5.3756,0.472,2.198,0.678
5.3758,0.38,2.1975,0.678
5.3760,0.632,2.198,0.678
5.3762,0.35,2.1975,0.678
5.3764,0.512,2.1975,0.678
5.3766,0.472,2.1975,0.678
5.3768,0.586,2.1975,0.678
5.3770,0.448,2.1975,0.678
5.3772,0.632,2.198,0.678
5.3774,0.3,2.1975,0.678
5.3776,0.532,2.1975,0.678
5.3778,0.562,2.198,0.678
5.3780,0.586,2.198,0.678
5.3782,0.48,2.1975,0.678
5.3784,0.4,2.198,0.678
5.3786,0.426,2.1975,0.678
5.3788,0.588,2.1975,0.678
5.3790,0.54,2.198,0.678
5.3792,0.412,2.198,0.678
5.3794,0.556,2.1975,0.678
5.3796,0.512,2.198,0.678
5.3798,0.502,2.1975,0.678
5.3800,0.444,2.198,0.678
5.3802,0.594,2.1975,0.678
5.3804,0.428,2.198,0.678
5.3806,0.542,2.1975,0.678
5.3808,0.464,2.198,0.678
5.3810,0.524,2.1975,0.678
5.3812,0.526,2.1975,0.678
5.3814,0.562,2.198,0.678
5.3816,0.328,2.198,0.678
5.3818,0.594,2.198,0.678
5.3820,0.668,2.198,0.678
5.3822,0.384,2.1975,0.678
5.3824,0.346,2.1975,0.678
5.3826,0.608,2.198,0.678
5.3828,0.444,2.198,0.678
5.3830,0.504,2.1975,0.678
5.3832,0.508,2.1975,0.678
5.3834,0.486,2.198,0.678
5.3836,0.51,2.1975,0.678
5.3838,0.444,2.1975,0.678
5.3840,0.6,2.198,0.678
5.3842,0.498,2.198,0.678
5.3844,0.438,2.1975,0.678
5.3846,0.48,2.1975,0.678
5.3848,0.602,2.1975,0.678
5.3850,0.33,2.198,0.678
5.3852,0.602,2.198,0.678
5.3854,0.508,2.1975,0.678
5.3856,0.4,2.1975,0.678
5.3858,0.502,2.1975,0.678
5.3860,0.51,2.198,0.678
5.3862,0.526,2.198,0.678
5.3864,0.414,2.1975,0.678
5.3866,0.57,2.198,0.678
5.3868,0.64,2.1975,0.678
5.3870,0.436,2.1975,0.678
5.3872,0.504,2.198,0.678
5.3874,0.438,2.1975,0.678
5.3876,0.488,2.198,0.678
5.3878,0.526,2.198,0.678
5.3880,0.45,2.1975,0.678
5.3882,0.464,2.198,0.678
5.3884,0.592,2.198,0.678
5.3886,0.436,2.198,0.678
5.3888,0.498,2.1975,0.678
5.3890,0.406,2.1975,0.678
5.3892,0.542,2.198,0.678
5.3894,0.51,2.198,0.678
5.3896,0.532,2.1975,0.678
5.3898,0.512,2.198,0.678
5.3900,0.458,2.198,0.678
5.3902,0.516,2.198,0.678
5.3904,0.636,2.198,0.678
5.3906,0.336,2.198,0.678
5.3908,0.654,2.1975,0.678
5.3910,0.35,2.1975,0.678
5.3912,0.638,2.198,0.678
5.3914,0.43,2.1975,0.678
5.3916,0.42,2.1975,0.678
5.3918,0.458,2.1975,0.678
5.3920,0.556,2.198,0.678
5.3922,0.464,2.1975,0.678
5.3924,0.526,2.198,0.678
5.3926,0.466,2.198,0.678
5.3928,0.428,2.1975,0.678
5.3930,0.614,2.1975,0.678
5.3932,0.504,2.198,0.678
5.3934,0.46,2.1975,0.678
5.3936,0.85,2.1975,0.85
5.3938,0.766,2.198,0.85
5.3940,129.5,2.196,129.5
5.3942,179.5,2.2025,179.5
5.3946,78.5,2.2005,179.5
5.3948,136,2.196,179.5
5.3950,174.5,2.201,179.5
5.3952,52,2.194,179.5
5.3954,216,2.2025,216
5.3956,74,2.2,216
5.3958,135.5,2.196,216
5.3960,170.5,2.2015,216
5.3962,51.5,2.1935,216
5.3964,213.5,2.203,216
5.3966,72,2.1995,216
5.3968,135.5,2.1965,216
5.3970,166.5,2.2025,216
5.3972,52,2.194,216
5.3974,213,2.2025,216
5.3976,73.5,2.1985,216
5.3978,136.5,2.1965,216
5.3980,163,2.2025,216
5.3982,52,2.194,216
5.3984,216,2.2025,216
5.3986,71,2.1975,216
5.3988,135.5,2.196,216
5.3990,157.5,2.2015,216
5.3992,52.5,2.194,216
5.3994,205,2.203,216
5.3996,64,2.197,216
5.3998,135,2.1965,216
5.4000,153.5,2.201,216
5.4002,52,2.194,216
5.4004,200,2.2035,216
5.4006,61.5,2.196,216
5.4008,135,2.196,216
5.4010,150.5,2.2025,216
5.4012,53,2.1945,216
5.4014,199,2.2025,216
5.4016,60,2.1945,216
5.4018,140,2.1965,216
5.4020,151,2.201,216
5.4022,53.5,2.195,216
5.4024,197,2.2025,216
5.4026,58,2.194,216
5.4028,133.5,2.197,216
5.4030,141.5,2.2015,216
5.4032,52.5,2.1945,216
5.4034,191,2.203,216
5.4036,55,2.193,216
5.4038,133.5,2.197,216
5.4040,138,2.2015,216
5.4042,53,2.1945,216
5.4044,192,2.2035,216
5.4046,53.5,2.1915,216
5.4048,135,2.197,216
5.4050,137,2.2015,216
5.4052,52.5,2.195,216
5.4054,185,2.203,216
5.4056,51,2.1905,216
5.4058,130.5,2.1965,216
5.4060,129.5,2.2015,216
5.4062,52.5,2.195,216
5.4064,184,2.203,216
5.4066,50,2.1895,216
5.4068,139,2.197,216
5.4070,129,2.201,216
5.4072,54.5,2.1945,216
5.4074,182,2.203,216
5.4076,48,2.1885,216
5.4078,132,2.197,216
5.4080,124.5,2.201,216
5.4082,53,2.195,216
5.4084,176.5,2.203,216
5.4086,46,2.1875,216
5.4088,135,2.197,216
5.4090,123.5,2.201,216
5.4092,54,2.195,216
5.4094,172,2.203,216
5.4096,43.5,2.1875,216
5.4098,130.5,2.197,216
5.4100,116.5,2.201,216
5.4102,54,2.195,216
5.4104,175.5,2.2025,216
5.4106,44.5,2.1875,216
5.4108,130.5,2.1965,216
5.4110,113,2.2005,216
5.4112,52.5,2.195,216
5.4114,164,2.203,216
5.4116,40,2.1865,216
5.4118,132,2.1965,216
5.4120,113,2.2005,216
5.4122,55.5,2.196,216
5.4124,167.5,2.203,216
5.4126,40,2.185,216
5.4128,129.5,2.197,216
5.4130,108,2.201,216
5.4132,55,2.1945,216
5.4134,165,2.203,216
5.4136,39.5,2.1845,216
5.4138,134.5,2.197,216
5.4140,107.5,2.201,216
5.4142,54.5,2.196,216
5.4144,158.5,2.203,216
5.4146,37,2.1845,216
5.4148,131,2.197,216
5.4150,105,2.201,216
5.4152,55.5,2.196,216
5.4154,154.5,2.203,216
5.4156,35,2.184,216
5.4158,129,2.197,216
5.4160,98.5,2.2005,216
5.4162,56.5,2.195,216
5.4164,159,2.2025,216
5.4166,35.5,2.1835,216
5.4168,136.5,2.197,216
5.4170,96.5,2.2005,216
5.4172,56,2.1965,216
5.4174,150.5,2.2025,216
5.4176,33.5,2.185,216
5.4178,129.5,2.1975,216
5.4180,93.5,2.2005,216
5.4182,56,2.196,216
5.4184,151.5,2.2025,216
5.4186,33,2.1845,216
5.4188,128.5,2.197,216
5.4190,90.5,2.2005,216
