Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
4.0688,1.588,2.1975,1.588
4.0690,1.62,2.1975,1.62
4.0692,1.658,2.1975,1.658
4.0694,1.84,2.1975,1.84
4.0696,1.416,2.1975,1.84
4.0698,1.778,2.1975,1.84
4.0700,1.644,2.1975,1.84
4.0702,1.614,2.1975,1.84
4.0704,1.722,2.1975,1.84
4.0706,1.566,2.1975,1.84
4.0708,1.77,2.198,1.84
4.0710,1.644,2.198,1.84
4.0712,1.528,2.198,1.84
4.0714,1.82,2.198,1.84
4.0716,1.504,2.1975,1.84
4.0718,1.662,2.1975,1.84
4.0720,1.674,2.1975,1.84
4.0722,1.708,2.198,1.84
4.0724,1.612,2.1975,1.84
4.0726,1.648,2.198,1.84
4.0728,1.666,2.1975,1.84
4.0730,1.612,2.1975,1.84
4.0732,1.678,2.1975,1.84
4.0734,1.658,2.198,1.84
4.0736,1.626,2.198,1.84
4.0738,1.582,2.198,1.84
4.0740,1.644,2.1975,1.84
4.0742,1.528,2.197,1.84
4.0744,1.852,2.198,1.852
4.0746,1.642,2.1975,1.852
4.0748,1.716,2.198,1.852
4.0750,1.528,2.1975,1.852
4.0752,1.688,2.1975,1.852
4.0754,1.708,2.1975,1.852
4.0756,1.572,2.1975,1.852
4.0758,1.632,2.1975,1.852
4.0760,1.718,2.1975,1.852
4.0762,1.708,2.1975,1.852
4.0764,1.67,2.1975,1.852
4.0766,1.606,2.1975,1.852
4.0768,1.64,2.198,1.852
4.0770,1.686,2.1975,1.852
4.0772,1.536,2.1975,1.852
4.0774,1.764,2.197,1.852
4.0776,1.596,2.1975,1.852
4.0778,1.642,2.1975,1.852
4.0780,1.772,2.1975,1.852
4.0782,1.648,2.198,1.852
4.0784,1.692,2.198,1.852
4.0786,1.56,2.1975,1.852
4.0788,1.644,2.198,1.852
4.0790,1.636,2.1975,1.852
4.0792,1.778,2.1975,1.852
4.0794,1.576,2.1975,1.852
4.0796,1.61,2.1975,1.852
4.0798,1.716,2.198,1.852
4.0800,1.546,2.198,1.852
4.0802,1.784,2.1975,1.852
4.0804,1.634,2.1975,1.852
4.0806,1.686,2.1975,1.852
4.0808,1.662,2.1975,1.852
4.0810,1.692,2.198,1.852
4.0812,1.588,2.1975,1.852
4.0814,1.68,2.198,1.852
4.0816,1.56,2.1975,1.852
4.0818,1.746,2.1975,1.852
4.0820,1.604,2.1975,1.852
4.0822,1.71,2.1975,1.852
4.0824,1.554,2.1975,1.852
4.0826,1.644,2.1975,1.852
4.0828,1.628,2.198,1.852
4.0830,1.708,2.1975,1.852
4.0832,1.59,2.1975,1.852
4.0834,1.77,2.1975,1.852
4.0836,1.528,2.198,1.852
4.0838,1.74,2.1975,1.852
4.0840,1.594,2.1975,1.852
4.0842,1.74,2.1975,1.852
4.0844,1.702,2.1975,1.852
4.0846,1.572,2.1975,1.852
4.0848,1.632,2.1975,1.852
4.0850,1.696,2.1975,1.852
4.0852,1.648,2.1975,1.852
4.0854,1.716,2.1975,1.852
4.0856,1.622,2.1975,1.852
4.0858,1.622,2.1975,1.852
4.0860,1.618,2.1975,1.852
4.0862,1.76,2.1975,1.852
4.0864,1.596,2.1975,1.852
4.0866,1.636,2.198,1.852
4.0868,1.704,2.1975,1.852
4.0870,1.662,2.197,1.852
4.0872,1.678,2.1975,1.852
4.0874,1.636,2.198,1.852
4.0876,1.582,2.1975,1.852
4.0878,1.702,2.1975,1.852
4.0880,1.73,2.1975,1.852
4.0882,1.58,2.1975,1.852
4.0884,1.696,2.197,1.852
4.0886,1.536,2.1975,1.852
4.0888,1.77,2.197,1.852
4.0890,1.582,2.1975,1.852
4.0892,1.602,2.1975,1.852
4.0894,1.726,2.1975,1.852
4.0896,1.602,2.1975,1.852
4.0898,1.762,2.1975,1.852
4.0900,1.642,2.1975,1.852
