Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
1.9920,0.468,2.1975,0.788
1.9922,0.542,2.1975,0.788
1.9924,0.642,2.1975,0.788
1.9926,0.372,2.197,0.788
1.9928,0.468,2.1975,0.788
1.9930,0.574,2.1975,0.788
1.9932,0.468,2.197,0.788
1.9934,0.452,2.1975,0.788
1.9936,0.916,2.197,0.916
1.9938,0.634,2.197,0.916
1.9940,45,2.2015,45
1.9942,42.5,2.2,45
1.9944,3.916,2.1805,45
1.9946,80,2.2005,80
1.9948,12.944,2.198,80
1.9950,46,2.2015,80
1.9952,42,2.1995,80
1.9954,3.994,2.1795,80
1.9956,80,2.2005,80
1.9958,12.756,2.198,80
1.9960,47,2.2025,80
1.9962,41,2.1995,80
1.9964,3.76,2.1785,80
1.9966,80,2.201,80
1.9968,12.572,2.198,80
1.9970,47.5,2.2025,80
1.9972,40.5,2.1995,80
1.9974,3.772,2.178,80
1.9976,80,2.2005,80
1.9978,12.41,2.198,80
1.9980,48.5,2.2015,80
1.9982,40,2.1995,80
1.9984,3.676,2.178,80
1.9986,80,2.2005,80
1.9988,12.234,2.1975,80
1.9990,49,2.2025,80
1.9992,39.5,2.1995,80
1.9994,3.69,2.1775,80
1.9996,80.5,2.201,80.5
1.9998,12.064,2.198,80.5
2.0000,49.5,2.2015,80.5
2.0002,39,2.1995,80.5
2.0004,3.858,2.177,80.5
2.0006,80,2.2005,80.5
2.0008,11.866,2.198,80.5
2.0010,50,2.2025,80.5
2.0012,38.5,2.1995,80.5
2.0014,3.856,2.177,80.5
2.0016,80,2.201,80.5
2.0018,11.736,2.1985,80.5
2.0020,50.5,2.2025,80.5
2.0022,38,2.1995,80.5
2.0024,4.166,2.177,80.5
2.0026,79.5,2.2005,80.5
2.0028,11.544,2.198,80.5
2.0030,51,2.2015,80.5
2.0032,37.5,2.1995,80.5
2.0034,4.084,2.176,80.5
2.0036,80,2.2005,80.5
2.0038,11.33,2.198,80.5
2.0040,51.5,2.2015,80.5
2.0042,37,2.1995,80.5
2.0044,4.01,2.177,80.5
2.0046,80,2.2005,80.5
2.0048,11.144,2.198,80.5
2.0050,52,2.203,80.5
2.0052,36,2.1995,80.5
2.0054,4.054,2.1765,80.5
2.0056,80,2.2005,80.5
2.0058,11.04,2.198,80.5
2.0060,52.5,2.2025,80.5
2.0062,35.5,2.1995,80.5
2.0064,4.232,2.1765,80.5
2.0066,79.5,2.2005,80.5
2.0068,10.668,2.198,80.5
2.0070,62,2.2025,80.5
2.0072,40.5,2.1995,80.5
2.0074,4.888,2.1765,80.5
2.0076,79.5,2.2005,80.5
2.0078,10.708,2.198,80.5
2.0080,54,2.2025,80.5
2.0082,35,2.1995,80.5
2.0084,4.414,2.1775,80.5
2.0086,79.5,2.2005,80.5
2.0088,10.528,2.198,80.5
2.0090,54.5,2.2025,80.5
2.0092,34,2.1995,80.5
2.0094,4.71,2.1775,80.5
2.0096,79.5,2.2005,80.5
2.0098,10.34,2.198,80.5
2.0100,55,2.2025,80.5
2.0102,33.5,2.2,80.5
2.0104,4.736,2.1775,80.5
2.0106,79,2.2005,80.5
2.0108,10.22,2.1975,80.5
2.0110,55.5,2.2025,80.5
2.0112,33,2.1995,80.5
2.0114,4.956,2.178,80.5
2.0116,78.5,2.2005,80.5
2.0118,10.142,2.198,80.5
2.0120,56,2.2025,80.5
2.0122,32.5,2.1995,80.5
2.0124,5.37,2.1785,80.5
2.0126,78.5,2.2005,80.5
2.0128,9.854,2.198,80.5
2.0130,56.5,2.2025,80.5
2.0132,32.528,2.1985,80.5
2.0134,5.416,2.1785,80.5
2.0136,78.5,2.2005,80.5
2.0138,9.682,2.198,80.5
2.0140,56.5,2.203,80.5
2.0142,32.008,2.1995,80.5
2.0144,5.688,2.18,80.5
2.0146,78,2.2005,80.5
2.0148,9.41,2.1975,80.5
2.0150,57.5,2.2025,80.5
2.0152,31.312,2.1995,80.5
2.0154,5.902,2.1805,80.5
2.0156,77.5,2.2005,80.5
2.0158,9.45,2.1975,80.5
2.0160,58,2.2015,80.5
2.0162,31.004,2.1995,80.5
2.0164,6.182,2.1805,80.5
2.0166,77,2.2005,80.5
2.0168,9.276,2.198,80.5
2.0170,58,2.2015,80.5
2.0172,30.34,2.1985,80.5
2.0174,6.498,2.1815,80.5
2.0176,76.5,2.2005,80.5
2.0178,9.058,2.1975,80.5
2.0180,58.5,2.2025,80.5
2.0182,29.88,2.1995,80.5
2.0184,6.674,2.182,80.5
2.0186,76.5,2.2005,80.5
2.0188,9.008,2.198,80.5
2.0190,59,2.2015,80.5
2.0192,29.374,2.1995,80.5
2.0194,7.034,2.182,80.5
2.0196,75.5,2.2005,80.5
2.0198,8.706,2.1975,80.5
2.0200,59.5,2.2015,80.5
2.0202,28.782,2.1985,80.5
2.0204,8.556,2.184,80.5
2.0206,74,2.2005,80.5
2.0208,8.68,2.198,80.5
2.0210,59.5,2.2015,80.5
2.0212,28.48,2.1985,80.5
2.0214,7.762,2.1835,80.5
2.0216,75,2.2005,80.5
2.0218,8.394,2.198,80.5
2.0220,60,2.2015,80.5
2.0222,28.022,2.1995,80.5
2.0224,8.088,2.184,80.5
2.0226,75,2.2005,80.5
2.0228,8.35,2.1975,80.5
2.0230,60.5,2.201,80.5
2.0232,27.658,2.1985,80.5
2.0234,8.47,2.184,80.5
2.0236,74.5,2.2005,80.5
2.0238,8.328,2.198,80.5
2.0240,69,2.2015,80.5
2.0242,30.468,2.1985,80.5
2.0244,9.174,2.186,80.5
2.0246,74,2.2005,80.5
2.0248,8.074,2.198,80.5
2.0250,61.5,2.2015,80.5
2.0252,26.71,2.1985,80.5
2.0254,9.306,2.187,80.5
2.0256,73,2.2,80.5
2.0258,8.006,2.1975,80.5
2.0260,61.5,2.2015,80.5
2.0262,26.45,2.1985,80.5
2.0264,9.61,2.187,80.5
2.0266,73,2.2005,80.5
2.0268,7.868,2.1975,80.5
2.0270,62,2.2015,80.5
2.0272,26.088,2.1985,80.5
2.0274,10.024,2.188,80.5
2.0276,72,2.2005,80.5
2.0278,7.638,2.1975,80.5
2.0280,62,2.2015,80.5
2.0282,25.576,2.1985,80.5
2.0284,10.498,2.188,80.5
2.0286,71.5,2.2,80.5
2.0288,7.63,2.1975,80.5
2.0290,62,2.2025,80.5
2.0292,25.154,2.1985,80.5
2.0294,10.868,2.1885,80.5
2.0296,71.5,2.2,80.5
2.0298,7.402,2.198,80.5
2.0300,63.5,2.2015,80.5
2.0302,24.83,2.1985,80.5
2.0304,11.466,2.19,80.5
2.0306,70.5,2.2,80.5
2.0308,7.404,2.198,80.5
2.0310,63,2.201,80.5
2.0312,24.476,2.1985,80.5
2.0314,11.792,2.19,80.5
2.0316,70,2.2005,80.5
2.0318,7.32,2.1975,80.5
2.0320,63.5,2.2015,80.5
2.0322,24.036,2.1985,80.5
2.0324,12.136,2.1905,80.5
2.0326,69,2.2005,80.5
2.0328,7.036,2.1975,80.5
2.0330,64,2.201,80.5
2.0332,23.668,2.1985,80.5
2.0334,12.76,2.1905,80.5
2.0336,69,2.2005,80.5
2.0338,7.156,2.1975,80.5
2.0340,64.5,2.201,80.5
2.0342,23.52,2.198,80.5
2.0344,13.236,2.191,80.5
2.0346,68.5,2.2005,80.5
2.0348,6.854,2.1975,80.5
2.0350,65,2.2015,80.5
2.0352,22.904,2.1985,80.5
2.0354,14.036,2.1925,80.5
2.0356,68,2.2,80.5
2.0358,6.694,2.1975,80.5
2.0360,65.5,2.201,80.5
2.0362,22.564,2.1985,80.5
2.0364,14.426,2.1935,80.5
2.0366,67,2.2005,80.5
2.0368,6.718,2.198,80.5
2.0370,65,2.201,80.5
2.0372,22.242,2.1985,80.5
2.0374,15.006,2.1935,80.5
2.0376,66,2.2,80.5
