Time (s),Main Avg Current (mA),Main Avg Voltage (V),Main Max Current (mA)
5.1070,1.694,2.197,1.694
5.1072,1.716,2.197,1.716
5.1074,1.518,2.1975,1.716
5.1076,1.662,2.197,1.716
5.1078,1.714,2.197,1.716
5.1080,1.608,2.197,1.716
5.1082,1.69,2.197,1.716
5.1084,1.684,2.1975,1.716
5.1086,1.66,2.197,1.716
5.1088,1.698,2.1975,1.716
5.1090,1.518,2.197,1.716
5.1092,1.66,2.197,1.716
5.1094,1.652,2.197,1.716
5.1096,1.578,2.1975,1.716
5.1098,1.752,2.197,1.752
5.1100,1.678,2.1975,1.752
5.1102,1.704,2.1975,1.752
5.1104,1.576,2.197,1.752
5.1106,1.66,2.197,1.752
5.1108,1.738,2.197,1.752
5.1110,1.542,2.1975,1.752
5.1112,1.664,2.197,1.752
5.1114,1.584,2.197,1.752
5.1116,1.788,2.1975,1.788
5.1118,1.616,2.1975,1.788
5.1120,1.654,2.197,1.788
5.1122,1.592,2.197,1.788
5.1124,1.76,2.197,1.788
5.1126,1.55,2.197,1.788
5.1128,1.736,2.197,1.788
5.1130,1.532,2.197,1.788
5.1132,1.704,2.197,1.788
5.1134,1.736,2.197,1.788
5.1136,1.686,2.1975,1.788
5.1138,1.442,2.197,1.788
5.1140,1.72,2.1975,1.788
5.1142,1.694,2.1975,1.788
5.1144,1.606,2.197,1.788
5.1146,1.636,2.197,1.788
5.1148,1.766,2.197,1.788
5.1150,1.668,2.197,1.788
5.1152,1.526,2.197,1.788
5.1154,1.706,2.197,1.788
5.1156,1.654,2.1975,1.788
5.1158,1.534,2.1975,1.788
5.1160,1.716,2.197,1.788
5.1162,1.602,2.197,1.788
5.1164,1.788,2.1975,1.788
5.1166,1.614,2.197,1.788
5.1168,1.662,2.1975,1.788
5.1170,1.572,2.197,1.788
5.1172,1.698,2.1975,1.788
5.1174,1.674,2.1975,1.788
5.1176,1.566,2.197,1.788
5.1178,1.682,2.197,1.788
5.1180,1.54,2.197,1.788
5.1182,1.7,2.197,1.788
5.1184,1.772,2.197,1.788
5.1186,1.54,2.1975,1.788
5.1188,1.754,2.197,1.788
5.1190,1.572,2.197,1.788
5.1192,1.754,2.197,1.788
5.1194,1.606,2.197,1.788
